realisateur,moyenne_fr_realisateur,cluster_realisateur
Jean-Luc Godard,438182.0,0
Josiane Balasko,1142137.0,0
Jonathan Demme,486234.0,0
Jon Turteltaub,1037688.0,0
Jon M. Chu,596325.5555555555,0
Jon Avnet,299674.0,0
Jon Amiel,571772.0,0
John Woo,620417.0,0
John Singleton,513820.0,0
John McTiernan,1153437.0,0
John Landis,632114.0,0
John Frankenheimer,568277.0,0
Lee Tamahori,858690.0,0
Lawrence Kasdan,431658.0,0
Lasse Hallstrom,184034.0,0
Lars Von Trier,275680.0,0
Kevin Smith,83221.0,0
Kevin Reynolds,956428.0,0
Kenneth Branagh,666653.0,0
Ken Loach,360116.0,0
Kathryn Bigelow,348363.0,0
Julian Schnabel,128196.0,0
Judd Apatow,155408.0,0
Juan Antonio Bayona,1119622.0,0
Maurice Pialat,915792.0,0
Matthew Vaughn,1023612.0,0
Mathieu Kassovitz,1056708.0,0
Martin Scorsese,992064.0,0
Pascal Thomas,598676.0,0
P.J. Hogan,919342.0,0
Olivier Marchal,1037533.0,0
Olivier Assayas,165696.0,0
Oliver Stone,808429.0,0
Pierre Salvadori,572676.0,0
Pierre Morel,530986.0,0
Pierre Jolivet,272227.0,0
Philippe Lioret,499221.0,0
Philip Noyce,639420.0,0
Peter Weir,1116928.0,0
Peter Segal,285304.0,0
Martin Brest,923245.0,0
Marc Foster,860497.0,0
Marc Esposito,921706.0,0
Luc Jacquet,849016.0,0
Lisa Azuelos,902807.0,0
Len Wiseman,1213638.0,0
Mike Leigh,261067.0,0
Michel Ocelot,990255.0,0
Michel Gondry,304737.0,0
Michaël Caton-Jones,306086.0,0
Michael Winterbottom,52644.0,0
Michael Moore,511204.0,0
Michael Mann,791898.0,0
Michael Haneke,304490.0,0
Michael Cimino,783126.0,0
Michael Apted,793951.0,0
Mel Gibson,730538.0,0
Mel Brooks,1093174.0,0
McG,1151553.0,0
Norman Jewison,347174.0,0
Nora Ephron,552297.0,0
Nicole Garcia,723243.0,0
Nicolas Boukhrief,164973.0,0
Nick Park,993858.0,0
Nick Cassavetes,304241.0,0
Neil LaBute,125537.0,0
Neil Jordan,235714.0,0
Neil Blomkamp,1099111.0,0
Nanni Moretti,267496.0,0
Nancy Meyers,1041732.0,0
Mimi Leder,520757.0,0
Milos Forman,1180609.0,0
Mike Nichols,550926.0,0
Paul Verhoeven,1063925.0,0
Paul Thomas Anderson,284435.0,0
Paul Schrader,154181.0,0
Paul Greengrass,776179.0,0
Paul Feig,412433.0,0
Patrice Leconte,1196164.0,0
Patrice Chéreau,436852.0,0
Valérie Lemercier,1069861.0,0
Tony Scott,977967.0,0
Tonie Marshall,483914.0,0
Tom Shadyac,1205491.0,0
Todd Solondz,42545.0,0
Todd Haynes,242241.0,0
Terry Gilliam,825595.0,0
Terrence Malick,346370.0,0
Takeshi Kitano,104396.0,0
Zhang Yimou,255656.0,0
Albert Hughes,416111.0,0
