Titre,Démarrage,Entrées totales,Réalisateur,moyenne_fr_realisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre_vo,annee,entrees,salles,moy_salle,part_marche,affiche,acteurs,moyennes_individuelles_acteurs,max_moyenne,moyennebestactors
scream 4,533026.0,1070890,Wes Craven,548402.0,Etats-Unis,Horreur,2011-04-13,Moins de 12 ans,SND,0,5,2.0,,Courteney Cox,11277,93.0,804,Scream 4,2011,533026,440,1211,50  %,cinema/images/posters/11277-20110328090329.jpg,"[{'id': '74', 'name': 'Courteney Cox', 'role': 'Second rôle', 'character': 'Gale Weathers-Riley'}]","[{'name': 'Courteney Cox', 'moyenne': 895261}]",895261.0,895261.0
resident evil,533300.0,1105943,Paul W.S. Anderson,599108.0,Etats-Unis,Aventure - Action,2002-04-03,Moins de 12 ans,Metropolitan,0,5,2.0,Milla Jovovich,,1779,513.0,803,Resident Evil,2002,533300,396,1347,48  %,cinema/images/posters/residentevil.jpg,"[{'id': '256', 'name': 'Milla Jovovich', 'role': 'Rôle principal', 'character': 'Alice'}]","[{'name': 'Milla Jovovich', 'moyenne': 778203}]",778203.0,778203.0
gainsbourg - (vie héroïque),511713.0,1199451,,,France,Comédie dramatique,2010-01-20,Tous publics,Universal,0,5,3.0,,Yolande Moreau,10989,,841,,2010,511713,499,1025,43  %,cinema/images/posters/10989-20100117100114.jpg,"[{'id': '852', 'name': 'Yolande Moreau', 'role': 'Second rôle', 'character': 'Fréhel'}]","[{'name': 'Yolande Moreau', 'moyenne': 869413}]",869413.0,869413.0
matrix resurrections,513133.0,972644,Wachowski (brothers),2059332.0,Etats-Unis,Science Fiction,2021-12-22,Tous publics,Warner Bros.,0,5,3.0,"Carrie-Anne Moss, Keanu Reeves",Lambert Wilson,19943,402.0,836,The Matrix Resurrections,2021,513133,578,888,53  %,cinema/images/posters/19943-20211218110906-3.jpg,"[{'id': '413', 'name': 'Carrie-Anne Moss', 'role': 'Rôle principal', 'character': 'Trinity'}, {'id': '225', 'name': 'Keanu Reeves', 'role': 'Rôle principal', 'character': 'Neo'}, {'id': '240', 'name': 'Lambert Wilson', 'role': 'Second rôle', 'character': 'Le Mérovingien'}, {'id': '94', 'name': 'Christina Ricci', 'role': 'Apparition', 'character': 'Gwyn de Vere'}]","[{'name': 'Carrie-Anne Moss', 'moyenne': 1261796}, {'name': 'Keanu Reeves', 'moyenne': 878836}, {'name': 'Lambert Wilson', 'moyenne': 844391}, {'name': 'Christina Ricci', 'moyenne': 431949}]",1261796.0,995007.6666666666
casse-tête chinois,513407.0,1536489,Cédric Klapisch,1172315.0,France,Comédie,2013-12-04,Tous publics,Studiocanal,0,6,3.0,"Cécile De France, Romain Duris, Audrey Tautou",,13229,81.0,835,Casse-tête chinois (Chinese Puzzle),2013,513407,542,947,33  %,cinema/images/posters/13229-20140511123245-0.jpg,"[{'id': '75', 'name': 'Cécile De France', 'role': 'Rôle principal', 'character': 'Isabelle'}, {'id': '297', 'name': 'Romain Duris', 'role': 'Rôle principal', 'character': 'Xavier'}, {'id': '30', 'name': 'Audrey Tautou', 'role': 'Rôle principal', 'character': 'Martine'}]","[{'name': 'Cécile De France', 'moyenne': 644071}, {'name': 'Romain Duris', 'moyenne': 659140}, {'name': 'Audrey Tautou', 'moyenne': 1284086}]",1284086.0,862432.3333333334
la nuit au musée : le secret des pharaons,501154.0,1576649,Shawn Levy,1145754.0,Etats-Unis,Film familial,2015-02-04,Tous publics,20th Century Fox,0,5,2.0,Ben Stiller,"Robin Williams, Owen Wilson, Rebel Wilson",14004,628.0,869,Night at the Museum: Secret of the Tomb,2015,501154,630,795,32  %,cinema/images/posters/14004-20141213020914-2.jpg,"[{'id': '63', 'name': 'Ben Stiller', 'role': 'Rôle principal', 'character': 'Larry Daley / Laa'}, {'id': '1058', 'name': 'Rami Malek', 'role': 'Second rôle', 'character': 'Ahkmenrah'}, {'id': '311', 'name': 'Robin Williams', 'role': 'Second rôle', 'character': 'Theodore Roosevelt'}, {'id': '278', 'name': 'Owen Wilson', 'role': 'Second rôle', 'character': 'Jedidiah'}, {'id': '999', 'name': 'Rebel Wilson', 'role': 'Second rôle', 'character': 'Tilly'}, {'id': '160', 'name': 'Hugh Jackman', 'role': 'Apparition', 'character': 'Le Roi Arthur'}]","[{'name': 'Ben Stiller', 'moyenne': 639733}, {'name': 'Rami Malek', 'moyenne': 1813517}, {'name': 'Robin Williams', 'moyenne': 949237}, {'name': 'Owen Wilson', 'moyenne': 683014}, {'name': 'Rebel Wilson', 'moyenne': 358169}, {'name': 'Hugh Jackman', 'moyenne': 1204170}]",1813517.0,1322308.0
j'accuse,501228.0,1567306,Roman Polanski,916637.0,France,Drame,2019-11-13,Tous publics,Gaumont,1,6,1.0,"Jean Dujardin, Emmanuelle Seigner","Mathieu Amalric, Vincent Perez, Denis Podalydès, Melvil Poupaud",18775,405.0,867,J'accuse (An Officer and a Spy),2019,501228,545,920,32  %,cinema/images/posters/18775-20191013113833-0.jpg,"[{'id': '186', 'name': 'Jean Dujardin', 'role': 'Rôle principal', 'character': 'Colonel Georges Picquart'}, {'id': '883', 'name': 'Emmanuelle Seigner', 'role': 'Rôle principal', 'character': 'Pauline Monnier'}, {'id': '630', 'name': 'Mathieu Amalric', 'role': 'Second rôle', 'character': 'Bertillon'}, {'id': '356', 'name': 'Vincent Perez', 'role': 'Second rôle', 'character': 'Maître Leblois'}, {'id': '818', 'name': 'Denis Podalydès', 'role': 'Second rôle', 'character': 'Maître Demange'}, {'id': '1023', 'name': 'Melvil Poupaud', 'role': 'Second rôle', 'character': 'Maitre Labori'}]","[{'name': 'Jean Dujardin', 'moyenne': 1376846}, {'name': 'Emmanuelle Seigner', 'moyenne': 729917}, {'name': 'Mathieu Amalric', 'moyenne': 468160}, {'name': 'Vincent Perez', 'moyenne': 581082}, {'name': 'Denis Podalydès', 'moyenne': 489900}, {'name': 'Melvil Poupaud', 'moyenne': 388416}]",1376846.0,895948.3333333334
tigre et dragon,501743.0,1806197,Ang Lee,701832.0,Chine,Aventure - Action,2000-10-04,Tous publics,Warner Bros.,0,6,2.0,Yun-Fat Chow,,2421,443.0,866,"Wo hu cang long (Crouching Tiger, Hidden Dragon)",2000,501743,338,1484,28  %,cinema/images/posters/wohucanglong.jpg,"[{'id': '399', 'name': 'Yun-Fat Chow', 'role': 'Rôle principal', 'character': 'Li Mu Bai'}]","[{'name': 'Yun-Fat Chow', 'moyenne': 787207}]",787207.0,787207.0
les femmes du 6e étage,502481.0,2213187,,,France,Comédie,2011-02-16,Tous publics,SND,0,9,3.0,"Sandrine Kiberlain, Fabrice Luchini",,11814,,865,,2011,502481,270,1861,23  %,cinema/images/posters/11814-20110116100145.jpg,"[{'id': '321', 'name': 'Sandrine Kiberlain', 'role': 'Rôle principal', 'character': 'Suzanne Joubert'}, {'id': '134', 'name': 'Fabrice Luchini', 'role': 'Rôle principal', 'character': 'Jean-Louis Joubert'}]","[{'name': 'Sandrine Kiberlain', 'moyenne': 633654}, {'name': 'Fabrice Luchini', 'moyenne': 783835}]",783835.0,708744.5
sully,505048.0,1178535,Clint Eastwood,1086035.0,Etats-Unis,Drame,2016-11-30,Tous publics,Warner Bros.,0,5,3.0,Tom Hanks,Aaron Eckhart,15635,116.0,863,Sully,2016,505048,480,1052,43  %,cinema/images/posters/15635-20161126083001-0.jpg,"[{'id': '341', 'name': 'Tom Hanks', 'role': 'Rôle principal', 'character': ""Chesley 'Sully' Sullenberger""}, {'id': '557', 'name': 'Aaron Eckhart', 'role': 'Second rôle', 'character': 'Jeff Skiles'}]","[{'name': 'Tom Hanks', 'moyenne': 1002550}, {'name': 'Aaron Eckhart', 'moyenne': 612496}]",1002550.0,807523.0
"tanguy, le retour",486634.0,1027447,Etienne Chatiliez,2319219.0,France,Comédie,2019-04-10,Tous publics,SND,1,6,1.0,"Sabine Azéma, André Dussollier",,18821,119.0,901,"Tanguy, le retour",2019,486634,622,782,47  %,cinema/images/posters/18821-20190317010231-0.jpg,"[{'id': '34', 'name': 'Sabine Azéma', 'role': 'Rôle principal', 'character': 'Edith'}, {'id': '8', 'name': 'André Dussollier', 'role': 'Rôle principal', 'character': 'Paul'}]","[{'name': 'Sabine Azéma', 'moyenne': 829894}, {'name': 'André Dussollier', 'moyenne': 799227}]",829894.0,814560.5
alvin et les chipmunks - a fond la caisse,488106.0,1799931,,,Etats-Unis,Film familial,2016-02-03,Tous publics,20th Century Fox,0,5,3.0,,,15195,,899,,2016,488106,582,839,27  %,cinema/images/posters/15195-20151211115153-1.jpg,"[{'id': '972', 'name': 'Anna Faris', 'role': 'Voix-off', 'character': 'Jeanette Miller'}]","[{'name': 'Anna Faris', 'moyenne': 853912}]",853912.0,853912.0
mauvais esprit,489107.0,1106439,,,France,Comédie,2003-11-05,Tous publics,Pathé,0,5,3.0,Thierry Lhermitte,,1441,,897,,2003,489107,447,1094,44  %,cinema/images/posters/mauvaisesprit.jpg,"[{'id': '236', 'name': 'Thierry Lhermitte', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Thierry Lhermitte', 'moyenne': 983587}]",983587.0,983587.0
jack reacher 2,489442.0,926882,Edward Zwick,906446.0,Etats-Unis,Thriller,2016-10-19,Tous publics,Paramount,0,3,4.0,Tom Cruise,,15627,372.0,896,Jack Reacher: Never Go Back,2016,489442,480,1020,53  %,cinema/images/posters/15627-20160910073443-1.jpg,"[{'id': '97', 'name': 'Tom Cruise', 'role': 'Rôle principal', 'character': 'Jack Reacher'}]","[{'name': 'Tom Cruise', 'moyenne': 1742496}]",1742496.0,1742496.0
panic room,475014.0,1324402,David Fincher,1843217.0,Etats-Unis,Aventure - Action,2002-04-24,Moins de 12 ans,Columbia,1,6,1.0,"Jodie Foster, Jared Leto, Kristen Stewart, Forest Whitaker",,1769,106.0,930,Panic Room,2002,475014,520,913,36  %,cinema/images/posters/panicroom.jpg,"[{'id': '187', 'name': 'Jodie Foster', 'role': 'Rôle principal', 'character': ''}, {'id': '1018', 'name': 'Jared Leto', 'role': 'Rôle principal', 'character': 'Junior'}, {'id': '781', 'name': 'Kristen Stewart', 'role': 'Rôle principal', 'character': 'Sarah Altman'}, {'id': '137', 'name': 'Forest Whitaker', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Jodie Foster', 'moyenne': 866368}, {'name': 'Jared Leto', 'moyenne': 751362}, {'name': 'Kristen Stewart', 'moyenne': 1013591}, {'name': 'Forest Whitaker', 'moyenne': 681539}]",1013591.0,877107.0
tron l'héritage,475032.0,1215956,Joseph Kosinski,3074542.0,Etats-Unis,Science Fiction,2011-02-09,Tous publics,Walt Disney Pictures,0,4,4.0,Jeff Bridges,,10963,1030.0,929,Tron: Legacy,2011,475032,569,835,39  %,cinema/images/posters/10963-20110123090154.jpg,"[{'id': '60', 'name': 'Jeff Bridges', 'role': 'Rôle principal', 'character': 'Kevin Flynn / Clu 2.0'}]","[{'name': 'Jeff Bridges', 'moyenne': 405986}]",405986.0,405986.0
divergente,475291.0,1492110,,,Etats-Unis,Science Fiction,2014-04-09,Tous publics,SND,0,7,3.0,,Kate Winslet,14112,,928,,2014,475291,550,864,32  %,cinema/images/posters/14112-20140208024043-0.jpg,"[{'id': '231', 'name': 'Kate Winslet', 'role': 'Second rôle', 'character': 'Jeanine Matthews'}, {'id': '15', 'name': 'Ashley Judd', 'role': 'Apparition', 'character': 'Natalie Prior'}]","[{'name': 'Kate Winslet', 'moyenne': 1529444}, {'name': 'Ashley Judd', 'moyenne': 424981}]",1529444.0,977212.5
l'immortel,475510.0,1129959,Richard Berry,595863.0,France,Thriller,2010-03-24,Moins de 12 ans,EuropaCorp,0,5,3.0,"Marina Foïs, Kad Merad, Jean Reno","Richard Berry, Jean-Pierre Darroussin",11084,617.0,927,L'Immortel (22 Bullets),2010,475510,500,951,42  %,cinema/images/posters/11084-20100315080351.jpg,"[{'id': '900', 'name': 'Marina Foïs', 'role': 'Rôle principal', 'character': 'Marie Goldman'}, {'id': '462', 'name': 'Kad Merad', 'role': 'Rôle principal', 'character': 'Tony Zacchia'}, {'id': '210', 'name': 'Jean Reno', 'role': 'Rôle principal', 'character': 'Charly Matteï'}, {'id': '291', 'name': 'Richard Berry', 'role': 'Second rôle', 'character': 'Aurélio Rampoli'}, {'id': '204', 'name': 'Jean-Pierre Darroussin', 'role': 'Second rôle', 'character': 'Martin Beaudinard'}]","[{'name': 'Marina Foïs', 'moyenne': 775272}, {'name': 'Kad Merad', 'moyenne': 1302759}, {'name': 'Jean Reno', 'moyenne': 1397999}, {'name': 'Richard Berry', 'moyenne': 667689}, {'name': 'Jean-Pierre Darroussin', 'moyenne': 561454}]",1397999.0,1158676.6666666667
john carter,475960.0,1021013,Andrew Stanton,3449581.0,Etats-Unis,Science Fiction,2012-03-07,Tous publics,Walt Disney Pictures,0,4,2.0,,"Bryan Cranston, Willem Dafoe",12280,884.0,925,John Carter,2012,475960,506,941,47  %,cinema/images/posters/12280-20120121040143.jpg,"[{'id': '899', 'name': 'Bryan Cranston', 'role': 'Second rôle', 'character': 'Powell'}, {'id': '387', 'name': 'Willem Dafoe', 'role': 'Second rôle', 'character': 'Tars Tarkas'}]","[{'name': 'Bryan Cranston', 'moyenne': 715346}, {'name': 'Willem Dafoe', 'moyenne': 812428}]",812428.0,763887.0
pentagon papers,476134.0,1338048,Steven Spielberg,2541723.0,Etats-Unis,Drame,2018-01-24,Tous publics,Universal,1,5,1.0,"Tom Hanks, Meryl Streep",,17037,333.0,924,The Post,2018,476134,423,1126,36  %,cinema/images/posters/17037-20171216040453-2.jpg,"[{'id': '341', 'name': 'Tom Hanks', 'role': 'Rôle principal', 'character': 'Ben Bradley'}, {'id': '268', 'name': 'Meryl Streep', 'role': 'Rôle principal', 'character': 'Kay Graham'}]","[{'name': 'Tom Hanks', 'moyenne': 1002550}, {'name': 'Meryl Streep', 'moyenne': 724168}]",1002550.0,863359.0
joyeuse retraite !,477116.0,1259687,,,France,Comédie,2019-11-20,Tous publics,SND,0,6,3.0,"Michèle Laroque, Thierry Lhermitte",,19581,,923,,2019,477116,465,1026,38  %,cinema/images/posters/19581-20190815022734-0.jpg,"[{'id': '1002', 'name': 'Michèle Laroque', 'role': 'Rôle principal', 'character': ''}, {'id': '236', 'name': 'Thierry Lhermitte', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Michèle Laroque', 'moyenne': 892896}, {'name': 'Thierry Lhermitte', 'moyenne': 983587}]",983587.0,938241.5
traffic,477351.0,1938732,Steven Soderbergh,690867.0,Etats-Unis,Drame,2001-03-07,Tous publics,Bac Films,0,9,2.0,"Michael Douglas, Benicio Del Toro, Catherine Zeta Jones","Don Cheadle, Dennis Quaid",2415,332.0,922,Traffic,2001,477351,422,1131,25  %,cinema/images/posters/traffic.jpg,"[{'id': '250', 'name': 'Michael Douglas', 'role': 'Rôle principal', 'character': ''}, {'id': '41', 'name': 'Benicio Del Toro', 'role': 'Rôle principal', 'character': 'Javier Rodriguez'}, {'id': '368', 'name': 'Catherine Zeta Jones', 'role': 'Rôle principal', 'character': ''}, {'id': '103', 'name': 'Don Cheadle', 'role': 'Second rôle', 'character': 'Montel Gordon'}, {'id': '112', 'name': 'Dennis Quaid', 'role': 'Second rôle', 'character': ''}, {'id': '317', 'name': 'Salma Hayek', 'role': 'Apparition', 'character': 'La maitresse de Madrigal'}]","[{'name': 'Michael Douglas', 'moyenne': 1018055}, {'name': 'Benicio Del Toro', 'moyenne': 786290}, {'name': 'Catherine Zeta Jones', 'moyenne': 977380}, {'name': 'Don Cheadle', 'moyenne': 1447575}, {'name': 'Dennis Quaid', 'moyenne': 349305}, {'name': 'Salma Hayek', 'moyenne': 414951}]",1447575.0,1147670.0
get out,465265.0,1145664,,,Etats-Unis,Horreur,2017-05-03,Moins de 12 ans,Universal,0,8,2.0,,,16774,,960,,2017,465265,323,1440,41  %,cinema/images/posters/16774-20170501031640-1.jpg,,,,
scooby-doo 2: les monstres se déchaînent,465406.0,1393180,Raja Gosnell,1162778.0,Etats-Unis,Film familial,2004-04-07,Tous publics,Warner Bros.,0,7,3.0,Sarah Michelle Gellar,,1082,442.0,959,Scooby-Doo 2: Monsters Unleashed,2004,465406,583,798,33  %,cinema/images/posters/scoobydoo2.jpg,"[{'id': '384', 'name': 'Sarah Michelle Gellar', 'role': 'Rôle principal', 'character': 'Daphne Blake'}]","[{'name': 'Sarah Michelle Gellar', 'moyenne': 958118}]",958118.0,958118.0
prédictions,465607.0,1401915,Alex Proyas,1033366.0,Etats-Unis,Science Fiction,2009-04-01,Tous publics,SND,0,6,2.0,Nicolas Cage,Rose Byrne,10588,570.0,958,Knowing,2009,465607,338,1378,33  %,cinema/images/posters/np_10588.jpg,"[{'id': '271', 'name': 'Nicolas Cage', 'role': 'Rôle principal', 'character': 'John Koestler'}, {'id': '854', 'name': 'Rose Byrne', 'role': 'Second rôle', 'character': 'Diana Wayland'}]","[{'name': 'Nicolas Cage', 'moyenne': 608203}, {'name': 'Rose Byrne', 'moyenne': 874493}]",874493.0,741348.0
la pat’ patrouille - le film,459566.0,1458977,,,Etats-Unis,Animation,2021-08-11,Tous publics,Paramount,1,9,1.0,,,21329,,984,,2021,459566,610,753,32  %,cinema/images/posters/21329-20210812104527.jpg,,,,
le renard et l'enfant,466488.0,2499137,Luc Jacquet,849016.0,France,Film familial,2007-12-12,Tous publics,Walt Disney Pictures,0,7,2.0,,,209,911.0,957,Le Renard et l'enfant,2007,466488,703,664,19  %,cinema/images/posters/p_5256.jpg,"[{'id': '390', 'name': 'Isabelle Carré', 'role': 'Voix-off', 'character': 'la narratrice'}]","[{'name': 'Isabelle Carré', 'moyenne': 448235}]",448235.0,448235.0
drive,467609.0,1580623,,,Etats-Unis,Aventure - Action,2011-10-05,Moins de 12 ans,Le Pacte,0,7,2.0,Ryan Gosling,"Bryan Cranston, Ron Perlman",12187,,956,,2011,467609,246,1901,30  %,cinema/images/posters/12187-20110929100912.jpg,"[{'id': '724', 'name': 'Ryan Gosling', 'role': 'Rôle principal', 'character': 'Driver'}, {'id': '899', 'name': 'Bryan Cranston', 'role': 'Second rôle', 'character': 'Shannon'}, {'id': '836', 'name': 'Ron Perlman', 'role': 'Second rôle', 'character': 'Nino'}]","[{'name': 'Ryan Gosling', 'moyenne': 843454}, {'name': 'Bryan Cranston', 'moyenne': 715346}, {'name': 'Ron Perlman', 'moyenne': 911315}]",911315.0,823371.6666666666
la première étoile,456914.0,1647603,Jean-Baptiste Lucien,541486.0,France,Comédie,2009-03-25,Tous publics,Mars Distribution,0,9,2.0,Jean-Baptiste Lucien,,10717,942.0,991,La Première étoile,2009,456914,268,1705,28  %,cinema/images/posters/np_10717.jpg,"[{'id': '1025', 'name': 'Jean-Baptiste Lucien', 'role': 'Rôle principal', 'character': 'Jean-Gabriel'}]","[{'name': 'Jean-Baptiste Lucien', 'moyenne': 348143}]",348143.0,348143.0
le prince oublié,457031.0,921200,Michel Hazanavicius,1223180.0,France,Film familial,2020-02-12,Tous publics,Pathé,0,4,2.0,"Bérénice Bejo, François Damiens, Omar Sy",,19823,776.0,990,Le Prince Oublié (The Lost Prince),2020,457031,698,655,50  %,cinema/images/posters/19823-20200208095716-0.jpg,"[{'id': '809', 'name': 'Bérénice Bejo', 'role': 'Rôle principal', 'character': 'Clotilde / La femme à la porte'}, {'id': '918', 'name': 'François Damiens', 'role': 'Rôle principal', 'character': 'Pritprout'}, {'id': '783', 'name': 'Omar Sy', 'role': 'Rôle principal', 'character': 'Djibi / Le Prince'}]","[{'name': 'Bérénice Bejo', 'moyenne': 439699}, {'name': 'François Damiens', 'moyenne': 909443}, {'name': 'Omar Sy', 'moyenne': 1789989}]",1789989.0,1046377.0
un secret,458730.0,1691907,Claude Miller,717055.0,France,Drame,2007-10-03,Tous publics,UGC Distribution,2,5,1.0,"Patrick Bruel, Cécile De France, Ludivine Sagnier","Mathieu Amalric, Julie Depardieu",165,499.0,989,Un secret (A Secret),2007,458730,331,1386,27  %,cinema/images/posters/p_5472.jpg,"[{'id': '649', 'name': 'Patrick Bruel', 'role': 'Rôle principal', 'character': 'Maxime'}, {'id': '75', 'name': 'Cécile De France', 'role': 'Rôle principal', 'character': 'Tania'}, {'id': '238', 'name': 'Ludivine Sagnier', 'role': 'Rôle principal', 'character': 'Hannah'}, {'id': '630', 'name': 'Mathieu Amalric', 'role': 'Second rôle', 'character': 'François, à 37 ans'}, {'id': '632', 'name': 'Julie Depardieu', 'role': 'Second rôle', 'character': 'Louise'}, {'id': '848', 'name': 'Laurent Lafitte', 'role': 'Apparition', 'character': ""Gendarme lors de l'arrestation""}]","[{'name': 'Patrick Bruel', 'moyenne': 1044151}, {'name': 'Cécile De France', 'moyenne': 644071}, {'name': 'Ludivine Sagnier', 'moyenne': 722404}, {'name': 'Mathieu Amalric', 'moyenne': 468160}, {'name': 'Julie Depardieu', 'moyenne': 521295}, {'name': 'Laurent Lafitte', 'moyenne': 1030427}]",1044151.0,932327.3333333334
chronicle,458842.0,1020366,,,Etats-Unis,Fantasy,2012-02-22,Tous publics,20th Century Fox,1,5,1.0,Michael B. Jordan,,12569,,988,,2012,458842,341,1346,45  %,cinema/images/posters/12569-20120115100152.jpg,"[{'id': '995', 'name': 'Michael B. Jordan', 'role': 'Rôle principal', 'character': 'Steve Montgomery'}]","[{'name': 'Michael B. Jordan', 'moyenne': 1458272}]",1458272.0,1458272.0
poly,458929.0,604853,Nicolas Vanier,1222093.0,France,Film familial,2020-10-21,Tous publics,SND,0,3,4.0,François Cluzet,Patrick Timsit,20737,1003.0,987,Poly,2020,458929,686,669,76  %,cinema/images/posters/20737-20201017125411-0.jpg,"[{'id': '130', 'name': 'François Cluzet', 'role': 'Rôle principal', 'character': 'Victor'}, {'id': '928', 'name': 'Patrick Timsit', 'role': 'Second rôle', 'character': 'Brancalou'}]","[{'name': 'François Cluzet', 'moyenne': 936250}, {'name': 'Patrick Timsit', 'moyenne': 1003005}]",1003005.0,969627.5
resident evil: apocalypse,459152.0,990268,,,Etats-Unis,Aventure - Action,2004-10-06,Moins de 12 ans,Metropolitan,0,4,2.0,Milla Jovovich,,1093,,986,,2004,459152,421,1091,46  %,cinema/images/posters/residentevil2.jpg,"[{'id': '256', 'name': 'Milla Jovovich', 'role': 'Rôle principal', 'character': 'Alice'}]","[{'name': 'Milla Jovovich', 'moyenne': 778203}]",778203.0,778203.0
hotel transylvanie 2,459772.0,2301547,,,Etats-Unis,Animation,2015-10-07,Tous publics,Sony Pictures,0,8,2.0,,,14957,,983,,2015,459772,594,774,20  %,cinema/images/posters/14957-20150920022103-2.jpg,"[{'id': '28', 'name': 'Adam Sandler', 'role': 'Voix-off', 'character': 'Dracula'}, {'id': '66', 'name': 'Steve Buscemi', 'role': 'Voix-off', 'character': 'Wayne'}, {'id': '699', 'name': 'Kevin James', 'role': 'Voix-off', 'character': 'Frank / Frankenstein'}]","[{'name': 'Adam Sandler', 'moyenne': 160501}, {'name': 'Steve Buscemi', 'moyenne': 379073}, {'name': 'Kevin James', 'moyenne': 392248}]",392248.0,310607.3333333333
la marche de l'empereur,447512.0,1913682,Luc Jacquet,849016.0,France,Documentaire,2005-01-26,Tous publics,Walt Disney Pictures,0,7,2.0,,,719,911.0,1021,La Marche de l'empereur (March of the Penguins),2005,447512,408,1097,23  %,cinema/images/posters/marcheempereur.jpg,,,,
ong bak,440495.0,967824,,,Thaïlande,Aventure - Action,2004-04-07,Moins de 12 ans,EuropaCorp,0,4,5.0,,,1094,,1051,,2004,440495,281,1568,46  %,cinema/images/posters/ongbak.jpg,,,,
mr-73,448334.0,909949,Olivier Marchal,1037533.0,France,Thriller,2008-03-12,Moins de 12 ans,Gaumont,0,3,3.0,Daniel Auteuil,,203,734.0,1020,MR-73,2008,448334,478,938,49  %,cinema/images/posters/np_203.jpg,"[{'id': '32', 'name': 'Daniel Auteuil', 'role': 'Rôle principal', 'character': 'Louis Schneider'}]","[{'name': 'Daniel Auteuil', 'moyenne': 1006810}]",1006810.0,1006810.0
le chant du loup,448755.0,1548510,,,France,Drame,2019-02-20,Tous publics,Pathé,0,8,4.0,"François Civil, Mathieu Kassovitz, Reda Kateb, Omar Sy",,18817,,1019,,2019,448755,462,971,29  %,cinema/images/posters/18817-20190210120759-0.jpg,"[{'id': '1041', 'name': 'François Civil', 'role': 'Rôle principal', 'character': 'Chanteraide'}, {'id': '598', 'name': 'Mathieu Kassovitz', 'role': 'Rôle principal', 'character': 'Alfost'}, {'id': '924', 'name': 'Reda Kateb', 'role': 'Rôle principal', 'character': 'Grandchamp'}, {'id': '783', 'name': 'Omar Sy', 'role': 'Rôle principal', 'character': ""D'Orsi""}]","[{'name': 'François Civil', 'moyenne': 1063617}, {'name': 'Mathieu Kassovitz', 'moyenne': 1128188}, {'name': 'Reda Kateb', 'moyenne': 402472}, {'name': 'Omar Sy', 'moyenne': 1789989}]",1789989.0,1327264.6666666667
godzilla x kong : le nouvel empire,442704.0,1182733,,,Etats-Unis,Fantasy,2024-04-03,Tous publics,Warner Bros.,1,6,1.0,,,23125,,1046,,2024,442704,639,693,37  %,cinema/images/posters/A-2024-23125-20240329071213.jpg,,,,
incognito,450026.0,1250138,,,France,Comédie,2009-04-29,Tous publics,Pathé,0,6,2.0,Franck Dubosc,"François Damiens, Yolande Moreau",10744,,1017,,2009,450026,459,980,36  %,cinema/images/posters/np_10744.jpg,"[{'id': '541', 'name': 'Franck Dubosc', 'role': 'Rôle principal', 'character': 'Francis'}, {'id': '918', 'name': 'François Damiens', 'role': 'Second rôle', 'character': 'chauffeur accident'}, {'id': '852', 'name': 'Yolande Moreau', 'role': 'Second rôle', 'character': 'Mme Champenard'}]","[{'name': 'Franck Dubosc', 'moyenne': 1206610}, {'name': 'François Damiens', 'moyenne': 909443}, {'name': 'Yolande Moreau', 'moyenne': 869413}]",1206610.0,995155.3333333334
shazam!,442839.0,1075884,,,Etats-Unis,Comicbook,2019-04-03,Tous publics,Warner Bros.,0,5,2.0,,,18753,,1044,,2019,442839,566,782,41  %,cinema/images/posters/18753-20190330012750-0.jpg,,,,
xxx : reactivated,450091.0,927991,D.J. Caruso,421968.0,Etats-Unis,Aventure - Action,2017-01-18,Tous publics,Paramount,0,4,2.0,Vin Diesel,"Toni Collette, Ice Cube, Samuel L. Jackson",15746,553.0,1016,xXx: The Return of Xander Cage,2017,450091,550,818,49  %,cinema/images/posters/15746-20170116042759-0.jpg,"[{'id': '350', 'name': 'Vin Diesel', 'role': 'Rôle principal', 'character': 'Xander Cage'}, {'id': '339', 'name': 'Toni Collette', 'role': 'Second rôle', 'character': 'Jane Marke'}, {'id': '426', 'name': 'Ice Cube', 'role': 'Second rôle', 'character': 'Darius Stone'}, {'id': '319', 'name': 'Samuel L. Jackson', 'role': 'Second rôle', 'character': 'Augustus Gibbons'}]","[{'name': 'Vin Diesel', 'moyenne': 1382126}, {'name': 'Toni Collette', 'moyenne': 623989}, {'name': 'Ice Cube', 'moyenne': 269849}, {'name': 'Samuel L. Jackson', 'moyenne': 1248160}]",1382126.0,1084758.3333333333
le transporteur 2,440512.0,1230444,Louis Leterrier,1353727.0,France,Aventure - Action,2005-08-03,Tous publics,EuropaCorp,0,6,2.0,Jason Statham,François Berléand,736,477.0,1050,The Transporter II,2005,440512,510,864,36  %,cinema/images/posters/transporter2.jpg,"[{'id': '214', 'name': 'Jason Statham', 'role': 'Rôle principal', 'character': 'Frank Martin'}, {'id': '436', 'name': 'François Berléand', 'role': 'Second rôle', 'character': 'Tarconi'}]","[{'name': 'Jason Statham', 'moyenne': 954392}, {'name': 'François Berléand', 'moyenne': 718096}]",954392.0,836244.0
