Titre,Démarrage,Entrées totales,Réalisateur,moyenne_fr_realisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre_vo,annee,entrees,salles,moy_salle,part_marche,affiche,acteurs,moyennes_individuelles_acteurs,max_moyenne,moyennebestactors
district 9,473873.0,1108053,Neil Blomkamp,1099111.0,Etats-Unis,Science Fiction,2009-09-16,Tous publics,Metropolitan,1,6,1.0,,,10422,850.0,937,District 9,2009,473873,447,1060,43  %,cinema/images/posters/10422-20090711060725.jpg,,,,
la momie (2017),474305.0,1373537,,,Etats-Unis,Aventure - Action,2017-06-14,Tous publics,Universal,1,6,1.0,Tom Cruise,Russell Crowe,16451,,936,,2017,474305,690,687,35  %,cinema/images/posters/16451-20170612101658-1.jpg,"[{'id': '97', 'name': 'Tom Cruise', 'role': 'Rôle principal', 'character': 'Nick Morton'}, {'id': '293', 'name': 'Russell Crowe', 'role': 'Second rôle', 'character': 'Henry Jekyll'}]","[{'name': 'Tom Cruise', 'moyenne': 1742496}, {'name': 'Russell Crowe', 'moyenne': 745619}]",1742496.0,1244057.5
le grand partage,474661.0,1169659,,,France,Comédie,2015-12-23,Tous publics,Wild Bunch,0,5,3.0,"Josiane Balasko, Valérie Bonneton, Didier Bourdon, Karin Viard",,15590,,933,,2015,474661,441,1076,41  %,cinema/images/posters/15590-20151220021739-4.jpg,"[{'id': '171', 'name': 'Josiane Balasko', 'role': 'Rôle principal', 'character': 'La gardienne'}, {'id': '948', 'name': 'Valérie Bonneton', 'role': 'Rôle principal', 'character': 'Béatrice Bretzel'}, {'id': '380', 'name': 'Didier Bourdon', 'role': 'Rôle principal', 'character': 'Pierre Dubreuil'}, {'id': '230', 'name': 'Karin Viard', 'role': 'Rôle principal', 'character': 'Christine Dubreuil'}]","[{'name': 'Josiane Balasko', 'moyenne': 955503}, {'name': 'Valérie Bonneton', 'moyenne': 839651}, {'name': 'Didier Bourdon', 'moyenne': 1125223}, {'name': 'Karin Viard', 'moyenne': 684402}]",1125223.0,973459.0
10 000,474853.0,833476,Roland Emmerich,1768802.0,Etats-Unis,Aventure - Action,2008-03-12,Tous publics,Warner Bros.,0,3,2.0,,,20,299.0,932,"10,000 B.C.",2008,474853,563,843,57  %,cinema/images/posters/np_20.jpg,,,,
millenium les hommes qui n’aimaient pas les femmes,477509.0,1080239,David Fincher,1843217.0,Etats-Unis,Thriller,2012-01-18,Moins de 12 ans,Sony Pictures,1,5,1.0,"Daniel Craig, Rooney Mara",Robin Wright,11693,106.0,921,The Girl With The Dragon Tattoo,2012,477509,520,918,44  %,cinema/images/posters/11693-20111114091146.jpg,"[{'id': '104', 'name': 'Daniel Craig', 'role': 'Rôle principal', 'character': 'Mikael Blomkvist'}, {'id': '956', 'name': 'Rooney Mara', 'role': 'Rôle principal', 'character': 'Lisbeth Salander'}, {'id': '453', 'name': 'Robin Wright', 'role': 'Second rôle', 'character': 'Erika Berger'}]","[{'name': 'Daniel Craig', 'moyenne': 1176531}, {'name': 'Rooney Mara', 'moyenne': 449892}, {'name': 'Robin Wright', 'moyenne': 666646}]",1176531.0,764356.3333333334
alien: romulus,477983.0,1135196,,,Etats-Unis,Science Fiction,2024-08-14,Moins de 12 ans,Walt Disney Pictures,0,6,2.0,,,23525,,920,,2024,477983,451,1060,42  %,cinema/images/posters/A-2024-23525-20240810042927.jpg,,,,
annabelle 2 : la création du mal,481309.0,1232440,,,Etats-Unis,Horreur,2017-08-09,Moins de 12 ans,Warner Bros.,0,6,4.0,,,17105,,914,,2017,481309,262,1837,39  %,cinema/images/posters/17105-20170826013740-2.jpg,,,,
je vous trouve très beau,479294.0,3567222,Isabelle Mergault,1635196.0,France,Comédie,2006-01-11,Tous publics,Gaumont Sony,2,13,1.0,Michel Blanc,Valérie Bonneton,327,684.0,919,Je vous trouve très beau (You Are So Beautiful),2006,479294,306,1566,13  %,cinema/images/posters/trouvebeau.jpg,"[{'id': '242', 'name': 'Michel Blanc', 'role': 'Rôle principal', 'character': 'Aymé Pigrenet'}, {'id': '948', 'name': 'Valérie Bonneton', 'role': 'Second rôle', 'character': 'Maître Labaume'}]","[{'name': 'Michel Blanc', 'moyenne': 1188006}, {'name': 'Valérie Bonneton', 'moyenne': 839651}]",1188006.0,1013828.5
percy jackson le voleur de foudre,479413.0,1225182,Chris Columbus,2130394.0,Etats-Unis,Fantasy,2010-02-10,Tous publics,20th Century Fox,0,5,4.0,,"Pierce Brosnan, Uma Thurman",10581,89.0,918,Percy Jackson and the Lightning Thief,2010,479413,532,901,39  %,cinema/images/posters/10581-20100117110132.jpg,"[{'id': '279', 'name': 'Pierce Brosnan', 'role': 'Second rôle', 'character': 'Chiron'}, {'id': '348', 'name': 'Uma Thurman', 'role': 'Second rôle', 'character': 'Méduse'}]","[{'name': 'Pierce Brosnan', 'moyenne': 942816}, {'name': 'Uma Thurman', 'moyenne': 529455}]",942816.0,736135.5
la mort dans la peau,479680.0,1142893,Paul Greengrass,776179.0,Etats-Unis,Aventure - Action,2004-09-08,Tous publics,UIP,1,5,1.0,Matt Damon,,1090,481.0,917,The Bourne Supremacy,2004,479680,477,1006,42  %,cinema/images/posters/bournesupremacy.jpg,"[{'id': '248', 'name': 'Matt Damon', 'role': 'Rôle principal', 'character': 'Jason Bourne'}]","[{'name': 'Matt Damon', 'moyenne': 1033919}]",1033919.0,1033919.0
