bankable acteur,moyenne,cluster
Jean-Hugues Anglade,647571.0,1
Gérard Lanvin,1086148.0,0
Zabou Breitman,575630.0,1
Renee Zellweger,575165.0,1
Colin Firth,729090.0,1
Hugh Grant,983715.0,0
Emma Thompson,990806.0,0
Camille Cottin,372997.0,1
Fabrice Luchini,783835.0,1
Channing Tatum,602867.0,1
Mila Kunis,628630.0,1
Eddie Redmayne,1231262.0,0
Jude Law,746466.0,1
Alec Baldwin,683072.0,1
Jeff Goldblum,984799.0,0
Vincent Cassel,940708.0,0
Benoît Magimel,593227.0,1
Mathieu Kassovitz,1128188.0,0
Vincent Lindon,602467.0,1
Karin Viard,684402.0,1
Sam Worthington,1822292.0,2
Ralph Fiennes,1840717.0,2
Liam Neeson,806132.0,1
Rosamund Pike,578277.0,1
Mathilde Seigner,761914.0,1
Sandrine Kiberlain,633654.0,1
Yvan Attal,495954.0,1
Morgan Freeman,1025955.0,0
Dustin Hoffman,1081478.0,0
Rene Russo,1330754.0,0
Patrick Dempsey,934333.0,0
Kevin Spacey,639966.0,1
Cuba Gooding Jr.,624628.0,1
Charles Berling,324520.0,1
Philippe Noiret,917390.0,0
Pascal Elbé,391253.0,1
Kevin Costner,1006499.0,0
Chris Hemsworth,1725937.0,2
Demi Moore,622290.0,1
Burt Reynolds,368335.0,1
Léa Drucker,370308.0,1
Elie Semoun,1189006.0,0
Catherine Deneuve,804290.0,1
Kad Merad,1302759.0,0
Will Smith,1839970.0,2
Clive Owen,636984.0,1
Jennifer Aniston,398030.0,1
Owen Wilson,683014.0,1
François Berléand,718096.0,1
Sandrine Bonnaire,474840.0,1
Vincent Lindon,602467.0,1
Kad Merad,1302759.0,0
Jeremy Renner,1512114.0,0
Famke Janssen,1127067.0,0
Tommy Lee Jones,1040078.0,0
Steven Seagal,411018.0,1
Didier Bourdon,1125223.0,0
Catherine Frot,769713.0,1
Pedro Pascal,830352.0,1
Denzel Washington,568910.0,1
Bill Pullman,496256.0,1
Alexandra Lamy,759875.0,1
Jean-Paul Rouve,1449393.0,0
Sabine Azéma,829894.0,1
Charlotte Gainsbourg,601736.0,1
Emmanuelle Béart,665732.0,1
Isabelle Carré,448235.0,1
Jean-Pierre Darroussin,561454.0,1
Sacha Baron Cohen,668612.0,1
Mel Gibson,1222652.0,0
Sophie Marceau,1103195.0,0
Harrison Ford,1549858.0,0
Kristin Scott Thomas,744904.0,1
Elie Semoun,1189006.0,0
Richard Gere,541835.0,1
Renee Zellweger,575165.0,1
Catherine Zeta Jones,977380.0,0
- Queen Latifah,315273.0,1
John C. Reilly,471670.0,1
Bradley Cooper,849694.0,0
Albert Dupontel,692283.0,1
Catherine Frot,769713.0,1
Nathalie Baye,738247.0,1
Fabrice Luchini,783835.0,1
Joaquin Phoenix,776836.0,1
Emma Stone,765010.0,1
Viola Davis,823176.0,1
Jake Gyllenhaal,685892.0,1
Hugh Jackman,1204170.0,0
Paul Dano,597291.0,1
Jean-Paul Rouve,1449393.0,0
Jérôme Commandeur,2130424.0,2
Kad Merad,1302759.0,0
Harrison Ford,1549858.0,0
Willem Dafoe,812428.0,1
Colin Farrell,647831.0,1
Forest Whitaker,681539.0,1
Kiefer Sutherland,416340.0,1
François Cluzet,936250.0,0
François Berléand,718096.0,1
Clovis Cornillac,812238.0,1
Virginie Efira,546961.0,1
Manu Payet,812396.0,1
Laurent Lafitte,1030427.0,0
Ewan McGregor,841258.0,1
Marion Cotillard,1384256.0,0
Alison Lohman,264389.0,1
Steve Buscemi,379073.0,1
Catherine Deneuve,804290.0,1
Jean-Marc Barr,538378.0,1
Robert De Niro,704717.0,1
Billy Crystal,483352.0,1
Morgan Freeman,1025955.0,0
Jet Li,863290.0,0
Eddie Murphy,816763.0,1
Kevin Spacey,639966.0,1
Chris Pine,489195.0,1
Denzel Washington,568910.0,1
Kenneth Branagh,1144969.0,0
Johnny Depp,1284078.0,0
Penelope Cruz,555782.0,1
Willem Dafoe,812428.0,1
Judi Dench,1242217.0,0
Michelle Pfeiffer,877204.0,0
Samuel L. Jackson,1248160.0,0
Michael Keaton,695972.0,1
Gary Oldman,1667324.0,2
Whoopi Goldberg,531781.0,1
Harvey Keitel,415409.0,1
Cameron Diaz,991389.0,0
Ashton Kutcher,381500.0,1
- Queen Latifah,315273.0,1
Zach Galifianakis,792471.0,1
Ralph Fiennes,1840717.0,2
Zach Galifianakis,792471.0,1
Josiane Balasko,955503.0,0
Didier Bourdon,1125223.0,0
Jérôme Commandeur,2130424.0,2
Dwayne Johnson,1246888.0,0
Alain Chabat,1587428.0,2
Mathilde Seigner,761914.0,1
Fanny Ardant,536818.0,1
Eddie Murphy,816763.0,1
Jean Rochefort,915380.0,0
Ahmed Sylla,381997.0,1
Christian Bale,690751.0,1
Catherine Deneuve,804290.0,1
Vincent Perez,581082.0,1
Jean-Paul Rouve,1449393.0,0
Vincent Perez,581082.0,1
Patrick Timsit,1003005.0,0
Will Ferrell,441872.0,1
Nicole Kidman,659808.0,1
Michael Caine,620222.0,1
Steve Carell,382115.0,1
Matt Damon,1033919.0,0
Brendan Gleeson,1178490.0,0
Greg Kinnear,257394.0,1
Simon Pegg,842401.0,1
Chris Pine,489195.0,1
Idris Elba,1031062.0,0
Bruce Willis,1133115.0,0
Richard Berry,667689.0,1
Jean-Pierre Darroussin,561454.0,1
Jean Dujardin,1376846.0,0
Charles Berling,324520.0,1
Richard Berry,667689.0,1
Jean-Pierre Darroussin,561454.0,1
Mélanie Thierry,433945.0,1
Josh Hartnett,756547.0,1
Tom Hanks,1002550.0,0
Maggie Gyllenhaal,446486.0,1
Oliver Gourmet,462258.0,1
Roschdy Zem,464103.0,1
Vincent Lacoste,603666.0,1
Daniel Auteuil,1006810.0,0
Pierre Arditi,528709.0,1
Charlotte Gainsbourg,601736.0,1
Nathalie Baye,738247.0,1
Miou-Miou,1116189.0,0
Michael Youn,928795.0,0
Ludivine Sagnier,722404.0,1
Penelope Cruz,555782.0,1
Michael Youn,928795.0,0
Thierry Lhermitte,983587.0,0
Patrick Timsit,1003005.0,0
Guillaume Canet,868224.0,0
Marion Cotillard,1384256.0,0
Gilles Lellouche,898194.0,0
Javier Bardem,854792.0,0
Penelope Cruz,555782.0,1
Cameron Diaz,991389.0,0
Michael Fassbender,816691.0,1
Brad Pitt,1326866.0,0
Zabou Breitman,575630.0,1
Guillaume Canet,868224.0,0
Benoît Poelvoorde,839930.0,1
François Berléand,718096.0,1
Gilles Lellouche,898194.0,0
Léa Drucker,370308.0,1
Laurent Lafitte,1030427.0,0
Valérie Lemercier,1499262.0,0
Jean-Claude Van Damme,713095.0,1
Diane Kruger,700049.0,1
Elodie Bouchez,480490.0,1
Catherine Deneuve,804290.0,1
Samy Nacéri,1460289.0,0
Jean-Paul Rouve,1449393.0,0
Romain Duris,659140.0,1
Bradley Cooper,849694.0,0
Robert De Niro,704717.0,1
Michèle Laroque,892896.0,0
Géraldine Nakache,773623.0,1
Manu Payet,812396.0,1
Romain Duris,659140.0,1
Fabrice Luchini,783835.0,1
Ludivine Sagnier,722404.0,1
Edouard Baer,765735.0,1
François Civil,1063617.0,0
Pierre Niney,1213211.0,0
John Travolta,784453.0,1
Denzel Washington,568910.0,1
Brad Pitt,1326866.0,0
Shia LaBeouf,860922.0,0
Gérard Lanvin,1086148.0,0
Jamel Debbouze,2206938.0,2
Lambert Wilson,844391.0,0
Will Smith,1839970.0,2
Gérard Jugnot,1106164.0,0
Michèle Laroque,892896.0,0
Thierry Lhermitte,983587.0,0
Pascal Elbé,391253.0,1
George Clooney,965655.0,0
Jason Bateman,524359.0,1
Zach Galifianakis,792471.0,1
Carrie-Anne Moss,1261796.0,0
Kiefer Sutherland,416340.0,1
Michel Blanc,1188006.0,0
Jean-Paul Rouve,1449393.0,0
Kad Merad,1302759.0,0
Manu Payet,812396.0,1
Géraldine Nakache,773623.0,1
Will Smith,1839970.0,2
Martin Lawrence,581671.0,1
Tea Leoni,570118.0,1
Pierre Niney,1213211.0,0
Gérard Depardieu,1310040.0,0
José Garcia,1089910.0,0
Jean Rochefort,915380.0,0
Roschdy Zem,464103.0,1
Carole Bouquet,569013.0,1
Ron Perlman,911315.0,0
Pierre Richard,1233933.0,0
Alice Pol,719517.0,1
Ralph Fiennes,1840717.0,2
Julia Roberts,1115041.0,0
Kirsten Dunst,1043456.0,0
Maggie Gyllenhaal,446486.0,1
Josh Brolin,980209.0,0
Naomi Watts,473915.0,1
Antonio Banderas,649953.0,1
Anthony Hopkins,885304.0,0
Keanu Reeves,878836.0,0
Halle Berry,970738.0,0
Laurence Fishburne,1027293.0,0
Denzel Washington,568910.0,1
Bruce Willis,1133115.0,0
Chris Hemsworth,1725937.0,2
Liam Neeson,806132.0,1
Emma Thompson,990806.0,0
Sean Penn,327128.0,1
Omar Sy,1789989.0,2
Gérard Depardieu,1310040.0,0
François-Xavier Demaison,819033.0,1
Sam Worthington,1822292.0,2
Sigourney Weaver,1349798.0,0
Nicole Kidman,659808.0,1
George Clooney,965655.0,0
Courteney Cox,895261.0,0
Drew Barrymore,753467.0,1
Liev Schreiber,599554.0,1
Kenneth Branagh,1144969.0,0
Gal Gadot,1494217.0,0
Annette Bening,548003.0,1
Nick Nolte,368545.0,1
Seth Rogen,231913.0,1
Sean Connery,1628324.0,2
Wesley Snipes,543111.0,1
Harvey Keitel,415409.0,1
Steve Buscemi,379073.0,1
John Malkovich,552689.0,1
Bruce Willis,1133115.0,0
Anthony Hopkins,885304.0,0
Helen Mirren,579047.0,1
Catherine Zeta Jones,977380.0,0
Benoît Magimel,593227.0,1
Gérard Depardieu,1310040.0,0
Michael Youn,928795.0,0
Kevin Hart,706823.0,1
Dwayne Johnson,1246888.0,0
Halle Berry,970738.0,0
Sharon Stone,705446.0,1
Lambert Wilson,844391.0,0
Vin Diesel,1382126.0,0
Judi Dench,1242217.0,0
Daniel Auteuil,1006810.0,0
Miou-Miou,1116189.0,0
Oliver Gourmet,462258.0,1
Bernard Campan,965339.0,0
Jean-Pierre Darroussin,561454.0,1
Ramzy Bedia,980380.0,0
Christian Clavier,1940185.0,2
Sylvie Testud,453379.0,1
Michael Youn,928795.0,0
Pascal Elbé,391253.0,1
Colin Farrell,647831.0,1
Anthony Hopkins,885304.0,0
Catherine Deneuve,804290.0,1
Catherine Frot,769713.0,1
Oliver Gourmet,462258.0,1
Catherine Frot,769713.0,1
Jean-Pierre Bacri,1041883.0,0
Jean-Pierre Darroussin,561454.0,1
Agnès Jaoui,665349.0,1
Hugh Jackman,1204170.0,0
Scarlett Johansson,1254402.0,0
Jennifer Love Hewitt,758160.0,1
Virginie Efira,546961.0,1
Bill Murray,647588.0,1
François Civil,1063617.0,0
Pio Marmaï,487895.0,1
Denis Podalydès,489900.0,1
Didier Bourdon,1125223.0,0
Thierry Lhermitte,983587.0,0
John Goodman,555852.0,1
François Cluzet,936250.0,0
Gad Elmaleh,1513226.0,0
Vanessa Paradis,590660.0,1
Ludivine Sagnier,722404.0,1
Niels Arestrup,559184.0,1
Tahar Rahim,520372.0,1
Reda Kateb,402472.0,1
Leïla Bekhti,630885.0,1
Karim Leklou,261790.0,1
Jet Li,863290.0,0
Jennifer Lawrence,1148487.0,0
Jeremy Irons,727417.0,1
Charlotte Rampling,592823.0,1
Matthias Schoenaerts,257126.0,1
Christophe Lambert,621632.0,1
Zach Galifianakis,792471.0,1
Steve Buscemi,379073.0,1
Nicolas Cage,608203.0,1
Penelope Cruz,555782.0,1
Sam Rockwell,408805.0,1
Christian Clavier,1940185.0,2
Catherine Frot,769713.0,1
Jamel Debbouze,2206938.0,2
Eddie Murphy,816763.0,1
Gérard Depardieu,1310040.0,0
Nathalie Baye,738247.0,1
Mathieu Amalric,468160.0,1
Winona Ryder,580454.0,1
Ryan Gosling,843454.0,1
Anthony Hopkins,885304.0,0
Rosamund Pike,578277.0,1
Jeff Daniels,664310.0,1
Louise Bourgoin,500827.0,1
Valérie Lemercier,1499262.0,0
Ryan Reynolds,855619.0,0
Denzel Washington,568910.0,1
Brendan Gleeson,1178490.0,0
Pio Marmaï,487895.0,1
Vincent Elbaz,647227.0,1
Audrey Tautou,1284086.0,0
George Clooney,965655.0,0
Mark Wahlberg,662645.0,1
Ice Cube,269849.0,1
Adrien Brody,608947.0,1
Laurence Fishburne,1027293.0,0
Kev Adams,1422375.0,0
Chloë Grace Moretz,434023.0,1
Charlize Theron,654280.0,1
Fabrice Luchini,783835.0,1
Jean Dujardin,1376846.0,0
Kad Merad,1302759.0,0
Adèle Exarchopoulos,638867.0,1
Léa Seydoux,875598.0,0
Tom Cruise,1742496.0,2
Kenneth Branagh,1144969.0,0
Pierce Brosnan,942816.0,0
Rene Russo,1330754.0,0
Josiane Balasko,955503.0,0
Christian Clavier,1940185.0,2
Gérard Jugnot,1106164.0,0
François-Xavier Demaison,819033.0,1
Pierce Brosnan,942816.0,0
Ewan McGregor,841258.0,1
Helen Mirren,579047.0,1
Sam Neill,847100.0,0
Geoffrey Rush,1255056.0,0
Jean Dujardin,1376846.0,0
Elsa Zylberstein,352459.0,1
Christophe Lambert,621632.0,1
Alice Pol,719517.0,1
Dany Boon,2401746.0,2
Kad Merad,1302759.0,0
Jean-Paul Rouve,1449393.0,0
Alain Chabat,1587428.0,2
François Cluzet,936250.0,0
Marina Foïs,775272.0,1
Laurent Lafitte,1030427.0,0
Virginie Ledoyen,537066.0,1
Josh Brolin,980209.0,0
Javier Bardem,854792.0,0
Tommy Lee Jones,1040078.0,0
Woody Harrelson,856816.0,0
Gaspard Ulliel,686245.0,1
François Cluzet,936250.0,0
Virginie Efira,546961.0,1
Guillaume Canet,868224.0,0
Tom Cruise,1742496.0,2
Gene Hackman,541242.0,1
Ed Harris,756989.0,1
Holly Hunter,504425.0,1
Alexandra Lamy,759875.0,1
Nicole Kidman,659808.0,1
Yvan Attal,495954.0,1
Sean Penn,327128.0,1
Ed Harris,756989.0,1
Jeremy Irons,727417.0,1
Marlon Wayans,762024.0,1
Jessica Biel,514598.0,1
Ryan Reynolds,855619.0,0
Wesley Snipes,543111.0,1
Isabelle Carré,448235.0,1
Benoît Poelvoorde,839930.0,1
Pierre Niney,1213211.0,0
Alice Pol,719517.0,1
Vin Diesel,1382126.0,0
Clint Eastwood,1130535.0,0
Tommy Lee Jones,1040078.0,0
Daniel Auteuil,1006810.0,0
Jean-Pierre Darroussin,561454.0,1
Ashton Kutcher,381500.0,1
Martin Lawrence,581671.0,1
Gary Sinise,1138994.0,0
Ben Affleck,764532.0,1
Jeremy Renner,1512114.0,0
John C. Reilly,471670.0,1
Niels Arestrup,559184.0,1
Benedict Cumberbatch,1605997.0,2
Emily Watson,322618.0,1
Ryan Gosling,843454.0,1
Viola Davis,823176.0,1
Tom Hanks,1002550.0,0
Paul Newman,799345.0,1
Jude Law,746466.0,1
Daniel Craig,1176531.0,0
Catherine Frot,769713.0,1
Robert De Niro,704717.0,1
Al Pacino,598263.0,1
Sylvester Stallone,1184352.0,0
Alice Pol,719517.0,1
Patrick Bruel,1044151.0,0
Fabrice Luchini,783835.0,1
Johnny Depp,1284078.0,0
Angelina Jolie,970914.0,0
Catherine Frot,769713.0,1
Albert Dupontel,692283.0,1
Karin Viard,684402.0,1
Cate Blanchett,1298132.0,0
Sandra Bullock,612196.0,1
Anne Hathaway,934320.0,0
Helena Bonham Carter,1875890.0,2
Dakota Fanning,1011257.0,0
Matt Damon,1033919.0,0
Will Ferrell,441872.0,1
Mark Wahlberg,662645.0,1
Dwayne Johnson,1246888.0,0
Anne Heche,392062.0,1
Samuel L. Jackson,1248160.0,0
Michael Keaton,695972.0,1
Eva Mendes,565343.0,1
Chris Tucker,1761562.0,2
Jackie Chan,726018.0,1
Yvan Attal,495954.0,1
Julie Depardieu,521295.0,1
Jodie Foster,866368.0,0
Richard Gere,541835.0,1
Vincent Cassel,940708.0,0
Franck Dubosc,1206610.0,0
Philippe Lacheau,2058071.0,2
Tommy Lee Jones,1040078.0,0
John Goodman,555852.0,1
Gael Garcia Bernal,195117.0,1
Christian Bale,690751.0,1
Colin Farrell,647831.0,1
Aaron Eckhart,612496.0,1
Robert Carlyle,872328.0,0
Denzel Washington,568910.0,1
Chloë Grace Moretz,434023.0,1
Bill Pullman,496256.0,1
Penelope Cruz,555782.0,1
Didier Bourdon,1125223.0,0
Pascal Legitimus,966372.0,0
Seth Rogen,231913.0,1
Paul Rudd,912182.0,0
Kiefer Sutherland,416340.0,1
Reese Witherspoon,232971.0,1
Luke Evans,1513360.0,0
André Dussollier,799227.0,1
Catherine Frot,769713.0,1
Melvil Poupaud,388416.0,1
Jean-Paul Rouve,1449393.0,0
Geena Davis,1203868.0,0
Michael J. Fox,848496.0,0
Robert De Niro,704717.0,1
Kurt Russell,993234.0,0
Denise Richards,1071110.0,0
Katherine Heigl,321258.0,1
Arnold Schwarzenegger,1278200.0,0
José Garcia,1089910.0,0
Alexandra Lamy,759875.0,1
Michael Youn,928795.0,0
Emily Blunt,648342.0,1
Ryan Gosling,843454.0,1
Jason Momoa,1485698.0,0
Tom Hanks,1002550.0,0
Gary Sinise,1138994.0,0
Sam Rockwell,408805.0,1
Robert Redford,866004.0,0
Woody Harrelson,856816.0,0
Demi Moore,622290.0,1
Billy Bob Thornton,402003.0,1
Jackie Chan,726018.0,1
Jennifer Love Hewitt,758160.0,1
Martin Lawrence,581671.0,1
Paul Giamatti,537639.0,1
Kate Beckinsale,525197.0,1
Josh Brolin,980209.0,0
Jake Gyllenhaal,685892.0,1
Keira Knightley,1170296.0,0
Emily Watson,322618.0,1
Sam Worthington,1822292.0,2
Robin Wright,666646.0,1
Gérard Depardieu,1310040.0,0
Isabelle Adjani,848811.0,0
Yvan Attal,495954.0,1
Virginie Ledoyen,537066.0,1
Lorant Deutsch,583503.0,1
Vincent Lindon,602467.0,1
Fabrice Luchini,783835.0,1
Daniel Auteuil,1006810.0,0
Jonathan Cohen,694715.0,1
Jennifer Lopez,317439.0,1
Steve Martin,179143.0,1
Naomi Watts,473915.0,1
Julia Roberts,1115041.0,0
Tommy Lee Jones,1040078.0,0
Ashley Judd,424981.0,1
Alban Ivanov,748878.0,1
Samuel L. Jackson,1248160.0,0
Christian Bale,690751.0,1
Toni Collette,623989.0,1
Ben Affleck,764532.0,1
Aaron Eckhart,612496.0,1
Uma Thurman,529455.0,1
Paul Giamatti,537639.0,1
Bérénice Bejo,439699.0,1
Gérard Jugnot,1106164.0,0
Benoît Poelvoorde,839930.0,1
François Cluzet,936250.0,0
Emmanuelle Béart,665732.0,1
Rose Byrne,874493.0,0
Zac Efron,500826.0,1
Seth Rogen,231913.0,1
Julia Roberts,1115041.0,0
Clive Owen,636984.0,1
Paul Giamatti,537639.0,1
Keanu Reeves,878836.0,0
Viggo Mortensen,860544.0,0
Naomi Watts,473915.0,1
Vincent Cassel,940708.0,0
Helen Mirren,579047.0,1
Ben Affleck,764532.0,1
Jennifer Aniston,398030.0,1
Drew Barrymore,753467.0,1
Scarlett Johansson,1254402.0,0
Jennifer Connelly,731433.0,1
Bradley Cooper,849694.0,0
George Clooney,965655.0,0
Paul Rudd,912182.0,0
Kevin Bacon,609898.0,1
Sean Penn,327128.0,1
Tim Robbins,476231.0,1
Laurence Fishburne,1027293.0,0
Brendan Fraser,586366.0,1
Timothée Chalamet,1192064.0,0
Elle Fanning,617639.0,1
Edward Norton,668130.0,1
Clint Eastwood,1130535.0,0
Julia Roberts,1115041.0,0
Tim Robbins,476231.0,1
Kim Basinger,676802.0,1
Michel Blanc,1188006.0,0
François Cluzet,936250.0,0
Jean Rochefort,915380.0,0
Forest Whitaker,681539.0,1
Rose Byrne,874493.0,0
Sabine Azéma,829894.0,1
Jérôme Commandeur,2130424.0,2
Thierry Lhermitte,983587.0,0
John Goodman,555852.0,1
Johnny Knoxville,542255.0,1
Mathieu Kassovitz,1128188.0,0
Christopher Walken,506535.0,1
André Dussollier,799227.0,1
Thierry Lhermitte,983587.0,0
Benoît Magimel,593227.0,1
Jacques Villeret,1030615.0,0
Fanny Ardant,536818.0,1
Josiane Balasko,955503.0,0
Vincent Perez,581082.0,1
Michel Serrault,1105357.0,0
Audrey Tautou,1284086.0,0
Christian Bale,690751.0,1
Steve Carell,382115.0,1
Ryan Gosling,843454.0,1
Brad Pitt,1326866.0,0
Margot Robbie,1286424.0,0
Alan Rickman,2368829.0,2
Dustin Hoffman,1081478.0,0
Adam Sandler,160501.0,1
Kevin James,392248.0,1
Dan Aykroyd,714770.0,1
Tobey Maguire,1529110.0,0
Sandra Bullock,612196.0,1
Channing Tatum,602867.0,1
Brad Pitt,1326866.0,0
Daniel Radcliffe,3679078.0,2
Jack Nicholson,703636.0,1
Keanu Reeves,878836.0,0
Diane Keaton,583909.0,1
Frances McDormand,427092.0,1
Sean Penn,327128.0,1
Adrien Brody,608947.0,1
Jim Caviezel,406370.0,1
George Clooney,965655.0,0
Woody Harrelson,856816.0,0
Jared Leto,751362.0,1
John C. Reilly,471670.0,1
John Travolta,784453.0,1
Pierce Brosnan,942816.0,0
Colin Firth,729090.0,1
Andy Garcia,632133.0,1
Meryl Streep,724168.0,1
George Clooney,965655.0,0
Julia Roberts,1115041.0,0
Jean-Pierre Darroussin,561454.0,1
Gérard Lanvin,1086148.0,0
Fabrice Luchini,783835.0,1
Karin Viard,684402.0,1
Sylvester Stallone,1184352.0,0
Louise Bourgoin,500827.0,1
Fabrice Luchini,783835.0,1
Roschdy Zem,464103.0,1
Sandra Bullock,612196.0,1
Ryan Reynolds,855619.0,0
Yvan Attal,495954.0,1
Clovis Cornillac,812238.0,1
Pierre Richard,1233933.0,0
Virginie Efira,546961.0,1
Benoît Poelvoorde,839930.0,1
Josh Brolin,980209.0,0
Ryan Gosling,843454.0,1
Sean Penn,327128.0,1
Nick Nolte,368545.0,1
Emma Stone,765010.0,1
Jamel Debbouze,2206938.0,2
Vincent Cassel,940708.0,0
François Cluzet,936250.0,0
Jack Black,747587.0,1
Emily Blunt,648342.0,1
Jason Segel,224009.0,1
José Garcia,1089910.0,0
Benoît Poelvoorde,839930.0,1
Cécile De France,644071.0,1
Vincent Lindon,602467.0,1
Milla Jovovich,778203.0,1
Gilles Lellouche,898194.0,0
Roschdy Zem,464103.0,1
Gérard Lanvin,1086148.0,0
Michael Douglas,1018055.0,0
Viggo Mortensen,860544.0,0
Gwyneth Paltrow,1178753.0,0
Kevin Spacey,639966.0,1
Jamie Foxx,956348.0,0
Natalie Portman,1348049.0,0
Robin Williams,949237.0,0
Albert Dupontel,692283.0,1
Gérard Lanvin,1086148.0,0
Jacques Villeret,1030615.0,0
Claude Brasseur,1158423.0,0
Christian Clavier,1940185.0,2
Jacques Villeret,1030615.0,0
Alexandra Lamy,759875.0,1
Thierry Lhermitte,983587.0,0
Gérard Depardieu,1310040.0,0
Gad Elmaleh,1513226.0,0
Sabine Azéma,829894.0,1
François-Xavier Demaison,819033.0,1
Nicole Kidman,659808.0,1
Renee Zellweger,575165.0,1
Jude Law,746466.0,1
Brendan Gleeson,1178490.0,0
Cillian Murphy,1146354.0,0
Natalie Portman,1348049.0,0
Philip Seymour Hoffman,633872.0,1
Ben Affleck,764532.0,1
Russell Crowe,745619.0,1
Jason Bateman,524359.0,1
Jeff Daniels,664310.0,1
Viola Davis,823176.0,1
Helen Mirren,579047.0,1
Robin Wright,666646.0,1
Daniel Auteuil,1006810.0,0
Catherine Deneuve,804290.0,1
Benoît Magimel,593227.0,1
Jake Gyllenhaal,685892.0,1
Léa Drucker,370308.0,1
Benoît Poelvoorde,839930.0,1
Fanny Ardant,536818.0,1
Clovis Cornillac,812238.0,1
Oliver Gourmet,462258.0,1
Fabrice Luchini,783835.0,1
Lambert Wilson,844391.0,0
Laure Calamy,374240.0,1
Jason Bateman,524359.0,1
Simon Pegg,842401.0,1
Sigourney Weaver,1349798.0,0
Kristen Wiig,433762.0,1
Seth Rogen,231913.0,1
Christian Clavier,1940185.0,2
Mathilde Seigner,761914.0,1
Daniel Auteuil,1006810.0,0
François Berléand,718096.0,1
Gérard Jugnot,1106164.0,0
Zabou Breitman,575630.0,1
Charles Berling,324520.0,1
Sophie Marceau,1103195.0,0
Vincent Perez,581082.0,1
Jack Black,747587.0,1
Mira Sorvino,202226.0,1
Helena Bonham Carter,1875890.0,2
Sandrine Bonnaire,474840.0,1
Fabrice Luchini,783835.0,1
François Damiens,909443.0,0
Yolande Moreau,869413.0,0
Benoît Poelvoorde,839930.0,1
Catherine Deneuve,804290.0,1
Ewan McGregor,841258.0,1
Clovis Cornillac,812238.0,1
Julie Depardieu,521295.0,1
Thierry Lhermitte,983587.0,0
Patrick Timsit,1003005.0,0
François Berléand,718096.0,1
Eddie Murphy,816763.0,1
Amy Adams,756591.0,1
Jeremy Renner,1512114.0,0
Forest Whitaker,681539.0,1
Alexandra Lamy,759875.0,1
Benedict Cumberbatch,1605997.0,2
Keira Knightley,1170296.0,0
Wesley Snipes,543111.0,1
Clint Eastwood,1130535.0,0
Gene Hackman,541242.0,1
Ed Harris,756989.0,1
Charlotte Rampling,592823.0,1
Ludivine Sagnier,722404.0,1
Jake Gyllenhaal,685892.0,1
Joaquin Phoenix,776836.0,1
John C. Reilly,471670.0,1
Dustin Hoffman,1081478.0,0
Sharon Stone,705446.0,1
- Queen Latifah,315273.0,1
Liev Schreiber,599554.0,1
Kenneth Branagh,1144969.0,0
Vincent Cassel,940708.0,0
Valérie Lemercier,1499262.0,0
Alice Pol,719517.0,1
Josh Hartnett,756547.0,1
Eric Bana,519486.0,1
Ewan McGregor,841258.0,1
Orlando Bloom,2423195.0,2
Tom Hardy,1110186.0,0
Pascal Elbé,391253.0,1
Kad Merad,1302759.0,0
Mathilde Seigner,761914.0,1
Philippe Noiret,917390.0,0
Tom Hanks,1002550.0,0
Denzel Washington,568910.0,1
Antonio Banderas,649953.0,1
Kad Merad,1302759.0,0
Pascal Elbé,391253.0,1
Michèle Laroque,892896.0,0
Michael Youn,928795.0,0
Meryl Streep,724168.0,1
Uma Thurman,529455.0,1
Penelope Cruz,555782.0,1
Gérard Lanvin,1086148.0,0
Guillaume Canet,868224.0,0
José Garcia,1089910.0,0
Vincent Perez,581082.0,1
Sigourney Weaver,1349798.0,0
Jesse Eisenberg,792156.0,1
Woody Harrelson,856816.0,0
Emma Stone,765010.0,1
Dan Aykroyd,714770.0,1
Bill Murray,647588.0,1
Luke Wilson,318892.0,1
Elie Semoun,1189006.0,0
Gérard Jugnot,1106164.0,0
Reese Witherspoon,232971.0,1
Mark Ruffalo,1112998.0,0
Ewan McGregor,841258.0,1
Liam Neeson,806132.0,1
Natalie Portman,1348049.0,0
Samuel L. Jackson,1248160.0,0
Keira Knightley,1170296.0,0
Jennifer Love Hewitt,758160.0,1
Virginie Efira,546961.0,1
Bill Murray,647588.0,1
Emily Blunt,648342.0,1
Matt Damon,1033919.0,0
Pedro Pascal,830352.0,1
Rooney Mara,449892.0,1
Emmanuelle Seigner,729917.0,1
Jean-Pierre Bacri,1041883.0,0
Catherine Deneuve,804290.0,1
François Berléand,718096.0,1
Jacques Dutronc,642514.0,1
Leïla Bekhti,630885.0,1
Fabrice Luchini,783835.0,1
Sharon Stone,705446.0,1
Charlotte Rampling,592823.0,1
Bernard Campan,965339.0,0
Gérard Depardieu,1310040.0,0
Monica Bellucci,1182197.0,0
Edouard Baer,765735.0,1
Jean-Pierre Darroussin,561454.0,1
Heather Graham,526155.0,1
Kenneth Branagh,1144969.0,0
Leonardo DiCaprio,2167821.0,2
Charlize Theron,654280.0,1
Famke Janssen,1127067.0,0
Winona Ryder,580454.0,1
Sam Rockwell,408805.0,1
François-Xavier Demaison,819033.0,1
Léa Drucker,370308.0,1
Oliver Gourmet,462258.0,1
Denis Podalydès,489900.0,1
Jim Carrey,1069923.0,0
