bankable acteur,moyenne
Elie Semoun,1189006.0
François Cluzet,936250.0
Omar Sy,1789989.0
Sandra Bullock,612196.0
Guillaume Canet,868224.0
Steve Carell,382115.0
Marion Cotillard,1384256.0
Gad Elmaleh,1513226.0
Diane Keaton,583909.0
Geoffrey Rush,1255056.0
Bryce Dallas Howard,1928550.0
Chris Pratt,1973562.0
Omar Sy,1789989.0
Dany Boon,2401746.0
Kad Merad,1302759.0
Alice Pol,719517.0
Valérie Bonneton,839651.0
Jonathan Cohen,694715.0
Jérôme Commandeur,2130424.0
Vin Diesel,1382126.0
Paul Walker,935181.0
Dwayne Johnson,1246888.0
Kurt Russell,993234.0
Jason Statham,954392.0
Luke Evans,1513360.0
Eric Bana,519486.0
Franck Dubosc,1206610.0
Samy Nacéri,1460289.0
Tobey Maguire,1529110.0
Kirsten Dunst,1043456.0
James Franco,813821.0
Willem Dafoe,812428.0
Robert Downey Jr,1143031.0
Gwyneth Paltrow,1178753.0
Don Cheadle,1447575.0
Guy Pearce,762043.0
Keanu Reeves,878836.0
Carrie-Anne Moss,1261796.0
Laurence Fishburne,1027293.0
Monica Bellucci,1182197.0
Lambert Wilson,844391.0
Chris Evans,1737423.0
Chris Hemsworth,1725937.0
Josh Brolin,980209.0
Robert Downey Jr,1143031.0
Chris Pratt,1973562.0
Angela Basset,945005.0
Chadwick Boseman,2444599.0
Don Cheadle,1447575.0
Benedict Cumberbatch,1605997.0
Benicio Del Toro,786290.0
Idris Elba,1031062.0
Tom Holland,2643533.0
Scarlett Johansson,1254402.0
Gwyneth Paltrow,1178753.0
Jeremy Renner,1512114.0
Paul Rudd,912182.0
Mark Ruffalo,1112998.0
Bradley Cooper,849694.0
Vin Diesel,1382126.0
Julianne Moore,577795.0
Vince Vaughn,524166.0
Keanu Reeves,878836.0
Carrie-Anne Moss,1261796.0
Laurence Fishburne,1027293.0
Monica Bellucci,1182197.0
Lambert Wilson,844391.0
,
Frédéric Diefenthal,1476968.0
François Damiens,909443.0
Samy Nacéri,1460289.0
,
Robert Pattinson,1913382.0
Kristen Stewart,1013591.0
Dakota Fanning,1011257.0
Bryce Dallas Howard,1928550.0
Robert Pattinson,1913382.0
Kristen Stewart,1013591.0
Rami Malek,1813517.0
Ewan McGregor,841258.0
Samuel L. Jackson,1248160.0
Natalie Portman,1348049.0
Rose Byrne,874493.0
Will Smith,1839970.0
Scarlett Johansson,1254402.0
Morgan Freeman,1025955.0
,
Richard Anconina,1803165.0
Vincent Elbaz,647227.0
José Garcia,1089910.0
Léa Drucker,370308.0
Robert Downey Jr,1143031.0
Scarlett Johansson,1254402.0
Chris Hemsworth,1725937.0
Jeremy Renner,1512114.0
Mark Ruffalo,1112998.0
Chris Evans,1737423.0
Samuel L. Jackson,1248160.0
Gwyneth Paltrow,1178753.0
Sylvester Stallone,1184352.0
Viggo Mortensen,860544.0
Ian McKellen,1843143.0
Elijah Wood,1225138.0
Cate Blanchett,1298132.0
Orlando Bloom,2423195.0
Liv Tyler,1352661.0
Jack Black,747587.0
Chris Pratt,1973562.0
Seth Rogen,231913.0
Franck Dubosc,1206610.0
Gérard Lanvin,1086148.0
Mathilde Seigner,761914.0
Claude Brasseur,1158423.0
Tobey Maguire,1529110.0
Willem Dafoe,812428.0
Kirsten Dunst,1043456.0
James Franco,813821.0
James McAvoy,1168856.0
Liam Neeson,806132.0
Vincent Cassel,940708.0
Samuel Le Bihan,645480.0
Emilie Dequenne,399313.0
Jérémy Renier,391891.0
Monica Bellucci,1182197.0
Gaspard Ulliel,686245.0
Gad Elmaleh,1513226.0
Gérard Depardieu,1310040.0
Manu Payet,812396.0
Mads Mikkelsen,1076825.0
Forest Whitaker,681539.0
Daniel Craig,1176531.0
Javier Bardem,854792.0
Judi Dench,1242217.0
Ralph Fiennes,1840717.0
Steve Carell,382115.0
Gad Elmaleh,1513226.0
Kristen Wiig,433762.0
Milla Jovovich,778203.0
Bruce Willis,1133115.0
Chris Tucker,1761562.0
Mathieu Kassovitz,1128188.0
Vin Diesel,1382126.0
Dwayne Johnson,1246888.0
Charlize Theron,654280.0
Helen Mirren,579047.0
Kurt Russell,993234.0
Jason Statham,954392.0
Luke Evans,1513360.0
Gary Oldman,1667324.0
Robert Downey Jr,1143031.0
Chris Evans,1737423.0
Chris Hemsworth,1725937.0
Mark Ruffalo,1112998.0
Scarlett Johansson,1254402.0
Jeremy Renner,1512114.0
Don Cheadle,1447575.0
Samuel L. Jackson,1248160.0
Idris Elba,1031062.0
Keanu Reeves,878836.0
Laurence Fishburne,1027293.0
Carrie-Anne Moss,1261796.0
Ian McKellen,1843143.0
Cate Blanchett,1298132.0
Orlando Bloom,2423195.0
Luke Evans,1513360.0
Benedict Cumberbatch,1605997.0
Arnold Schwarzenegger,1278200.0
Leonardo DiCaprio,2167821.0
Kate Winslet,1529444.0
Bill Paxton,1284784.0
Guillaume Canet,868224.0
Gilles Lellouche,898194.0
Vincent Cassel,940708.0
Jonathan Cohen,694715.0
Jérôme Commandeur,2130424.0
Marion Cotillard,1384256.0
José Garcia,1089910.0
Manu Payet,812396.0
Ramzy Bedia,980380.0
Franck Gastambide,955729.0
Pierre Richard,1233933.0
Antonio Banderas,649953.0
Alain Chabat,1587428.0
Cameron Diaz,991389.0
Eddie Murphy,816763.0
Mike Myers,849060.0
Seth Rogen,231913.0
Justin Timberlake,497985.0
Vincent Cassel,940708.0
Gérard Lanvin,1086148.0
Jennifer Lopez,317439.0
- Queen Latifah,315273.0
Sean William Scott,678771.0
Elie Semoun,1189006.0
Rebel Wilson,358169.0
Mark Wahlberg,662645.0
Helena Bonham Carter,1875890.0
Paul Giamatti,537639.0
Charlton Heston,1739324.0
Christian Bale,690751.0
