Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre,titre_vo,realisateur,genre,annee,pays,entrees,salles,moy_salle,part_marche,affiche,moyenne_fr_realisateur,sortie,distributeur,classification,acteurs,moyennes_individuelles_acteurs
insoupçonnable,80608.0,121373,,France,Thriller,2010-08-04,Tous publics,Studiocanal,,,0,2,10.0,Charles Berling,,11427,,4761,insoupçonnable,,,Thriller,2010,f25,80608,196,411,66  %,cinema/images/posters/11427-20100621080616.jpg,,04/08/2010,Studiocanal,Tous publics,"[{'id': '71', 'name': 'Charles Berling', 'role': 'Rôle principal', 'character': 'Henri'}]","[{'name': 'Charles Berling', 'moyenne': 324520}]"
man on the moon,80668.0,181388,Milos Forman,Etats-Unis,Comédie,2000-03-15,Tous publics,Warner Bros.,,,0,1,15.0,"Jim Carrey, Paul Giamatti",,2837,252.0,4758,man on the moon,Man on the Moon,Milos Forman,Comédie,2000,f23,80668,0,0,44  %,cinema/images/posters/manmoon.jpg,1180609.0,15/03/2000,Warner Bros.,Tous publics,"[{'id': '175', 'name': 'Jim Carrey', 'role': 'Rôle principal', 'character': 'Andy Kaufman / Tony Clifton'}, {'id': '406', 'name': 'Paul Giamatti', 'role': 'Rôle principal', 'character': 'Bob Zmuda/Tony Clifton'}]","[{'name': 'Jim Carrey', 'moyenne': 1069940}, {'name': 'Paul Giamatti', 'moyenne': 537639}]"
l'extraordinaire voyage du fakir,80690.0,146862,,France,Comédie,2018-05-30,Tous publics,Sony Pictures,,,0,2,6.0,Bérénice Bejo,Gérard Jugnot,17956,,4756,l'extraordinaire voyage du fakir,,,Comédie,2018,f25,80690,359,225,55  %,cinema/images/posters/17956-20180527111920-0.jpg,,30/05/2018,Sony Pictures,Tous publics,"[{'id': '809', 'name': 'Bérénice Bejo', 'role': 'Rôle principal', 'character': 'Nelly Marnay'}, {'id': '144', 'name': 'Gérard Jugnot', 'role': 'Second rôle', 'character': 'Gustave'}]","[{'name': 'Bérénice Bejo', 'moyenne': 439699}, {'name': 'Gérard Jugnot', 'moyenne': 1106164}]"
party girl,80755.0,193080,,France,Comédie dramatique,2014-08-27,Tous publics,Pyramide,,,0,3,13.0,,,14475,,4750,party girl,,,Comédie dramatique,2014,f25,80755,151,535,42  %,cinema/images/posters/14475-20140825051828.jpg,,27/08/2014,Pyramide,Tous publics,,
nurse betty,80705.0,140487,Neil LaBute,Etats-Unis,Romance,2000-08-30,Tous publics,Lolistar,,,0,2,9.0,"Renee Zellweger, Chris Rock","Aaron Eckhart, Morgan Freeman, Greg Kinnear",2548,556.0,4755,nurse betty,Nurse Betty,Neil LaBute,Romance,2000,f23,80705,212,381,57  %,cinema/images/posters/nursebetty.jpg,125537.0,30/08/2000,Lolistar,Tous publics,"[{'id': '312', 'name': 'Renee Zellweger', 'role': 'Rôle principal', 'character': 'Betty Sizemore'}, {'id': '95', 'name': 'Chris Rock', 'role': 'Rôle principal', 'character': ''}, {'id': '557', 'name': 'Aaron Eckhart', 'role': 'Second rôle', 'character': 'Del Sizemore'}, {'id': '253', 'name': 'Morgan Freeman', 'role': 'Second rôle', 'character': ''}, {'id': '145', 'name': 'Greg Kinnear', 'role': 'Second rôle', 'character': 'Dr. David Ravell / George McCord'}]","[{'name': 'Renee Zellweger', 'moyenne': 575359}, {'name': 'Chris Rock', 'moyenne': 492374}, {'name': 'Aaron Eckhart', 'moyenne': 612496}, {'name': 'Morgan Freeman', 'moyenne': 1025955}, {'name': 'Greg Kinnear', 'moyenne': 257394}]"
intervention divine,81267.0,281683,,Palestine,Drame,2002-10-02,Tous publics,Pyramide,,,0,4,8.0,,,1857,,4735,intervention divine,,,Drame,2002,f41.png,81267,105,774,29  %,cinema/images/posters/yadonilaheyya.jpg,,02/10/2002,Pyramide,Tous publics,,
severance,81274.0,151346,,Grande-Bretagne,Horreur,2006-10-18,Moins de 12 ans,Fabrique de Films,,,0,0,,,,492,,4734,severance,,,Horreur,2006,f26,81274,172,473,54  %,cinema/images/posters/severance.jpg,,18/10/2006,Fabrique de Films,,,
a real pain,80744.0,186985,,Etats-Unis,Comédie dramatique,2025-02-26,Tous publics,Walt Disney Pictures,,,0,3,11.0,Jesse Eisenberg,,24108,,4751,a real pain,,,Comédie dramatique,2025,f23,80744,150,538,40  %,cinema/images/posters/A-2024-24108-20250222054203.jpg,,26/02/2025,Walt Disney Pictures,Tous publics,"[{'id': '787', 'name': 'Jesse Eisenberg', 'role': 'Rôle principal', 'character': 'David Kaplan'}]","[{'name': 'Jesse Eisenberg', 'moyenne': 792849}]"
la visite de la fanfare,81331.0,432178,,Israël,Comédie,2007-12-19,Tous publics,Sophie Dulac,,,0,0,,,,9994,,4732,la visite de la fanfare,,,Comédie,2007,f32.png,81331,87,935,19  %,cinema/images/posters/np_9994.jpg,,19/12/2007,Sophie Dulac,Tous publics,,
liberté,81403.0,233998,,France,Drame,2010-02-24,Tous publics,UGC Distribution,,,0,2,16.0,,,11196,,4730,liberté,,,Drame,2010,f25,81403,95,857,35  %,cinema/images/posters/11196-20100225040217.jpg,,24/02/2010,UGC Distribution,Tous publics,,
