Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire,film_id,realisateur_id,rang,titre,titre_vo,realisateur,genre,annee,pays,entrees,salles,moy_salle,part_marche,affiche,moyenne_fr_realisateur,sortie,distributeur,classification,acteurs,moyennes_individuelles_acteurs
une famille très moderne,98680.0,172551,,Etats-Unis,Romance,2010-08-25,Tous publics,Metropolitan,,,0,3,12.0,"Jennifer Aniston, Jason Bateman",Jeff Goldblum,11308,,4297,une famille très moderne,,,Romance,2010,f23,98680,148,667,57  %,cinema/images/posters/11308-20100802110818.jpg,,25/08/2010,Metropolitan,Tous publics,"[{'id': '22', 'name': 'Jennifer Aniston', 'role': 'Rôle principal', 'character': 'Kassie Larson'}, {'id': '837', 'name': 'Jason Bateman', 'role': 'Rôle principal', 'character': 'Wally Mars'}, {'id': '190', 'name': 'Jeff Goldblum', 'role': 'Second rôle', 'character': 'Leonard'}]","[{'name': 'Jennifer Aniston', 'moyenne': 398030}, {'name': 'Jason Bateman', 'moyenne': 524359}, {'name': 'Jeff Goldblum', 'moyenne': 984799}]"
prémonitions (2007),98795.0,179605,,Etats-Unis,Thriller,2007-08-29,Tous publics,TFM Distribution,,,0,0,,Sandra Bullock,,151,,4295,prémonitions (2007),,,Thriller,2007,f23,98795,200,494,55  %,cinema/images/posters/p_22.jpg,,29/08/2007,TFM Distribution,Tous publics,"[{'id': '65', 'name': 'Sandra Bullock', 'role': 'Rôle principal', 'character': 'Linda'}]","[{'name': 'Sandra Bullock', 'moyenne': 612196}]"
la vie très privée de monsieur sim,98836.0,262245,,France,Comédie dramatique,2015-12-16,Tous publics,Mars Distribution,,,0,4,10.0,"Mathieu Amalric, Jean-Pierre Bacri",Vincent Lacoste,15580,,4294,la vie très privée de monsieur sim,,,Comédie dramatique,2015,f25,98836,151,655,38  %,cinema/images/posters/15580-20151211114404-0.jpg,,16/12/2015,Mars Distribution,Tous publics,"[{'id': '630', 'name': 'Mathieu Amalric', 'role': 'Rôle principal', 'character': 'Samuel'}, {'id': '203', 'name': 'Jean-Pierre Bacri', 'role': 'Rôle principal', 'character': 'François Sim'}, {'id': '866', 'name': 'Vincent Lacoste', 'role': 'Second rôle', 'character': 'Jacques à 20 ans'}]","[{'name': 'Mathieu Amalric', 'moyenne': 468160}, {'name': 'Jean-Pierre Bacri', 'moyenne': 1041883}, {'name': 'Vincent Lacoste', 'moyenne': 603666}]"
tár,98869.0,319357,,Etats-Unis,Drame,2023-01-25,Tous publics,Universal,,,0,4,8.0,Cate Blanchett,,22300,,4293,tár,,,Drame,2023,f23,98869,187,529,31  %,cinema/images/posters/22300-20221001041349-0.jpg,,25/01/2023,Universal,Tous publics,"[{'id': '51', 'name': 'Cate Blanchett', 'role': 'Rôle principal', 'character': 'Lydia Tár'}]","[{'name': 'Cate Blanchett', 'moyenne': 1298132}]"
enemy,99480.0,203225,Denis Villeneuve,Canada,Thriller,2014-08-27,Tous publics,Version Originale,,,0,3,10.0,"Jake Gyllenhaal, Mélanie Laurent",,14144,894.0,4283,enemy,Enemy,Denis Villeneuve,Thriller,2014,f14.png,99480,157,634,49  %,cinema/images/posters/14144-20140824062538-0.jpg,1294036.0,27/08/2014,Version Originale,Tous publics,"[{'id': '192', 'name': 'Jake Gyllenhaal', 'role': 'Rôle principal', 'character': 'Adam Bell / Anthony St. Claire'}, {'id': '629', 'name': 'Mélanie Laurent', 'role': 'Rôle principal', 'character': 'Mary'}]","[{'name': 'Jake Gyllenhaal', 'moyenne': 685892}, {'name': 'Mélanie Laurent', 'moyenne': 737378}]"
les banshees d'inisherin,99482.0,414516,,Irlande,Comédie dramatique,2022-12-28,Tous publics,Walt Disney Pictures,,,0,5,6.0,"Colin Farrell, Brendan Gleeson",,22334,,4282,les banshees d'inisherin,,,Comédie dramatique,2022,f31.png,99482,171,582,24  %,cinema/images/posters/22334-20221014051654-0.jpg,,28/12/2022,Walt Disney Pictures,Tous publics,"[{'id': '78', 'name': 'Colin Farrell', 'role': 'Rôle principal', 'character': 'Pádraic Súilleabháin'}, {'id': '910', 'name': 'Brendan Gleeson', 'role': 'Rôle principal', 'character': 'Colm Doherty'}]","[{'name': 'Colin Farrell', 'moyenne': 647831}, {'name': 'Brendan Gleeson', 'moyenne': 1178490}]"
companion,99968.0,192805,,Etats-Unis,Horreur,2025-01-29,Moins de 12 ans,Warner Bros.,,,0,2,6.0,,,24398,,4271,companion,,,Horreur,2025,f23,99968,366,273,52  %,cinema/images/posters/A-2025-24398-20250125044216.jpg,,29/01/2025,Warner Bros.,,,
l'espion qui m'a larguée,99529.0,156680,,Etats-Unis,Comédie,2018-08-08,Tous publics,Metropolitan,,,0,2,9.0,Mila Kunis,Kev Adams,17507,,4281,l'espion qui m'a larguée,,,Comédie,2018,f23,99529,341,292,64  %,cinema/images/posters/17507-20180730101324-0.jpg,,08/08/2018,Metropolitan,Tous publics,"[{'id': '939', 'name': 'Mila Kunis', 'role': 'Rôle principal', 'character': 'Audrey'}, {'id': '862', 'name': 'Kev Adams', 'role': 'Second rôle', 'character': ''}]","[{'name': 'Mila Kunis', 'moyenne': 628630}, {'name': 'Kev Adams', 'moyenne': 1422375}]"
max et les maximonstres,99567.0,234332,Spike Jonze,Etats-Unis,Film familial,2009-12-16,Tous publics,Warner Bros.,,,0,2,10.0,,Mark Ruffalo,10617,572.0,4280,max et les maximonstres,Where the Wild Things Are,Spike Jonze,Film familial,2009,f23,99567,278,358,42  %,cinema/images/posters/10617-20091026051005.jpg,373567.0,16/12/2009,Warner Bros.,Tous publics,"[{'id': '410', 'name': 'Mark Ruffalo', 'role': 'Second rôle', 'character': 'le petit ami'}, {'id': '1044', 'name': 'Paul Dano', 'role': 'Voix-off', 'character': 'Alexander'}, {'id': '137', 'name': 'Forest Whitaker', 'role': 'Voix-off', 'character': 'Ira'}]","[{'name': 'Mark Ruffalo', 'moyenne': 1113523}, {'name': 'Paul Dano', 'moyenne': 597291}, {'name': 'Forest Whitaker', 'moyenne': 681539}]"
ami-ami,99573.0,156402,,France,Comédie,2018-01-17,Tous publics,Le Pacte,,,0,2,11.0,,Jonathan Cohen,17764,,4279,ami-ami,,,Comédie,2018,f25,99573,294,339,64  %,cinema/images/posters/17764-20180122120833-0.jpg,,17/01/2018,Le Pacte,Tous publics,"[{'id': '1048', 'name': 'Jonathan Cohen', 'role': 'Second rôle', 'character': 'Frédéric'}, {'id': '858', 'name': 'Manu Payet', 'role': 'Apparition', 'character': 'Voisin érotomane'}]","[{'name': 'Jonathan Cohen', 'moyenne': 694715}, {'name': 'Manu Payet', 'moyenne': 812396}]"
oscar et la dame rose,99583.0,239321,,France,Comédie dramatique,2009-12-09,Tous publics,Wild Bunch,,,0,2,11.0,Michèle Laroque,,11079,,4278,oscar et la dame rose,,,Comédie dramatique,2009,f25,99583,287,347,42  %,cinema/images/posters/11079-20091207081240.jpg,,09/12/2009,Wild Bunch,Tous publics,"[{'id': '1002', 'name': 'Michèle Laroque', 'role': 'Rôle principal', 'character': 'Rose'}]","[{'name': 'Michèle Laroque', 'moyenne': 892896}]"
chrysalis,99590.0,131926,,France,Thriller,2007-10-31,Moins de 12 ans,Gaumont,,,0,0,,Albert Dupontel,Mélanie Thierry,190,,4276,chrysalis,,,Thriller,2007,f25,99590,320,311,75  %,cinema/images/posters/p_26.jpg,,31/10/2007,Gaumont,,"[{'id': '7', 'name': 'Albert Dupontel', 'role': 'Rôle principal', 'character': 'David Hoffmann'}, {'id': '1009', 'name': 'Mélanie Thierry', 'role': 'Second rôle', 'character': 'Manon Brügen'}]","[{'name': 'Albert Dupontel', 'moyenne': 692283}, {'name': 'Mélanie Thierry', 'moyenne': 433945}]"
the duchess,99747.0,230911,,Etats-Unis,Drame,2008-11-12,Tous publics,Pathé,,,0,1,8.0,"Ralph Fiennes, Keira Knightley, Charlotte Rampling",,10264,,4273,the duchess,,,Drame,2008,f23,99747,127,785,43  %,cinema/images/posters/np_10264.jpg,,12/11/2008,Pathé,Tous publics,"[{'id': '300', 'name': 'Ralph Fiennes', 'role': 'Rôle principal', 'character': 'Le Duc du Devonshire'}, {'id': '224', 'name': 'Keira Knightley', 'role': 'Rôle principal', 'character': 'Georgiana, La Duchesse du Devonshire'}, {'id': '929', 'name': 'Charlotte Rampling', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Ralph Fiennes', 'moyenne': 1840748}, {'name': 'Keira Knightley', 'moyenne': 1170296}, {'name': 'Charlotte Rampling', 'moyenne': 592872}]"
un grand mariage,99788.0,158371,,Etats-Unis,Comédie,2013-05-22,Tous publics,Metropolitan,,,0,2,9.0,"Robert De Niro, Katherine Heigl, Diane Keaton","Susan Sarandon, Robin Williams",12921,,4272,un grand mariage,,,Comédie,2013,f23,99788,264,378,63  %,cinema/images/posters/12921-20130414120446.jpg,,22/05/2013,Metropolitan,Tous publics,"[{'id': '294', 'name': 'Robert De Niro', 'role': 'Rôle principal', 'character': 'Don Griffin'}, {'id': '599', 'name': 'Katherine Heigl', 'role': 'Rôle principal', 'character': 'Lyla Griffin'}, {'id': '109', 'name': 'Diane Keaton', 'role': 'Rôle principal', 'character': 'Ellie Griffin'}, {'id': '331', 'name': 'Susan Sarandon', 'role': 'Second rôle', 'character': 'Bebe McBride'}, {'id': '311', 'name': 'Robin Williams', 'role': 'Second rôle', 'character': 'Le père Monaghan'}]","[{'name': 'Robert De Niro', 'moyenne': 704796}, {'name': 'Katherine Heigl', 'moyenne': 321258}, {'name': 'Diane Keaton', 'moyenne': 583909}, {'name': 'Susan Sarandon', 'moyenne': 309901}, {'name': 'Robin Williams', 'moyenne': 949237}]"
l'adieu à la nuit,100079.0,260959,André Téchiné,France,Drame,2019-04-24,Tous publics,Ad vitam,,,0,5,9.0,Catherine Deneuve,,19223,31.0,4270,l'adieu à la nuit,L'Adieu à la nuit,André Téchiné,Drame,2019,f25,100079,162,618,38  %,cinema/images/posters/19223-20190420054724-0.jpg,384735.0,24/04/2019,Ad vitam,Tous publics,"[{'id': '76', 'name': 'Catherine Deneuve', 'role': 'Rôle principal', 'character': 'Muriel'}]","[{'name': 'Catherine Deneuve', 'moyenne': 804295}]"
paterson,100137.0,408173,Jim Jarmusch,Etats-Unis,Comédie dramatique,2016-12-21,Tous publics,Le Pacte,,,0,5,12.0,Adam Driver,,16557,915.0,4267,paterson,Paterson,Jim Jarmusch,Comédie dramatique,2016,f23,100137,114,878,25  %,cinema/images/posters/16557-20161219034747-0.jpg,333295.0,21/12/2016,Le Pacte,Tous publics,"[{'id': '971', 'name': 'Adam Driver', 'role': 'Rôle principal', 'character': 'Paterson'}]","[{'name': 'Adam Driver', 'moyenne': 1402233}]"
the apprentice,100391.0,269035,,Canada,Drame,2024-10-09,Tous publics,Metropolitan,,,0,3,9.0,,,24066,,4246,the apprentice,,,Drame,2024,f14.png,100391,319,315,37  %,cinema/images/posters/A-2024-24066-20241010104320.jpg,,09/10/2024,Metropolitan,Tous publics,,
warrior,100169.0,196439,,Etats-Unis,Aventure - Action,2011-09-14,Tous publics,Metropolitan,,,0,3,11.0,Tom Hardy,Nick Nolte,12092,,4263,warrior,,,Aventure - Action,2011,f23,100169,219,457,51  %,cinema/images/posters/12092-20110827120844.jpg,,14/09/2011,Metropolitan,Tous publics,"[{'id': '821', 'name': 'Tom Hardy', 'role': 'Rôle principal', 'character': ''}, {'id': '274', 'name': 'Nick Nolte', 'role': 'Second rôle', 'character': 'Paddy Conlon'}]","[{'name': 'Tom Hardy', 'moyenne': 1110186}, {'name': 'Nick Nolte', 'moyenne': 368545}]"
une vie de chat,100469.0,409205,,France,Animation,2010-12-15,Tous publics,Gébéka,,,0,3,12.0,,,11824,,4243,une vie de chat,,,Animation,2010,f25,100469,171,588,25  %,cinema/images/posters/11824-20101214071222.jpg,,15/12/2010,Gébéka,Tous publics,,
dikkenek,100169.0,122871,,Belgique,Comédie,2006-06-21,Tous publics,EuropaCorp,,,0,2,15.0,"Jérémy Renier, Marion Cotillard",Mélanie Laurent,506,,4264,dikkenek,,,Comédie,2006,f8,100169,178,563,82  %,cinema/images/posters/dikkenek.jpg,,21/06/2006,EuropaCorp,Tous publics,"[{'id': '775', 'name': 'Jérémy Renier', 'role': 'Rôle principal', 'character': 'Greg'}, {'id': '246', 'name': 'Marion Cotillard', 'role': 'Rôle principal', 'character': ''}, {'id': '629', 'name': 'Mélanie Laurent', 'role': 'Second rôle', 'character': 'Natacha'}]","[{'name': 'Jérémy Renier', 'moyenne': 391891}, {'name': 'Marion Cotillard', 'moyenne': 1384256}, {'name': 'Mélanie Laurent', 'moyenne': 737378}]"
veuillez-nous excuser pour la gêne occasionnée,100308.0,217162,,France,Comédie,2023-08-09,Tous publics,UGC Distribution,,,0,3,10.0,"- Artus, Elsa Zylberstein",,23001,,4252,veuillez-nous excuser pour la gêne occasionnée,,,Comédie,2023,f25,100308,351,286,46  %,cinema/images/posters/A-2023-23001-20230805063452.jpg,,09/08/2023,UGC Distribution,Tous publics,"[{'id': '1050', 'name': '- Artus', 'role': 'Rôle principal', 'character': 'Sébastien'}, {'id': '923', 'name': 'Elsa Zylberstein', 'role': 'Rôle principal', 'character': 'Madeleine'}]","[{'name': '- Artus', 'moyenne': 994468}, {'name': 'Elsa Zylberstein', 'moyenne': 352459}]"
la fidélité,100325.0,203684,Andrzej Zulawski,France,Drame,2000-04-05,Tous publics,Gémini Films,,,0,2,8.0,"Sophie Marceau, Guillaume Canet",,2527,682.0,4250,la fidélité,La Fidélité,Andrzej Zulawski,Drame,2000,f25,100325,0,0,49  %,cinema/images/posters/fidelite.jpg,557293.0,05/04/2000,Gémini Films,Tous publics,"[{'id': '324', 'name': 'Sophie Marceau', 'role': 'Rôle principal', 'character': ''}, {'id': '139', 'name': 'Guillaume Canet', 'role': 'Rôle principal', 'character': 'Nemo'}]","[{'name': 'Sophie Marceau', 'moyenne': 1103195}, {'name': 'Guillaume Canet', 'moyenne': 868224}]"
visions (2023),100349.0,170639,,France,Thriller,2023-09-06,Tous publics,SND,,,0,3,5.0,"Mathieu Kassovitz, Diane Kruger",,23004,,4249,visions (2023),,,Thriller,2023,f25,100349,540,186,59  %,cinema/images/posters/A-2023-23004-20230815065610.jpg,,06/09/2023,SND,Tous publics,"[{'id': '598', 'name': 'Mathieu Kassovitz', 'role': 'Rôle principal', 'character': 'Guillaume'}, {'id': '455', 'name': 'Diane Kruger', 'role': 'Rôle principal', 'character': 'Estelle'}]","[{'name': 'Mathieu Kassovitz', 'moyenne': 1128188}, {'name': 'Diane Kruger', 'moyenne': 700049}]"
bienvenue parmi nous,100361.0,185050,Jean Becker,France,Drame,2012-06-13,Tous publics,Studiocanal,,,0,3,6.0,Miou-Miou,,12814,172.0,4248,bienvenue parmi nous,Bienvenue parmi nous,Jean Becker,Drame,2012,f25,100361,356,282,54  %,cinema/images/posters/12814-20120501110517.jpg,1490407.0,13/06/2012,Studiocanal,Tous publics,"[{'id': '382', 'name': 'Miou-Miou', 'role': 'Rôle principal', 'character': 'Alice'}]","[{'name': 'Miou-Miou', 'moyenne': 1116193}]"
les châtiments,100375.0,192412,,Etats-Unis,Horreur,2007-04-18,Tous publics,Warner Bros.,,,0,1,7.0,"Idris Elba, Hilary Swank",,80,,4247,les châtiments,,,Horreur,2007,f23,100375,197,510,52  %,cinema/images/posters/p_33.jpg,,18/04/2007,Warner Bros.,Tous publics,"[{'id': '908', 'name': 'Idris Elba', 'role': 'Rôle principal', 'character': 'Ben'}, {'id': '164', 'name': 'Hilary Swank', 'role': 'Rôle principal', 'character': 'Kathrine Winter'}]","[{'name': 'Idris Elba', 'moyenne': 1031062}, {'name': 'Hilary Swank', 'moyenne': 414409}]"
tout s’est bien passé,100494.0,255919,François Ozon,France,Comédie dramatique,2021-09-22,Tous publics,Diaphana,,,0,4,7.0,"André Dussollier, Sophie Marceau",Charlotte Rampling,21233,135.0,4242,tout s’est bien passé,Tout s’est bien passé (Everything Went Fine),François Ozon,Comédie dramatique,2021,f25,100494,360,279,39  %,cinema/images/posters/21233-20210917061836-0.jpg,665204.0,22/09/2021,Diaphana,Tous publics,"[{'id': '8', 'name': 'André Dussollier', 'role': 'Rôle principal', 'character': 'André'}, {'id': '324', 'name': 'Sophie Marceau', 'role': 'Rôle principal', 'character': 'Emmanuelle'}, {'id': '929', 'name': 'Charlotte Rampling', 'role': 'Second rôle', 'character': 'Claude'}]","[{'name': 'André Dussollier', 'moyenne': 799227}, {'name': 'Sophie Marceau', 'moyenne': 1103195}, {'name': 'Charlotte Rampling', 'moyenne': 592872}]"
coupez !,100526.0,287939,Michel Hazanavicius,France,Comédie,2022-05-18,Tous publics,Pan-Européenne,,,0,6,2.0,"Bérénice Bejo, Romain Duris",,22056,776.0,4241,coupez !,Coupez ! (Final Cut),Michel Hazanavicius,Comédie,2022,f25,100526,470,214,35  %,cinema/images/posters/22056-20220508120619-0.jpg,1223722.0,18/05/2022,Pan-Européenne,Tous publics,"[{'id': '809', 'name': 'Bérénice Bejo', 'role': 'Rôle principal', 'character': 'Nadia / Natsumi'}, {'id': '297', 'name': 'Romain Duris', 'role': 'Rôle principal', 'character': 'Rémi / Higurashi'}]","[{'name': 'Bérénice Bejo', 'moyenne': 439699}, {'name': 'Romain Duris', 'moyenne': 659140}]"
léo et les extra-terrestres,100822.0,220790,,Allemagne,Animation,2018-05-09,Tous publics,ARP Selection,,,0,3,11.0,,,18131,,4234,léo et les extra-terrestres,,,Animation,2018,f4,100822,273,369,46  %,cinema/images/posters/18131-20180514055932-0.jpg,,09/05/2018,ARP Selection,Tous publics,,
divorces,100651.0,156182,,France,Comédie,2009-10-14,Tous publics,Studiocanal,,,0,2,6.0,François-Xavier Demaison,,11013,,4240,divorces,,,Comédie,2009,f25,100651,333,302,64  %,cinema/images/posters/11013-20091006071049.jpg,,14/10/2009,Studiocanal,Tous publics,"[{'id': '713', 'name': 'François-Xavier Demaison', 'role': 'Rôle principal', 'character': 'Alex'}]","[{'name': 'François-Xavier Demaison', 'moyenne': 819033}]"
et maintenant on va où?,101055.0,379094,,France,Drame,2011-09-14,Tous publics,Pathé,,,0,6,9.0,,,12357,,4224,et maintenant on va où?,,,Drame,2011,f25,101055,135,749,27  %,cinema/images/posters/12357-20110915050944.jpg,,14/09/2011,Pathé,Tous publics,,
un cœur invaincu,100665.0,176587,Michael Winterbottom,Etats-Unis,Drame,2007-09-19,Tous publics,Paramount,,,0,2,7.0,Angelina Jolie,,168,510.0,4239,un cœur invaincu,A Mighty Heart,Michael Winterbottom,Drame,2007,f23,100665,199,506,57  %,cinema/images/posters/p_5284.jpg,52644.0,19/09/2007,Paramount,Tous publics,"[{'id': '14', 'name': 'Angelina Jolie', 'role': 'Rôle principal', 'character': 'Mariane Pearl'}]","[{'name': 'Angelina Jolie', 'moyenne': 970947}]"
jcvd,100684.0,163111,,France,Comédie,2008-06-04,Tous publics,Gaumont,,,0,3,5.0,"François Damiens, Jean-Claude Van Damme",,10068,,4238,jcvd,,,Comédie,2008,f25,100684,364,277,62  %,cinema/images/posters/np_10068.jpg,,04/06/2008,Gaumont,Tous publics,"[{'id': '918', 'name': 'François Damiens', 'role': 'Rôle principal', 'character': 'Bruges'}, {'id': '377', 'name': 'Jean-Claude Van Damme', 'role': 'Rôle principal', 'character': 'Jean-Claude Van Damme'}]","[{'name': 'François Damiens', 'moyenne': 909456}, {'name': 'Jean-Claude Van Damme', 'moyenne': 713095}]"
ordinary decent criminal,100753.0,351012,,Irlande,Thriller,2000-07-19,Tous publics,Pyramide,,,0,5,5.0,"Linda Fiorentino, Kevin Spacey",Colin Farrell,2495,,4237,ordinary decent criminal,,,Thriller,2000,f31.png,100753,0,0,29  %,cinema/images/posters/ordinarydcriminal.jpg,,19/07/2000,Pyramide,Tous publics,"[{'id': '234', 'name': 'Linda Fiorentino', 'role': 'Rôle principal', 'character': 'Christine Lynch'}, {'id': '228', 'name': 'Kevin Spacey', 'role': 'Rôle principal', 'character': 'Michael Lynch'}, {'id': '78', 'name': 'Colin Farrell', 'role': 'Second rôle', 'character': 'Alec'}, {'id': '845', 'name': 'Christoph Waltz', 'role': 'Apparition', 'character': 'Peter'}]","[{'name': 'Linda Fiorentino', 'moyenne': 755710}, {'name': 'Kevin Spacey', 'moyenne': 639966}, {'name': 'Colin Farrell', 'moyenne': 647831}, {'name': 'Christoph Waltz', 'moyenne': 1411275}]"
"piccolo, saxo et cie",101152.0,356325,,France,Animation,2006-12-20,Tous publics,Haut et Court,,,0,0,,,,450,,4220,"piccolo, saxo et cie",,,Animation,2006,f25,101152,264,383,28  %,cinema/images/posters/piccolosaxocie.jpg,,20/12/2006,Haut et Court,Tous publics,,
l'age d'homme,100758.0,199253,,France,Comédie,2007-09-12,Tous publics,UGC Distribution,,,0,2,5.0,Romain Duris,,9721,,4236,l'age d'homme,,,Comédie,2007,f25,100758,201,501,51  %,cinema/images/posters/p_5396.jpg,,12/09/2007,UGC Distribution,Tous publics,"[{'id': '297', 'name': 'Romain Duris', 'role': 'Rôle principal', 'character': 'Samuel'}]","[{'name': 'Romain Duris', 'moyenne': 659140}]"
l'ordre et la morale,100867.0,151870,Mathieu Kassovitz,France,Drame,2011-11-16,Tous publics,UGC Distribution,,,0,2,8.0,Mathieu Kassovitz,"Sylvie Testud, Philippe Torreton",11799,257.0,4233,l'ordre et la morale,L'Ordre et la morale,Mathieu Kassovitz,Drame,2011,f25,100867,302,334,66  %,cinema/images/posters/11799-20101204111241.jpg,1056708.0,16/11/2011,UGC Distribution,Tous publics,"[{'id': '598', 'name': 'Mathieu Kassovitz', 'role': 'Rôle principal', 'character': 'Capitaine du GIGN Philippe Legorjus'}, {'id': '470', 'name': 'Sylvie Testud', 'role': 'Second rôle', 'character': 'Chantal Legorjus'}, {'id': '286', 'name': 'Philippe Torreton', 'role': 'Second rôle', 'character': 'Christian Prouteau'}]","[{'name': 'Mathieu Kassovitz', 'moyenne': 1128188}, {'name': 'Sylvie Testud', 'moyenne': 453379}, {'name': 'Philippe Torreton', 'moyenne': 360439}]"
le clan,101291.0,216106,,France,Comédie,2023-01-18,Tous publics,-,,,0,2,6.0,,,22637,,4215,le clan,,,Comédie,2023,f25,101291,238,426,47  %,cinema/images/posters/22637-20230119061352.jpg,,18/01/2023,-,Tous publics,,
the woman king,100875.0,439610,,Etats-Unis,Aventure - Action,2022-09-28,Tous publics,Sony Pictures,,,0,5,6.0,Viola Davis,,22286,,4232,the woman king,,,Aventure - Action,2022,f23,100875,294,343,23  %,cinema/images/posters/22286-20220828035322-0.jpg,,28/09/2022,Sony Pictures,Tous publics,"[{'id': '1031', 'name': 'Viola Davis', 'role': 'Rôle principal', 'character': 'Nanisca'}]","[{'name': 'Viola Davis', 'moyenne': 823176}]"
lazarus effect,101092.0,200530,,Etats-Unis,Horreur,2015-03-11,Tous publics,Metropolitan,,,0,2,12.0,,,15013,,4223,lazarus effect,,,Horreur,2015,f23,101092,204,496,50  %,cinema/images/posters/15013-20150208074115-0.jpg,,11/03/2015,Metropolitan,Tous publics,,
le croque-mitaine,101134.0,301331,,Etats-Unis,Horreur,2023-05-31,Moins de 12 ans,Walt Disney Pictures,,,0,5,6.0,,,22934,,4222,le croque-mitaine,,,Horreur,2023,f23,101134,284,356,34  %,cinema/images/posters/A-2023-22934-20230527072733.jpg,,31/05/2023,Walt Disney Pictures,,,
les chemins de la dignité,101151.0,223490,,Etats-Unis,Aventure - Action,2001-05-02,Tous publics,UFD,,,0,5,7.0,"Robert De Niro, Cuba Gooding Jr., Charlize Theron",,2522,,4221,les chemins de la dignité,,,Aventure - Action,2001,f23,101151,198,511,45  %,cinema/images/posters/menhonor.jpg,,02/05/2001,UFD,Tous publics,"[{'id': '294', 'name': 'Robert De Niro', 'role': 'Rôle principal', 'character': 'Master Chief Billy Sunday'}, {'id': '80', 'name': 'Cuba Gooding Jr.', 'role': 'Rôle principal', 'character': 'Carl Brashear'}, {'id': '99', 'name': 'Charlize Theron', 'role': 'Rôle principal', 'character': 'Gwen'}]","[{'name': 'Robert De Niro', 'moyenne': 704796}, {'name': 'Cuba Gooding Jr.', 'moyenne': 624628}, {'name': 'Charlize Theron', 'moyenne': 654280}]"
starbuck,101512.0,464383,,Canada,Comédie,2012-06-27,Tous publics,Diaphana,,,0,9,9.0,,,12874,,4205,starbuck,,,Comédie,2012,f14.png,101512,189,537,22  %,cinema/images/posters/12874-20120625100610.jpg,,27/06/2012,Diaphana,Tous publics,,
sa majesté minor,101297.0,139521,Jean-Jacques Annaud,France,Comédie,2007-10-10,Tous publics,Studiocanal,,,0,1,8.0,"Vincent Cassel, José Garcia",Claude Brasseur,176,23.0,4214,sa majesté minor,Sa Majesté Minor,Jean-Jacques Annaud,Comédie,2007,f25,101297,497,204,73  %,cinema/images/posters/p_5352.jpg,2227842.0,10/10/2007,Studiocanal,Tous publics,"[{'id': '349', 'name': 'Vincent Cassel', 'role': 'Rôle principal', 'character': 'Satyre'}, {'id': '189', 'name': 'José Garcia', 'role': 'Rôle principal', 'character': 'Minor'}, {'id': '409', 'name': 'Claude Brasseur', 'role': 'Second rôle', 'character': 'Firos'}]","[{'name': 'Vincent Cassel', 'moyenne': 940708}, {'name': 'José Garcia', 'moyenne': 1089952}, {'name': 'Claude Brasseur', 'moyenne': 1158423}]"
hot fuzz,101302.0,166744,Edgar Wright,Grande-Bretagne,Comédie,2007-07-18,Tous publics,Studiocanal,,,0,2,5.0,Simon Pegg,,138,827.0,4213,hot fuzz,Hot Fuzz,Edgar Wright,Comédie,2007,f26,101302,149,680,61  %,cinema/images/posters/p_4857.jpg,227201.0,18/07/2007,Studiocanal,Tous publics,"[{'id': '608', 'name': 'Simon Pegg', 'role': 'Rôle principal', 'character': ''}]","[{'name': 'Simon Pegg', 'moyenne': 842401}]"
bachelorette,101311.0,172871,,Etats-Unis,Comédie,2012-10-17,Tous publics,Mars Distribution,,,0,2,7.0,"Kirsten Dunst, Rebel Wilson",,12947,,4211,bachelorette,,,Comédie,2012,f23,101311,176,576,59  %,cinema/images/posters/12947-20120817090801.jpg,,17/10/2012,Mars Distribution,Tous publics,"[{'id': '220', 'name': 'Kirsten Dunst', 'role': 'Rôle principal', 'character': 'Regan'}, {'id': '999', 'name': 'Rebel Wilson', 'role': 'Rôle principal', 'character': 'Becky'}]","[{'name': 'Kirsten Dunst', 'moyenne': 1043456}, {'name': 'Rebel Wilson', 'moyenne': 358169}]"
romaine par moins 30,101329.0,200787,,France,Comédie,2009-04-29,Tous publics,UGC Distribution,,,0,3,8.0,"Pascal Elbé, Sandrine Kiberlain",,10709,,4210,romaine par moins 30,,,Comédie,2009,f25,101329,236,429,50  %,cinema/images/posters/np_10709.jpg,,29/04/2009,UGC Distribution,Tous publics,"[{'id': '623', 'name': 'Pascal Elbé', 'role': 'Rôle principal', 'character': 'Justin'}, {'id': '321', 'name': 'Sandrine Kiberlain', 'role': 'Rôle principal', 'character': 'Romaine'}]","[{'name': 'Pascal Elbé', 'moyenne': 391253}, {'name': 'Sandrine Kiberlain', 'moyenne': 633654}]"
