Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
et au milieu coule une rivière,134 041,1 242 365,Robert Redford,Etats-Unis,Comédie dramatique,20/01/1993,Tous publics,AMLF,3 186,3 211,0,6,3,Brad Pitt,
ghostland,135 274,248 903,,France,Horreur,14/03/2018,Moins de 16 ans,Mars Distribution,8 826,8 873,0,3,9,,
hannah montana - le film,135 334,389 395,,Etats-Unis,Film familial,17/06/2009,Tous publics,Walt Disney Pictures,7 411,7 453,0,5,5,,
coup de foudre à rhode island,134 661,287 224,,Etats-Unis,Comédie,17/09/2008,Tous publics,EuropaCorp,8 375,8 421,0,2,3,"Juliette Binoche, Steve Carell",
une nouvelle chance,134 985,218 782,,Etats-Unis,Drame,21/11/2012,Tous publics,Warner Bros.,9 216,9 262,0,2,8,"Amy Adams, Clint Eastwood, Justin Timberlake",John Goodman
les gardiennes,135 073,489 430,Xavier Beauvois,France,Drame,06/12/2017,Tous publics,Pathé,6 714,6 754,0,6,8,Nathalie Baye,
reines d'un jour,135 114,280 781,,France,Comédie,24/10/2001,Tous publics,GBVI,8 443,8 489,0,2,7,"Sergi Lopez, Karin Viard",Melvil Poupaud
she's so lovely,135 323,535 793,Nick Cassavetes,Etats-Unis,Drame,20/08/1997,Tous publics,Bac Films,6 374,6 415,0,5,6,"Sean Penn, John Travolta, Robin Wright",
big movie,136 000,252 689,,Etats-Unis,Comédie,04/04/2007,Tous publics,20th Century Fox,8 779,8 825,0,2,6,,
premiers crus,135 334,325 413,,France,Drame,23/09/2015,Tous publics,SND,7 963,8 009,0,3,5,Gérard Lanvin,
winx club: le secret du royaume perdu,136 298,365 073,,Italie,Animation,02/04/2008,Tous publics,Quinta Distribution,7 617,7 660,0,1,6,,
project almanac,135 499,222 269,,Etats-Unis,Science Fiction,25/02/2015,Tous publics,Paramount,9 170,9 216,0,2,14,,
un mariage de rêve,135 522,343 946,,Grande-Bretagne,Romance,06/05/2009,Tous publics,Pyramide,7 787,7 832,0,4,9,Jessica Biel,"Colin Firth, Kristin Scott Thomas"
ricky,135 612,243 346,François Ozon,France,Comédie dramatique,11/02/2009,Tous publics,Le Pacte,8 883,8 929,0,3,9,"Alexandra Lamy, Sergi Lopez",
les sœurs soleil,135 634,287 976,,France,Comédie,02/04/1997,Tous publics,GBVI,8 361,8 407,0,1,5,Thierry Lhermitte,Isabelle Carré
kina & yuk : renards de la banquise,135 637,288 770,,France,Film familial,27/12/2023,Tous publics,UGC Distribution,8 350,8 396,0,2,10,,
in the cut,135 900,405 461,Jane Campion,Etats-Unis,Thriller,17/12/2003,Moins de 12 ans,Pathé,7 282,7 324,0,3,8,"Mark Ruffalo, Meg Ryan",Kevin Bacon
selma,135 639,422 926,,Etats-Unis,Drame,11/03/2015,Tous publics,Pathé,7 147,7 188,0,5,8,,Cuba Gooding Jr.
amants (2021),136 003,252 599,Nicole Garcia,France,Drame,17/11/2021,Tous publics,Wild Bunch,8 780,8 826,0,3,5,"Benoît Magimel, Pierre Niney",
the voices,136 124,332 644,,Etats-Unis,Thriller,11/03/2015,Moins de 12 ans,Le Pacte,7 890,7 936,0,3,7,Ryan Reynolds,
megalopolis,136 309,254 957,Francis F. Coppola,Etats-Unis,Science Fiction,25/09/2024,Tous publics,Le Pacte,8 752,8 798,0,3,5,Adam Driver,"Laurence Fishburne, Shia LaBeouf, Jon Voight"
black phone,136 339,452 381,,Etats-Unis,Horreur,22/06/2022,Moins de 12 ans,Universal,6 946,6 988,0,7,5,Ethan Hawke,
la machine,136 535,317 161,,France,Thriller,30/11/1994,Moins de 12 ans,Pan-Européenne,8 042,8 088,0,2,3,"Didier Bourdon, Gérard Depardieu, Nathalie Baye",Julie Depardieu
le grand méchant loup,136 571,355 686,,France,Comédie,10/07/2013,Tous publics,Mars Distribution,7 692,7 736,0,4,4,"Kad Merad, Benoît Poelvoorde","Zabou Breitman, Léa Drucker, Denis Podalydès"
heureux gagnants,136 628,424 023,,France,Comédie,13/03/2024,Tous publics,Warner Bros.,7 142,7 183,0,4,3,Fabrice Eboue,
american history x,136 673,621 733,,Etats-Unis,Drame,03/03/1999,Moins de 12 ans,Metropolitan,5 779,5 820,0,5,6,Edward Norton,
lettres de iwo jima,136 677,294 612,Clint Eastwood,Etats-Unis,Guerre,21/02/2007,Tous publics,Warner Bros.,8 292,8 338,0,1,10,,
le tableau volé,136 728,366 755,,France,Comédie dramatique,01/05/2024,Tous publics,Pyramide,7 606,7 649,0,6,7,Léa Drucker,
passager 57,136 853,470 590,,Etats-Unis,Aventure - Action,12/05/1993,Tous publics,Warner Bros.,6 830,6 872,0,5,3,Wesley Snipes,
le garçu,136 868,300 111,Maurice Pialat,France,Drame,31/10/1995,Tous publics,Pan-Européenne,8 224,8 270,0,2,8,Gérard Depardieu,
leçons de séduction,136 882,368 165,,Etats-Unis,Romance,15/01/1997,Tous publics,Columbia,7 588,7 631,0,3,5,Jeff Bridges,Pierce Brosnan
le cactus,136 957,235 122,,France,Comédie,14/12/2005,Tous publics,UGC Distribution,9 003,9 049,0,1,8,"Clovis Cornillac, Pascal Elbé","Pierre Richard, Jean-Pierre Darroussin"
"mon père, ma mère, mes frères et mes sœurs",136 966,714 643,Charlotte De Turckheim,France,Comédie,16/06/1999,Tous publics,SND,5 241,5 281,0,5,4,Victoria Abril,
un beau dimanche,137 001,328 133,,France,Comédie dramatique,05/02/2014,Tous publics,Diaphana,7 941,7 987,0,3,8,Louise Bourgoin,
l'etrange pouvoir de norman,137 124,285 581,,Etats-Unis,Animation,22/08/2012,Tous publics,Universal,8 394,8 440,0,3,10,,
ron débloque,137 238,628 502,,Etats-Unis,Animation,20/10/2021,Tous publics,Walt Disney Pictures,5 726,5 767,0,5,6,,
inestimable,137 335,234 077,,France,Comédie,01/11/2023,Tous publics,-,9 024,9 070,0,2,10,Didier Bourdon,
le premier cri,138 773,332 068,,France,Documentaire,31/10/2007,Tous publics,Walt Disney Pictures,7 900,7 946,0,0,-,,
nos plus belles vacances,138 820,279 485,,France,Comédie,07/03/2012,Tous publics,Pathé,8 461,8 507,0,3,6,,
splice,137 963,221 389,,Canada,Science Fiction,30/06/2010,Moins de 12 ans,Gaumont,9 181,9 227,0,3,6,Adrien Brody,
une nuit,137 982,212 393,,France,Thriller,04/01/2012,Tous publics,UGC Distribution,9 298,9 347,0,2,8,Roschdy Zem,Samuel Le Bihan
beautés empoisonnées,138 001,252 191,,Etats-Unis,Comédie,26/09/2001,Tous publics,SND,8 787,8 833,0,2,7,"Gene Hackman, Sigourney Weaver, Jennifer Love Hewitt",Ray Liotta
l'art de la guerre,138 160,254 608,,Etats-Unis,Aventure - Action,15/11/2000,Tous publics,UFD,8 757,8 803,0,2,8,Wesley Snipes,
détrompez-vous,138 309,309 571,,France,Comédie,24/10/2007,Tous publics,Wild Bunch,8 110,8 156,0,1,9,"François Cluzet, Mathilde Seigner",Roschdy Zem
whiplash,138 431,639 732,Damien Chazelle,Etats-Unis,Comédie dramatique,24/12/2014,Tous publics,Ad vitam,5 648,5 689,0,7,9,,
au coeur de l'océan,138 532,280 288,Ron Howard,Etats-Unis,Aventure - Action,09/12/2015,Tous publics,Warner Bros.,8 448,8 494,0,3,8,"Chris Hemsworth, Cillian Murphy","Brendan Gleeson, Tom Holland"
"mme mills, une voisine si parfaite",138 575,269 796,,France,Comédie,07/03/2018,Tous publics,UGC Distribution,8 564,8 610,0,2,7,"Sophie Marceau, Pierre Richard",
identity,138 606,316 610,James Mangold,Etats-Unis,Thriller,24/09/2003,Moins de 12 ans,Columbia,8 047,8 093,0,3,8,Ray Liotta,
blitz,138 707,250 522,,Grande-Bretagne,Thriller,22/06/2011,Moins de 12 ans,Metropolitan,8 805,8 851,0,2,7,Jason Statham,Luke Evans
r.i.p.d. brigade fantôme,138 878,242 258,,Etats-Unis,Comicbook,31/07/2013,Tous publics,Universal,8 896,8 942,0,3,6,"Jeff Bridges, Ryan Reynolds",Kevin Bacon
hurricane,138 886,227 787,Rob Cohen,Etats-Unis,Thriller,28/02/2018,Tous publics,SND,9 115,9 161,0,2,9,,
[rec] 4,,256 656,,Espagne,Horreur,12/11/2014,Moins de 12 ans,Le Pacte,8 732,8 778,0,3,5,,
un héros très discret,138 899,583 886,Jacques Audiard,France,Comédie,15/05/1996,Tous publics,AFMD,6 013,6 054,0,5,5,"Mathieu Kassovitz, Sandrine Kiberlain",Albert Dupontel
le doudou,138 907,401 326,,France,Comédie,20/06/2018,Tous publics,Pathé,7 312,7 354,0,4,4,Kad Merad,
roxane,138 925,314 437,,France,Comédie,12/06/2019,Tous publics,Mars Distribution,8 062,8 108,0,4,5,Léa Drucker,
malcolm x,138 929,594 984,Spike Lee,Etats-Unis,Drame,24/02/1993,Tous publics,AMLF,5 952,5 993,0,2,6,Denzel Washington,
une pour toutes,139 087,428 766,Claude Lelouch,France,Comédie,01/01/2000,Tous publics,Bac Films,7 110,7 151,0,4,6,,Samy Nacéri
massacre à la tronçonneuse (2004),139 536,242 600,,Etats-Unis,Horreur,21/01/2004,Moins de 16 ans,Metropolitan,8 892,8 938,0,2,7,Jessica Biel,
nouveau départ,139 554,284 559,,France,Comédie,27/09/2023,Tous publics,UGC Distribution,8 403,8 449,0,3,4,"Franck Dubosc, Karin Viard",
"kerity, la maison des contes",139 803,530 765,,France,Animation,16/12/2009,Tous publics,Haut et Court,6 417,6 458,0,5,7,,
dogman (2023),139 989,289 480,Luc Besson,France,Drame,27/09/2023,Tous publics,EuropaCorp,8 343,8 389,0,3,3,,
upside down,140 000,251 317,,Canada,Science Fiction,01/05/2013,Tous publics,Warner Bros.,8 796,8 842,0,3,10,Kirsten Dunst,
shame,140 037,435 996,,Grande-Bretagne,Drame,07/12/2011,Moins de 12 ans,-,7 059,7 101,0,5,9,Michael Fassbender,
des vents contraires,140 094,334 853,,France,Drame,14/12/2011,Tous publics,Universal,7 863,7 909,0,3,9,"Isabelle Carré, Benoît Magimel","Ramzy Bedia, Audrey Tautou"
omar la fraise,140 144,289 345,,France,Drame,24/05/2023,Tous publics,Studiocanal,8 345,8 391,0,4,6,"Reda Kateb, Benoît Magimel",
esther 2 : les origines,140 678,338 405,,Etats-Unis,Horreur,17/08/2022,Moins de 12 ans,Metropolitan,7 830,7 876,0,5,7,,
flic de haut vol,140 162,352 072,,Etats-Unis,Aventure - Action,17/11/1999,Tous publics,Columbia,7 721,7 766,0,4,7,"Martin Lawrence, Luke Wilson",
mercredi folle journée!,140 216,407 267,Pascal Thomas,France,Comédie,28/03/2001,Tous publics,Euripide,7 269,7 311,0,3,7,Vincent Lindon,"Catherine Frot, Oliver Gourmet, Isabelle Carré"
garde alternée,140 242,474 134,,France,Comédie,20/12/2017,Tous publics,Wild Bunch,6 801,6 843,0,4,9,"Valérie Bonneton, Didier Bourdon, Isabelle Carré",
"sarah bernhardt, la divine",140 451,431 688,Guillaume Nicloux,France,Comédie dramatique,18/12/2024,Tous publics,Memento Films,7 093,7 135,0,4,8,"Sandrine Kiberlain, Laurent Lafitte",
c'est beau la vie quand on y pense,140 490,284 101,Gérard Jugnot,France,Comédie dramatique,12/04/2017,Tous publics,UGC Distribution,8 407,8 453,0,3,9,Gérard Jugnot,
je déteste les enfants des autres,140 521,306 373,,France,Comédie,04/07/2007,Tous publics,SND,8 139,8 185,0,3,7,Elodie Bouchez,
journal d’une femme de chambre,140 593,333 118,Benoît Jacquot,France,Drame,01/04/2015,Tous publics,Mars Distribution,7 886,7 932,0,3,6,"Vincent Lindon, Léa Seydoux",Vincent Lacoste
la maison de cire,140 644,371 643,Jaume Collet-Serra,Etats-Unis,Horreur,25/05/2005,Moins de 16 ans,Warner Bros.,7 560,7 602,0,5,2,,
mon père est femme de ménage,140 666,300 473,,France,Comédie dramatique,13/04/2011,Tous publics,ARP Selection,8 216,8 262,0,3,6,François Cluzet,
le gendre de ma vie,140 687,385 303,,France,Comédie,19/12/2018,Tous publics,Pathé,7 442,7 484,0,3,8,Kad Merad,Zabou Breitman
en chair et en os,140 720,442 407,Pedro Almodovar,Espagne,Drame,29/10/1997,Tous publics,Ciby Distribution,7 020,7 062,0,3,7,Javier Bardem,Penelope Cruz
saint laurent,141 138,356 741,,France,Comédie dramatique,24/09/2014,Tous publics,EuropaCorp,7 682,7 726,0,4,2,"Jérémy Renier, Gaspard Ulliel",Léa Seydoux
ceux qui restent,141 185,393 496,,France,Drame,29/08/2007,Tous publics,Studiocanal,7 374,7 416,0,3,4,"Emmanuelle Devos, Vincent Lindon",
le havre,141 227,569 501,,France,Comédie dramatique,21/12/2011,Tous publics,Pyramide,6 099,6 141,0,5,9,Jean-Pierre Darroussin,
jobs,141 241,257 817,,Etats-Unis,Drame,21/08/2013,Tous publics,Metropolitan,8 721,8 767,0,3,10,Ashton Kutcher,
escobar,141 268,424 387,,Espagne,Drame,18/04/2018,Moins de 12 ans,SND,7 139,7 180,0,4,7,"Javier Bardem, Penelope Cruz",
ma vie de chat,141 432,234 851,Barry Sonnenfeld,Etats-Unis,Film familial,03/08/2016,Tous publics,EuropaCorp,9 010,9 056,0,2,7,"Jennifer Garner, Kevin Spacey",Christopher Walken
ils vivent la nuit,141 441,241 014,Ben Affleck,Etats-Unis,Thriller,18/01/2017,Tous publics,Warner Bros.,8 919,8 964,0,2,7,"Ben Affleck, Elle Fanning",Brendan Gleeson
streetdance 2,141 968,346 972,,Grande-Bretagne,Musical,09/05/2012,Tous publics,Metropolitan,7 763,7 808,0,4,5,,
"jarhead, la fin de l'innocence",141 455,240 262,Sam Mendes,Etats-Unis,Guerre,11/01/2006,Tous publics,UIP,8 930,8 975,0,2,5,Jake Gyllenhaal,Jamie Foxx
belle-fille,141 458,305 551,,France,Comédie,19/08/2020,Tous publics,UGC Distribution,8 149,8 195,0,4,3,"Alexandra Lamy, Miou-Miou",
king guillaume,141 566,204 798,Pierre-François Martin-Laval,France,Comédie,28/01/2009,Tous publics,Walt Disney Pictures,9 397,9 447,0,2,10,,"Pierre Richard, Omar Sy"
big daddy,141 577,293 437,Dennis Dugan,Etats-Unis,Comédie,22/09/1999,Tous publics,Columbia,8 308,8 354,0,2,5,Adam Sandler,Steve Buscemi
jimmy's hall,141 610,451 602,Ken Loach,Grande-Bretagne,Drame,02/07/2014,Tous publics,Le Pacte,6 952,6 994,0,5,7,,
"atomik circus, le retour de james bataille",141 753,239 745,,France,Comédie,21/07/2004,Moins de 12 ans,TFM Distribution,8 935,8 980,0,3,5,"Vanessa Paradis, Benoît Poelvoorde",
mauvaises fréquentations,141 941,460 351,,France,Drame,20/10/1999,Moins de 12 ans,Universal,6 892,6 934,0,4,4,,François Berléand
kubo et l'armure magique,142 109,422 894,,Etats-Unis,Animation,21/09/2016,Tous publics,Universal,7 148,7 189,0,4,4,,
agora,142 125,280 815,,Espagne,Péplum,06/01/2010,Tous publics,Mars Distribution,8 442,8 488,0,3,4,Rachel Weisz,
les enfants des autres,142 402,401 122,,France,Comédie dramatique,21/09/2022,Tous publics,Ad vitam,7 317,7 359,0,4,4,"Virginie Efira, Roschdy Zem",
ambulance,142 412,254 803,Michael Bay,Etats-Unis,Thriller,23/03/2022,Moins de 12 ans,Universal,8 754,8 800,0,3,4,Jake Gyllenhaal,
the wild,142 476,397 900,,Etats-Unis,Animation,12/04/2006,Tous publics,Walt Disney Pictures,7 336,7 378,0,2,8,,
bigfoot junior,143 026,642 844,,Belgique,Animation,16/08/2017,Tous publics,Studiocanal,5 624,5 665,0,7,9,,
l'illusioniste,142 608,282 108,,Etats-Unis,Drame,17/01/2007,Tous publics,Metropolitan,8 432,8 478,0,3,6,"Jessica Biel, Paul Giamatti, Edward Norton",
mercato,142 675,237 605,,France,Comédie dramatique,19/02/2025,Tous publics,Pathé,8 968,9 014,0,3,9,Jamel Debbouze,
la liste de mes envies,142 751,410 071,,France,Comédie dramatique,28/05/2014,Tous publics,Pathé,7 237,7 278,0,6,7,Mathilde Seigner,
rob roy,142 781,415 743,Michaël Caton-Jones,Etats-Unis,Drame,07/06/1995,Tous publics,UIP,7 188,7 229,0,4,2,Liam Neeson,
revoir paris,142 841,532 205,,France,Drame,07/09/2022,Tous publics,Pathé,6 400,6 441,0,5,3,"Virginie Efira, Benoît Magimel",
les boxtrolls,142 863,473 026,,Etats-Unis,Animation,15/10/2014,Tous publics,Universal,6 813,6 855,0,3,8,,
un conte de noël,142 865,546 176,Arnaud Desplechin,France,Comédie dramatique,21/05/2008,Tous publics,Bac Films,6 282,6 322,0,7,2,"Mathieu Amalric, Catherine Deneuve","Emmanuelle Devos, Melvil Poupaud"
les contes de la nuit,142 877,490 202,Michel Ocelot,France,Animation,20/07/2011,Tous publics,Studiocanal,6 709,6 749,0,4,9,,
le roman de jim,143 016,401 837,,France,Comédie dramatique,14/08/2024,Tous publics,Pyramide,7 306,7 348,0,5,10,Karim Leklou,
cleaner,143 131,301 464,Renny Harlin,Etats-Unis,Thriller,14/05/2008,Tous publics,Colifilms,8 195,8 241,0,4,4,"Ed Harris, Samuel L. Jackson, Eva Mendes",
beowulf,143 158,351 748,,Etats-Unis,Fantasy,28/04/1999,Tous publics,CTV International,7 724,7 769,0,4,4,Christophe Lambert,
rosalie blum,143 215,368 696,,France,Comédie,23/03/2016,Tous publics,SND,7 583,7 626,0,4,7,,Sara Giraudeau
crimes à oxford,143 230,300 486,,Grande-Bretagne,Thriller,26/03/2008,Tous publics,Fabrique de Films,8 214,8 260,0,2,4,Elijah Wood,
délivre-nous du mal,143 362,352 592,,Etats-Unis,Horreur,03/09/2014,Moins de 12 ans,Sony Pictures,7 718,7 763,0,4,5,Eric Bana,
l'expérience interdite (2017),143 410,300 528,,Etats-Unis,Science Fiction,22/11/2017,Moins de 12 ans,Sony Pictures,8 213,8 259,0,3,5,Ellen Page,Kiefer Sutherland
dans la cour,143 569,386 293,Pierre Salvadori,France,Comédie dramatique,23/04/2014,Tous publics,Wild Bunch,7 433,7 475,0,5,10,Catherine Deneuve,Pio Marmaï
the eye (2008),143 604,266 816,,Etats-Unis,Horreur,09/04/2008,Tous publics,Mars Distribution,8 594,8 640,0,2,7,Jessica Alba,Chloë Grace Moretz
les apparences,143 620,359 279,,France,Thriller,23/09/2020,Tous publics,SND,7 665,7 709,0,4,3,Karin Viard,
la plus précieuse des marchandises,144 515,615 621,Michel Hazanavicius,France,Animation,20/11/2024,Tous publics,Studiocanal,5 823,5 865,0,5,5,,
l'homme qu'on aimait trop,144 601,300 373,André Téchiné,France,Drame,16/07/2014,Tous publics,Mars Distribution,8 221,8 267,0,3,7,"Guillaume Canet, Catherine Deneuve",
2 days in new york,144 635,430 599,,France,Comédie,28/03/2012,Tous publics,Rezo Films,7 095,7 137,0,5,7,Chris Rock,
enragé,144 754,342 177,,Etats-Unis,Thriller,19/08/2020,Moins de 12 ans,SND,7 796,7 842,0,5,2,Russell Crowe,
il reste encore demain,145 340,647 262,,Italie,Drame,13/03/2024,Tous publics,Universal,5 602,5 643,0,7,3,,
priscilla,144 773,299 690,Sofia Coppola,Etats-Unis,Comédie dramatique,03/01/2024,Tous publics,ARP Selection,8 230,8 276,0,3,10,,
quiz show,144 892,496 357,Robert Redford,Etats-Unis,Drame,15/02/1995,Tous publics,GBVI,6 668,6 708,0,6,6,Ralph Fiennes,
21 jump street,144 955,297 785,,Etats-Unis,Comédie,06/06/2012,Tous publics,Sony Pictures,8 255,8 301,0,3,6,"Channing Tatum, Jonah Hill",Ice Cube
death wish (2018),145 073,238 840,Eli Roth,Etats-Unis,Aventure - Action,09/05/2018,Moins de 12 ans,Paramount,8 950,8 996,0,3,7,Bruce Willis,Elisabeth Shue
la brigade,145 097,383 782,,France,Comédie,23/03/2022,Tous publics,Apollo Films,7 456,7 498,0,5,3,François Cluzet,
#la belle au bois dormant (rep. 1995),,845 500,,Etats-Unis,Animation,28/06/1995,Tous publics,GBVI,HC,4 619,1,5,1,,
sherlock gnomes,145 139,464 963,,Etats-Unis,Animation,11/04/2018,Tous publics,Paramount,6 865,6 907,0,5,7,,
super papa,145 160,441 558,,France,Comédie,07/08/2024,Tous publics,SND,7 028,7 070,0,4,8,Ahmed Sylla,Zabou Breitman
tête de turc,145 375,247 084,,France,Thriller,31/03/2010,Tous publics,Warner Bros.,8 844,8 891,0,2,10,"Pascal Elbé, Roschdy Zem",
l'enquête (2015),145 380,279 791,,France,Thriller,11/02/2015,Tous publics,Mars Distribution,8 454,8 500,0,2,11,Gilles Lellouche,Charles Berling
san antonio,146 098,257 549,,France,Comédie,21/07/2004,Tous publics,Pathé,8 723,8 769,0,2,4,"Gérard Depardieu, Gérard Lanvin",Michel Galabru
"bonnard, pierre et marthe",146 114,316 748,,France,Romance,10/01/2024,Tous publics,Memento Films,8 045,8 091,0,3,5,"Cécile De France, Vincent Macaigne",
gangsters,146 168,269 280,Olivier Marchal,France,Aventure - Action,20/02/2002,Moins de 12 ans,UIP,8 568,8 614,0,3,7,Richard Anconina,
coursier,146 264,258 019,,France,Comédie,24/02/2010,Tous publics,EuropaCorp,8 714,8 760,0,2,10,"Géraldine Nakache, Michael Youn",
les chevaliers du zodiaque - la légende du sanctuaire,146 763,247 681,,Japon,Animation,25/02/2015,Tous publics,Wild Bunch,8 839,8 886,0,2,13,,
sorry we missed you,146 366,483 516,Ken Loach,Grande-Bretagne,Drame,23/10/2019,Tous publics,Le Pacte,6 743,6 784,0,5,10,,
un tour chez ma fille,146 389,385 862,,France,Comédie,16/06/2021,Tous publics,Pathé,7 435,7 477,0,3,4,"Josiane Balasko, Jérôme Commandeur, Mathilde Seigner",
meurtre à la maison-blanche,146 447,342 135,,Etats-Unis,Thriller,30/07/1997,Tous publics,Warner Bros.,7 798,7 844,0,3,3,"Diane Lane, Wesley Snipes",
priest (2011),146 463,221 719,,Etats-Unis,Science Fiction,11/05/2011,Tous publics,Sony Pictures,9 176,9 222,0,3,7,,
soyez sympas rembobinez,146 496,505 993,Michel Gondry,Etats-Unis,Comédie,05/03/2008,Tous publics,EuropaCorp,6 605,6 645,0,2,6,Jack Black,Danny Glover
le visiteur du futur,147 188,332 370,,France,Science Fiction,07/09/2022,Tous publics,KMBO,7 895,7 941,0,4,2,,
le tombeau,146 789,378 450,,Etats-Unis,Aventure - Action,01/08/2001,Tous publics,SND,7 498,7 540,0,4,6,Antonio Banderas,
la très très grande entreprise,146 873,216 087,Pierre Jolivet,France,Comédie,05/11/2008,Tous publics,Pathé,9 254,9 302,0,0,-,"Jean-Paul Rouve, Roschdy Zem",
bébé mode d'emploi,146 971,419 751,,Etats-Unis,Comédie,08/12/2010,Tous publics,Warner Bros.,7 170,7 211,0,5,6,Katherine Heigl,Melissa McCarthy
dumb & dumber de,147 054,299 628,Peter Farrelly,Etats-Unis,Comédie,17/12/2014,Tous publics,Metropolitan,8 232,8 278,0,3,9,"Jim Carrey, Jeff Daniels",
dark water,147 141,363 075,Walter Salles,Etats-Unis,Horreur,31/08/2005,Moins de 12 ans,Walt Disney Pictures,7 631,7 674,0,2,3,"Jennifer Connelly, John C. Reilly",
doctor sleep,147 991,256 531,,Etats-Unis,Thriller,30/10/2019,Moins de 12 ans,Warner Bros.,8 733,8 779,0,3,10,Ewan McGregor,
get shorty,148 007,320 330,Barry Sonnenfeld,Etats-Unis,Comédie,27/03/1996,Tous publics,UIP,8 008,8 054,0,2,4,"John Travolta, Danny DeVito, Gene Hackman, Rene Russo",
les vieux fourneaux 2 : bons pour l’asile,148 172,270 206,,France,Comédie,17/08/2022,Tous publics,Apollo Films,8 552,8 598,0,3,6,"Alice Pol, Pierre Richard",
p.s. i love you,148 178,414 989,Richard LaGravenese,Etats-Unis,Romance,06/02/2008,Tous publics,SND,7 200,7 241,0,2,7,"Gerard Butler, Hilary Swank",
genesis,148 573,407 711,,France,Documentaire,20/10/2004,Tous publics,Bac Films,7 265,7 307,0,2,9,,
honey,148 345,435 860,,Etats-Unis,Musical,16/06/2004,Tous publics,UIP,7 062,7 104,0,2,6,Jessica Alba,
désigné coupable,148 446,331 109,,Grande-Bretagne,Drame,14/07/2021,Tous publics,Metropolitan,7 908,7 954,0,4,4,Tahar Rahim,"Benedict Cumberbatch, Jodie Foster"
le roi danse,148 490,424 152,,France,Drame,06/12/2000,Tous publics,UFD,7 140,7 181,0,4,5,Benoît Magimel,
pourris gâtés,148 506,442 901,,France,Comédie,15/09/2021,Tous publics,Apollo Films,7 016,7 058,0,5,5,"- Artus, Gérard Jugnot",
monster,148 510,325 063,Patty Jenkins,Etats-Unis,Drame,14/04/2004,Moins de 12 ans,Metropolitan,7 966,8 012,0,3,10,"Christina Ricci, Charlize Theron",
le trésor du petit nicolas,148 775,519 512,,France,Film familial,20/10/2021,Tous publics,Warner Bros.,6 501,6 543,0,4,8,Jean-Paul Rouve,"Pierre Arditi, Jean-Pierre Darroussin"
la famille tenenbaum,148 781,299 613,Wes Anderson,Etats-Unis,Comédie,13/03/2002,Tous publics,GBVI,8 233,8 279,0,3,10,"Gene Hackman, Ben Stiller","Bill Murray, Gwyneth Paltrow, Owen Wilson, Luke Wilson"
le dernier exorcisme,150 181,265 174,,Etats-Unis,Horreur,15/09/2010,Moins de 16 ans,Studiocanal,8 614,8 660,0,3,3,,
un homme en colère,149 025,448 116,Guy Ritchie,Etats-Unis,Thriller,16/06/2021,Moins de 12 ans,Metropolitan,6 977,7 019,0,4,3,Jason Statham,Josh Hartnett
the deep house,150 204,207 125,,France,Horreur,30/06/2021,Moins de 12 ans,Apollo Films,9 363,9 413,0,2,9,,
coup d'éclat,149 585,226 196,Brett Ratner,Etats-Unis,Aventure - Action,09/02/2005,Tous publics,Metropolitan,9 135,9 181,0,2,9,"Pierce Brosnan, Woody Harrelson, Salma Hayek",Don Cheadle
a dangerous method,149 627,518 990,David Cronenberg,Grande-Bretagne,Drame,21/12/2011,Tous publics,Mars Distribution,6 506,6 548,0,4,9,"Michael Fassbender, Keira Knightley, Viggo Mortensen",Vincent Cassel
rush (2013),149 696,338 794,Ron Howard,Etats-Unis,Aventure - Action,25/09/2013,Tous publics,Pathé,7 827,7 873,0,4,6,Chris Hemsworth,
flo,149 707,279 531,,France,Comédie dramatique,01/11/2023,Tous publics,Metropolitan,8 459,8 505,0,2,9,,Charles Berling
et plus si affinités,149 749,274 151,,France,Comédie,03/04/2024,Tous publics,Wild Bunch,8 511,8 557,0,3,4,"Bernard Campan, Isabelle Carré",
the lost city of z,150 045,389 651,James Gray,Etats-Unis,Aventure - Action,15/03/2017,Tous publics,Studiocanal,7 409,7 451,0,4,10,,"Tom Holland, Robert Pattinson"
suspicion,150 066,307 578,,Etats-Unis,Thriller,15/11/2000,Tous publics,Cinédia,8 128,8 174,0,3,6,"Morgan Freeman, Gene Hackman, Monica Bellucci",
né quelque part,150 067,424 520,,France,Comédie,19/06/2013,Tous publics,Mars Distribution,7 137,7 178,0,5,6,Jamel Debbouze,
le test,150 143,301 787,,France,Comédie,29/12/2021,Tous publics,Apollo Films,8 189,8 235,0,3,7,Alexandra Lamy,
flow: le chat qui n'avait plus peur de l'eau,150 499,700 574,,Lettonie,Animation,30/10/2024,Tous publics,UFO Distribution,5 306,5 347,0,10,7,,
my blueberry nights,150 199,343 312,Wong Kar-Wai,France,Comédie dramatique,28/11/2007,Tous publics,Studiocanal,7 792,7 838,0,2,6,"Jude Law, Natalie Portman",Rachel Weisz
les insurgés (2009),150 293,301 231,Edward Zwick,Etats-Unis,Guerre,14/01/2009,Tous publics,Metropolitan,8 200,8 246,0,3,7,"Daniel Craig, Liev Schreiber",
