title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Spring Breakers,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/90/56/90/20462006.jpg,6 mars 2013,en salle,"Policier,Drame",Interdit - 12 ans avec avertissement,"Pour financer leur Spring Break, quatre filles aussi fauchées que sexy décident de braquer un fast-food. Et ce n’est que le début… Lors d’une fête dans une chambre de motel, la soirée dérape et les filles sont embarquées par la police. En bikini et avec une gueule de bois d’enfer, elles se retrouvent devant le juge, mais contre toute attente leur caution est payée par Alien, un malfrat local qui les prend sous son aile…",Harmony Korine,Harmony Korine,"James Franco,Vanessa Hudgens,Selena Gomez","3,7","2,2",U.S.A.,Mars Films,2 nominations,2012,Long métrage,Anglais,597 032 entrées
Une pure affaire,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/82/69/23/19639831.jpg,2 mars 2011,en salle,Comédie,Tout public,"David Pelame a la quarantaine. Il est marié à Christine depuis assez longtemps pour avoir oublié qu’ils s’aimaient autrefois. Il a deux enfants avec qui la communication se fait de plus en plus rare.,Professionnellement, David n’est jamais devenu le grand avocat associé d’un cabinet de renom qu’il rêvait d’être mais plutôt un simple gratte-papier qui excelle dans les tâches les plus rébarbatives.,Bref, la vie de David ne fait pas rêver.,Si on avait un conseil à lui donner ?… Ce serait qu’il se ressaisisse.,C’est ce qu’il va faire, en découvrant, le soir de Noël, une valise pleine de cocaïne et un téléphone croulant sous les appels de clients. David pense alors avoir trouvé le moyen de relancer sa vie.,Si on avait un second conseil à donner à David ? … Ce serait qu’il y réfléchisse à deux fois.",Alexandre Coffre,Alexandre Coffre,"François Damiens,Pascale Arbillot,Laurent Lafitte","3,3","2,6",France,Bac Films,# prix,2011,Long métrage,Français,155 196 entrées
Midnight Special,https://fr.web.img2.acsta.net/c_310_420/pictures/16/03/03/09/13/052102.jpg,16 mars 2016,en salle,"Aventure,Drame,Science Fiction",Tout public,"Fuyant d'abord des fanatiques religieux et des forces de police, Roy, père de famille et son fils Alton, se retrouvent bientôt les proies d'une chasse à l'homme à travers tout le pays, mobilisant même les plus hautes instances du gouvernement fédéral. En fin de compte, le père risque tout pour sauver son fils et lui permettre d'accomplir son destin. Un destin qui pourrait bien changer le monde pour toujours.",Jeff Nichols,Jeff Nichols,"Michael Shannon,Jaeden Martell,Joel Edgerton","4,1","3,4",U.S.A.,Warner Bros. France,1 nomination,2016,Long métrage,Anglais,259 796 entrées
Braquage à l'ancienne,https://fr.web.img6.acsta.net/c_310_420/pictures/17/02/08/15/54/313963.jpg,3 mai 2017,en salle,"Comédie,Policier",Tout public,"Pour Willie, Joe et Al, trois amis octogénaires – ou presque –, la retraite, c'est du passé. Quand ils apprennent que leurs pensions sont parties en fumée, ils décident de passer à l'action. Bousculant tous leurs principes, ils tentent l'impensable : braquer la banque qui les a ruinés !",Zach Braff,Theodore Melfi,"Morgan Freeman,Michael Caine,Alan Arkin","3,0","3,4",U.S.A.,Warner Bros. France,1 nomination,2017,Long métrage,Anglais,381 970 entrées
La Lutte des Classes,https://fr.web.img6.acsta.net/c_310_420/pictures/19/02/15/14/38/2076351.jpg,3 avril 2019,en salle,Comédie,Tout public,"Sofia et Paul emménagent dans une petite maison de banlieue. Elle, brillante avocate d’origine magrébine, a grandi dans une cité proche. Lui, batteur punk-rock et anar dans l’âme, cultive un manque d’ambition qui force le respect ! Comme tous les parents, ils veulent le meilleur pour leur fils Corentin, élève à Jean Jaurès, l’école primaire du quartier. Mais lorsque tous ses copains désertent l’école publique pour l’institution catholique Saint Benoît, Corentin se sent seul. Comment rester fidèle à l'école républicaine quand votre enfant ne veut plus y mettre les pieds? Pris en étau entre leurs valeurs et leurs inquiétudes parentales, Sofia et Paul vont voir leur couple mis à rude épreuve par la « lutte des classes ».",Michel Leclerc,"Michel Leclerc,Baya Kasmi","Leïla Bekhti,Edouard Baer,Ramzy Bedia","3,6","2,9",France,UGC Distribution,1 prix et 1 nomination,2018,Long métrage,Français,445 798 entrées
Knight of Cups,https://fr.web.img6.acsta.net/c_310_420/pictures/15/08/21/16/41/435642.jpg,25 novembre 2015,en salle,Drame,Tout public,"Knight of Cups suit la quête de Rick, un scénariste en vogue, entre Los Angeles et Las Vegas. Au milieu de décors urbains grandioses, il cherche à briser le sort qui l’a plongé dans une mélancolie profonde. Sur sa route, des femmes telles des muses l’aideront à leur façon à trouver sa voie.",Terrence Malick,Terrence Malick,"Christian Bale,Natalie Portman,Cate Blanchett","3,3","2,6",U.S.A.,Metropolitan FilmExport,2 nominations,2015,Long métrage,"Anglais, Allemand",34 574 entrées
Pride,https://fr.web.img6.acsta.net/c_310_420/pictures/14/07/02/16/01/158254.jpg,17 septembre 2014,en salle,"Comédie,Drame",Tout public,"Eté 1984 - Alors que Margaret Thatcher est au pouvoir, le Syndicat National des Mineurs vote la grève. Lors de leur marche à Londres, un groupe d’activistes gay et lesbien décide de récolter de l’argent pour venir en aide aux familles des mineurs. Mais l’Union Nationale des Mineurs semble embarrassée de recevoir leur aide. Le groupe d’activistes ne se décourage pas. Après avoir repéré un village minier au fin fond du pays de Galles, ils embarquent à bord d'un minibus pour aller remettre l'argent aux ouvriers en mains propres. Ainsi débute l’histoire extraordinaire de deux communautés que tout oppose qui s’unissent pour défendre la même cause.,",Matthew Warchus,Stephen Beresford,"Bill Nighy,Imelda Staunton,Paddy Considine","3,7","4,2",Grande-Bretagne,Pathé Films,2 prix et 4 nominations,2014,Long métrage,Anglais,183 223 entrées
Le Doudou,https://fr.web.img5.acsta.net/c_310_420/pictures/18/04/27/14/01/4093568.jpg,20 juin 2018,en salle,Comédie,Tout public,"Michel a perdu le doudou de sa fille à l’aéroport de Roissy. Il dépose un avis de recherche avec une récompense. Sofiane, employé à l’aéroport, y voit l’occasion de se faire un peu d’argent et prétend avoir retrouvé la peluche. Le mensonge révélé, Michel et Sofiane se lancent malgré tout sur les traces du doudou. Une mission plus compliquée que prévu...","Philippe Mechelen,Julien Hervé","Philippe Mechelen,Julien Hervé","Kad Merad,Malik Bentalha,Guy Marchand","3,0","2,4",France,Pathé Films,1 prix et 1 nomination,2017,Long métrage,Français,392 077 entrées
Triple alliance,https://fr.web.img5.acsta.net/c_310_420/pictures/14/04/30/14/38/201479.jpg,18 juin 2014,en salle,Comédie,Tout public,"Carly découvre que son nouveau petit ami Marc est un imposteur, lorsqu'elle rencontre accidentellement sa femme, Kate. Carly va se prendre d'affection pour elle, et leur improbable amitié va se renforcer encore un peu plus lorsqu'elles réalisent que Marc les trompe toutes les deux avec une autre femme, Amber.,Les trois femmes vont joindre leurs forces et mettre au point un impitoyable complot pour se venger.",Nick Cassavetes,Melissa Stack,"Cameron Diaz,Leslie Mann,Kate Upton","2,7","2,8",U.S.A.,Twentieth Century Fox France,2 nominations,2014,Long métrage,Anglais,804 954 entrées
Bienvenue à Suburbicon,https://fr.web.img5.acsta.net/c_310_420/pictures/17/09/26/10/04/3569523.jpg,6 décembre 2017,en salle,"Comédie,Policier",Interdit - 12 ans,"Suburbicon est une paisible petite ville résidentielle aux maisons abordables et aux pelouses impeccablement entretenues, l’endroit parfait pour une vie de famille. Durant l’été 1959, tous les résidents semblent vivre leur rêve américain dans cette parcelle de paradis. Pourtant, sous cette apparente tranquillité, entre les murs de ces pavillons, se cache une réalité tout autre faite de mensonge, de trahison, de duperie et de violence... Bienvenue à Suburbicon.",George Clooney,"George Clooney,Grant Heslov","Matt Damon,Julianne Moore,Noah Jupe","3,0","2,8",U.S.A.,Metropolitan FilmExport,2 nominations,2017,Long métrage,Anglais,175 142 entrées
