title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Médecin De Campagne,https://fr.web.img3.acsta.net/c_310_420/pictures/16/02/01/11/03/192862.jpg,23 mars 2016,en salle,Comédie dramatique,Tout public,"Tous les habitants, dans ce coin de campagne, peuvent compter sur Jean-Pierre, le médecin qui les ausculte, les soigne et les rassure jour et nuit, 7 jours sur 7. Malade à son tour, Jean-Pierre voit débarquer Nathalie,  médecin depuis peu, venue de l’hôpital pour le seconder. Mais parviendra-t-elle à s’adapter à cette nouvelle vie et à remplacer celui qui se croyait… irremplaçable ?",Thomas Lilti,"Thomas Lilti,Baya Kasmi","François Cluzet,Marianne Denicourt,Isabelle Sadoyan","3,7","3,6",France,Le Pacte,1 nomination,2016,Long métrage,Français,1 508 642 entrées
Ad Astra,https://fr.web.img5.acsta.net/c_310_420/pictures/19/08/13/14/44/4638430.jpg,18 septembre 2019,en salle,"Drame,Science Fiction",Tout public,"L’astronaute Roy McBride s’aventure jusqu’aux confins du système solaire à la recherche de son père disparu et pour résoudre un mystère qui menace la survie de notre planète. Lors de son voyage, il sera confronté à des révélations mettant en cause la nature même de l’existence humaine, et notre place dans l’univers.",James Gray,"James Gray,Ethan Gross","Brad Pitt,Tommy Lee Jones,Ruth Negga","4,4","3,2",U.S.A.,Twentieth Century Fox France,2 nominations,2019,Long métrage,Anglais,1 039 973 entrées
Once Upon a Time… in Hollywood,https://fr.web.img6.acsta.net/c_310_420/pictures/19/07/22/08/51/0719990.jpg,14 août 2019,en salle,"Comédie,Drame",Interdit - 12 ans,"En 1969, la star de télévision Rick Dalton et le cascadeur Cliff Booth, sa doublure de longue date, poursuivent leurs carrières au sein d’une industrie qu’ils ne reconnaissent plus.,",Quentin Tarantino,Quentin Tarantino,"Leonardo DiCaprio,Brad Pitt,Margot Robbie","4,1","3,8",U.S.A.,Sony Pictures Releasing France,7 prix et 25 nominations,2019,Long métrage,20/11/2019,2 633 185 entrées
Le Sens de la fête,https://fr.web.img3.acsta.net/c_310_420/pictures/17/07/12/11/50/570288.jpg,4 octobre 2017,en salle,Comédie,Tout public,"Max est traiteur depuis trente ans. Des fêtes il en a organisé des centaines, il est même un peu au bout du parcours. Aujourd'hui c'est un sublime mariage dans un château du 17ème siècle, un de plus, celui de Pierre et Héléna. Comme d'habitude, Max a tout coordonné : il a recruté sa brigade de serveurs, de cuisiniers, de plongeurs, il a conseillé un photographe, réservé l'orchestre, arrangé la décoration florale, bref tous les ingrédients sont réunis pour que cette fête soit réussie... Mais la loi des séries va venir bouleverser un planning sur le fil où chaque moment de bonheur et d'émotion risque de se transformer en désastre ou en chaos. Des préparatifs jusqu'à l'aube, nous allons vivre les coulisses de cette soirée à travers le regard de ceux qui travaillent et qui devront compter sur leur unique qualité commune : Le sens de la fête.","Eric Toledano,Olivier Nakache","Olivier Nakache,Eric Toledano","Jean-Pierre Bacri,Gilles Lellouche,Eye Haïdara","3,7","4,0",France,Gaumont Distribution,1 prix et 16 nominations,2017,Long métrage,Français,3 020 694 entrées
30 jours max,https://fr.web.img2.acsta.net/c_310_420/pictures/21/05/06/11/39/3560897.jpg,14 octobre 2020,en salle,"Comédie,Policier",Tout public,"Rayane est un jeune flic trouillard et maladroit sans cesse moqué par les autres policiers. Le jour où son médecin lui apprend à tort qu’il n’a plus que trente jours à vivre, Il comprend que c’est sa dernière chance pour devenir un héros au sein de son commissariat et impressionner sa collègue Stéphanie. L’éternel craintif se transforme alors en véritable tête brûlée qui prendra tous les risques pour coincer un gros caïd de la drogue…",Tarek Boudali,"Tarek Boudali,Pierre Dudan (II)","Tarek Boudali,Philippe Lacheau,Julien Arruti","2,4","2,2",France,StudioCanal,1 nomination,2019,Long métrage,19/05/2021,1 324 525 entrées
The Greatest Showman,https://fr.web.img3.acsta.net/c_310_420/pictures/17/12/22/14/45/3862832.jpg,24 janvier 2018,en salle,"Drame,Comédie musicale",Tout public,"The Greatest Showman célèbre la naissance du show-business et l’émerveillement que l’on éprouve lorsque les rêves deviennent réalité. Inspirée par l’ambition et l’imagination de P.T Barnum, voici l’histoire d’un visionnaire parti de rien qui a créé un spectacle devenu un phénomène planétaire.",Michael Gracey,"Bill Condon,Jenny Bicks","Hugh Jackman,Zac Efron,Michelle Williams","2,7","4,2",U.S.A.,Twentieth Century Fox France,1 prix et 3 nominations,2017,Long métrage,Anglais,591 849 entrées
"Vaiana, la légende du bout du monde",https://fr.web.img6.acsta.net/c_310_420/pictures/16/09/14/09/17/148002.jpg,30 novembre 2016,en salle,"Animation,Famille",Tout public,"Il y a 3 000 ans, les plus grands marins du monde voyagèrent dans le vaste océan Pacifique, à la découverte des innombrables îles de l'Océanie. Mais pendant le millénaire qui suivit, ils cessèrent de voyager. Et personne ne sait pourquoi...,Vaiana, la légende du bout du monde raconte l'aventure d'une jeune fille téméraire qui se lance dans un voyage audacieux pour accomplir la quête inachevée de ses ancêtres et sauver son peuple. Au cours de sa traversée du vaste océan, Vaiana va rencontrer Maui, un demi-dieu. Ensemble, ils vont accomplir un voyage épique riche d'action, de rencontres et d'épreuves... En accomplissant la quête inaboutie de ses ancêtres, Vaiana va découvrir la seule chose qu'elle a toujours cherchée : elle-même.","John Musker,Ron Clements",Jared Bush,"Cerise Calixte,Auli'i Cravalho,Anthony Kavanagh","3,6","4,2",U.S.A.,The Walt Disney Company France,7 nominations,2016,Long métrage,Anglais,5 582 587 entrées
Le Mans 66,https://fr.web.img6.acsta.net/c_310_420/pictures/19/10/14/09/06/5193325.jpg,13 novembre 2019,en salle,"Biopic,Drame",Tout public,"Basé sur une histoire vraie, le film suit une équipe d'excentriques ingénieurs américains menés par le visionnaire Carroll Shelby et son pilote britannique Ken Miles, qui sont envoyés par Henry Ford II pour construire à partir de rien une nouvelle automobile qui doit détrôner la Ferrari à la compétition du Mans de 1966.",James Mangold,"Jez Butterworth,John-Henry Butterworth","Matt Damon,Christian Bale,Caitriona Balfe","3,8","4,3",U.S.A.,Twentieth Century Fox France,4 prix et 7 nominations,2019,Long métrage,Anglais,1 138 077 entrées
Get Out,https://fr.web.img2.acsta.net/c_310_420/pictures/17/03/16/13/25/487327.jpg,3 mai 2017,en salle,Thriller,Interdit - 12 ans,"Couple mixte, Chris et sa petite amie Rose  filent le parfait amour. Le moment est donc venu de rencontrer la belle famille, Missy et Dean lors d’un week-end sur leur domaine dans le nord de l’État. Chris commence par penser que l’atmosphère tendue est liée à leur différence de couleur de peau, mais très vite une série d’incidents de plus en plus inquiétants lui permet de découvrir l’inimaginable.",Jordan Peele,Jordan Peele,"Daniel Kaluuya,Allison Williams,Catherine Keener","4,0","4,1",U.S.A.,Universal Pictures International France,1 prix et 14 nominations,2017,Long métrage,Anglais,1 145 664 entrées
The Strangers,https://fr.web.img5.acsta.net/c_310_420/pictures/16/05/03/10/18/265733.jpg,6 juillet 2016,en salle,"Policier,Drame,Epouvante-horreur,Thriller",Interdit - 12 ans avec avertissement,"La vie d’un village de montagne est bouleversée par une série de meurtres, aussi sauvages qu’inexpliqués. L’enquête de police piétine alors qu’une épidémie de fièvre se propage et mène à la folie meurtrière les habitants de la petite communauté. Sans explication rationnelle à ce phénomène, les soupçons se portent sur un vieil étranger qui vit en ermite dans les bois attisant rumeurs et superstitions.,",Na Hong-jin,Na Hong-jin,"Do-Won Kwak,Hwang Jeong-min,Jun Kunimura","4,1","3,9",Corée du Sud,Metropolitan FilmExport,1 nomination,2016,Long métrage,Coréen,61 153 entrées
Cendrillon,https://fr.web.img4.acsta.net/c_310_420/pictures/14/11/19/15/31/350162.jpg,25 mars 2015,en salle,"Fantastique,Romance",Tout public,"Le père d’Ella, un marchand, s’est remarié après la mort tragique de la mère de la jeune fille. Pour l’amour de son père, Ella accueille à bras ouverts sa nouvelle belle-mère et les filles de celle-ci, Anastasie et Javotte. Mais lorsque le père d’Ella meurt à son tour, la jeune fille se retrouve à la merci de sa nouvelle famille, jalouse et cruelle. Les trois méchantes femmes font d’elle leur servante, et la surnomment avec mépris Cendrillon parce qu’elle est toujours couverte de cendres. Pourtant, malgré la cruauté dont elle est victime, Ella est déterminée à respecter la promesse faite à sa mère avant de mourir : elle sera courageuse et bonne. Elle ne se laissera aller ni au désespoir, ni au mépris envers ceux qui la maltraitent. Un jour, Ella rencontre un beau jeune homme dans la forêt. Ignorant qu’il s’agit d’un prince, elle le croit employé au palais. Ella a le sentiment d’avoir trouvé l’âme soeur. Une lueur d’espoir brûle dans son coeur, car toutes les jeunes filles du pays ont été invitées à assister à un bal au palais. Espérant y rencontrer à nouveau le charmant Kit, Ella attend avec impatience de se rendre à la fête. Hélas, sa belle-mère lui défend d’y assister et réduit sa robe en pièces… Pendant ce temps, le Grand Duc complote avec la méchante belle-mère pour empêcher le Prince de retrouver celle qu’il aime... Heureusement, comme dans tout bon conte de fées, la chance finira par sourire à Ella : une vieille mendiante fait son apparition, et à l’aide d’une citrouille et de quelques souris, elle va changer le destin de la jeune fille…",Kenneth Branagh,Chris Weitz,"Lily James,Cate Blanchett,Richard Madden","3,0","3,5",U.S.A.,The Walt Disney Company France,3 nominations,2015,Long métrage,Anglais,1 665 240 entrées
L'Embarras Du Choix,https://fr.web.img3.acsta.net/c_310_420/pictures/17/02/14/12/56/161798.jpg,15 mars 2017,en salle,"Comédie,Romance",Tout public,"Frites ou salade ? Amis ou amants ? Droite ou gauche ? La vie est jalonnée de petites et grandes décisions à prendre. LE problème de Juliette c’est qu’elle est totalement incapable de se décider sur quoi que ce soit. Alors, même à 40 ans, elle demande encore à son père et à ses deux meilleures amies de tout choisir pour elle. Lorsque sa vie amoureuse croise la route de Paul puis d’Etienne, aussi charmants et différents l’un que l’autre, forcément, le cœur de Juliette balance. Pour la première fois, personne ne pourra décider à sa place…",Eric Lavaine,"Laurent Turner,Laure Hennequart","Alexandra Lamy,Arnaud Ducret,Jamie Bamber","2,8","2,7",France,Pathé Films,1 nomination,2016,Long métrage,Français,441 071 entrées
Né quelque part,https://fr.web.img2.acsta.net/c_310_420/pictures/210/077/21007796_20130523110959763.jpg,19 juin 2013,en salle,Comédie dramatique,Tout public,"Farid, jeune Français de 26 ans, doit aller en Algérie pour sauver la maison de son père. Découvrant ce pays où il n’a jamais mis les pieds, il tombe sous le charme d’une galerie de personnages étonnants dont l’humour et la simplicité vont profondément le toucher. Parmi eux, son cousin, un jeune homme vif et débrouillard qui nourrit le rêve de pouvoir rejoindre la France...",Mohamed Hamidi,"Alain-Michel Blanc,Mohamed Hamidi","Tewfik Jallab,Jamel Debbouze,Fatsah Bouyahmed","3,4","3,4",France,Mars Films,1 nomination,2012,Long métrage,"ARABIC, Français",424 520 entrées
Pirates des Caraïbes : la Vengeance de Salazar,https://fr.web.img6.acsta.net/c_310_420/pictures/17/03/02/10/13/106609.jpg,24 mai 2017,en salle,"Action,Aventure,Fantastique",Tout public,"Les temps sont durs pour le Capitaine Jack, et le destin semble même vouloir s’acharner lorsqu’un redoutable équipage fantôme mené par son vieil ennemi, le terrifiant Capitaine Salazar, s’échappe du Triangle du Diable pour anéantir tous les flibustiers écumant les flots… Sparrow compris ! Le seul espoir de survie du Capitaine Jack est de retrouver le légendaire Trident de Poséidon, qui donne à celui qui le détient tout pouvoir sur les mers et les océans. Mais pour cela, il doit forger une alliance précaire avec Carina Smyth, une astronome aussi belle que brillante, et Henry, un jeune marin de la Royal Navy au caractère bien trempé. À la barre du Dying Gull, un minable petit rafiot, Sparrow va tout entreprendre pour contrer ses revers de fortune, mais aussi sauver sa vie face au plus implacable ennemi qu’il ait jamais eu à affronter…","Joachim Rønning,Espen Sandberg",Jeff Nathanson,"Johnny Depp,Javier Bardem,Brenton Thwaites","2,8","3,4",U.S.A.,The Walt Disney Company France,3 nominations,2017,Long métrage,Anglais,3 583 699 entrées
Wonder,https://fr.web.img4.acsta.net/c_310_420/pictures/17/11/17/09/50/4929138.jpg,20 décembre 2017,en salle,"Drame,Famille",Tout public,"August Pullman est un petit garçon né avec une malformation du visage qui l’a empêché jusqu’à présent d’aller normalement à l’école. Aujourd’hui, il rentre en CM2 à l’école de son quartier. C’est le début d’une aventure humaine hors du commun. Chacun, dans sa famille, parmi ses nouveaux camarades de classe, et dans la ville tout entière, va être confronté à ses propres limites, à sa générosité de coeur ou à son étroitesse d’esprit. L’aventure extraordinaire d’Auggie finira par unir les gens autour de lui.",Stephen Chbosky,"Steve Conrad,Jack Thorne","Julia Roberts,Jacob Tremblay,Owen Wilson","3,0","4,1",U.S.A.,Metropolitan FilmExport,2 nominations,2017,Long métrage,Anglais,348 793 entrées
La Forme de l'eau - The Shape of Water,https://fr.web.img2.acsta.net/c_310_420/pictures/18/03/06/09/10/1293980.jpg,21 février 2018,en salle,"Drame,Fantastique,Romance",Tout public,"Modeste employée d’un laboratoire gouvernemental ultrasecret, Elisa mène une existence solitaire, d’autant plus isolée qu’elle est muette. Sa vie bascule à jamais lorsqu’elle et sa collègue Zelda découvrent une expérience encore plus secrète que les autres…",Guillermo del Toro,"Guillermo del Toro,Vanessa Taylor","Sally Hawkins,Michael Shannon,Richard Jenkins","4,1","3,8",U.S.A.,Twentieth Century Fox France,10 prix et 27 nominations,2017,Long métrage,Anglais,1 362 606 entrées
Black Panther,https://fr.web.img6.acsta.net/c_310_420/pictures/17/10/16/15/40/0883250.jpg,14 février 2018,en salle,"Action,Aventure,Fantastique,Science Fiction",Tout public,"Après les événements qui se sont déroulés dans Captain America : Civil War, T’Challa revient chez lui prendre sa place sur le trône du Wakanda, une nation africaine technologiquement très avancée. Mais lorsqu’un vieil ennemi resurgit, le courage de T’Challa est mis à rude épreuve, aussi bien en tant que souverain qu’en tant que Black Panther. Il se retrouve entraîné dans un conflit qui menace non seulement le destin du Wakanda, mais celui du monde entier…",Ryan Coogler,"Joe Robert Cole,Ryan Coogler","Chadwick Boseman,Michael B. Jordan,Lupita Nyong'o","3,1","3,8",U.S.A.,The Walt Disney Company France,6 prix et 8 nominations,2018,Long métrage,Anglais,3 616 851 entrées
Moonlight,https://fr.web.img6.acsta.net/c_310_420/pictures/17/03/02/11/56/134486.jpg,1 février 2017,en salle,Drame,Tout public,"Après avoir grandi dans un quartier difficile de Miami, Chiron, un jeune homme tente de trouver sa place dans le monde. Moonlight évoque son parcours, de l’enfance à l’âge adulte.",Barry Jenkins,Barry Jenkins,"Alex R. Hibbert,Ashton Sanders,Trevante Rhodes","4,2","4,0",U.S.A.,Mars Films,8 prix et 20 nominations,2016,Long métrage,Anglais,563 442 entrées
Le Discours d'un roi,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/82/28/51/19634452.jpg,2 février 2011,en salle,"Biopic,Drame,Historique",Tout public,"D’après l’histoire vraie et méconnue du père de l’actuelle Reine Elisabeth, qui va devenir, contraint et forcé, le Roi George VI, suite à l’abdication de son frère Edouard VIII. D’apparence fragile, incapable de s’exprimer en public, considéré par certains comme inapte à la fonction, George VI tentera de surmonter son handicap grâce au soutien indéfectible de sa femme et d’affronter ses peurs avec l’aide d’un thérapeute du langage aux méthodes peu conventionnelles. Il devra vaincre son bégaiement pour assumer pleinement son rôle, et faire de son empire le premier rempart contre l’Allemagne nazie.",Tom Hooper,David Seidler,"Colin Firth,Helena Bonham Carter,Derek Jacobi","4,0","4,3",Grande-Bretagne,Wild Bunch Distribution,21 prix et 30 nominations,2010,Long métrage,Anglais,2 983 712 entrées
Un Amour impossible,https://fr.web.img5.acsta.net/c_310_420/pictures/18/09/26/11/08/3665502.jpg,7 novembre 2018,en salle,Drame,Tout public,"À la fin des années 50 à Châteauroux, Rachel, modeste employée de bureau, rencontre Philippe, brillant jeune homme issu d'une famille bourgeoise. De cette liaison passionnelle mais brève naîtra une petite fille, Chantal. Philippe refuse de se marier en dehors de sa classe sociale. Rachel devra élever sa fille seule. Peu importe, pour elle Chantal est son grand bonheur, c'est pourquoi elle se bat pour qu'à défaut de l'élever, Philippe lui donne son nom. Une bataille de plus de dix ans qui finira par briser sa vie et celle de sa fille.",Catherine Corsini,"Catherine Corsini,Laurette Polmanss","Virginie Efira,Niels Schneider,Iliana Zabeth","3,7","3,8",France,Le Pacte,7 nominations,2018,Long métrage,Français,220 500 entrées
La Reine des neiges,https://fr.web.img3.acsta.net/c_310_420/pictures/210/521/21052146_20131023144339759.jpg,20 novembre 2013,en salle,"Aventure,Animation,Fantastique,Comédie musicale",Tout public,"Anna, une jeune fille aussi audacieuse qu’optimiste, se lance dans un incroyable voyage en compagnie de Kristoff, un montagnard expérimenté, et de son fidèle renne, Sven, à la recherche de sa sœur, Elsa, la Reine des Neiges qui a plongé le royaume d’Arendelle dans un hiver éternel… En chemin, ils vont rencontrer de mystérieux trolls et un drôle de bonhomme de neige nommé Olaf, braver les conditions extrêmes des sommets escarpés et glacés, et affronter la magie qui les guette à chaque pas.","Chris Buck,Jennifer Lee","Jennifer Lee,Shane Morris","Emmylou Homs,Kristen Bell,Anaïs Delva","3,5","3,9",U.S.A.,The Walt Disney Company France,5 prix et 1 nomination,2013,Long métrage,Anglais,4 951 627 entrées
Noé,https://fr.web.img4.acsta.net/c_310_420/pictures/14/03/12/18/33/096867.jpg,9 avril 2014,en salle,"Aventure,Fantastique,Péplum",Tout public,"Russell Crowe est Noé, un homme promis à un destin exceptionnel alors qu’un déluge apocalyptique va détruire le monde. La fin du monde… n’est que le commencement.",Darren Aronofsky,"Darren Aronofsky,Ari Handel","Russell Crowe,Jennifer Connelly,Emma Watson","3,0","2,6",U.S.A.,Paramount Pictures France,1 nomination,2014,Long métrage,Anglais,1 318 800 entrées
Wonder Woman,https://fr.web.img6.acsta.net/c_310_420/pictures/17/05/09/17/15/350974.jpg,7 juin 2017,en salle,"Action,Aventure,Fantastique",Tout public,"C'était avant qu'elle ne devienne Wonder Woman, à l'époque où elle était encore Diana, princesse des Amazones et combattante invincible. Un jour, un pilote américain s'écrase sur l'île paradisiaque où elle vit, à l'abri des fracas du monde. Lorsqu'il lui raconte qu'une guerre terrible fait rage à l'autre bout de la planète, Diana quitte son havre de paix, convaincue qu'elle doit enrayer la menace. En s'alliant aux hommes dans un combat destiné à mettre fin à la guerre, Diana découvrira toute l'étendue de ses pouvoirs… et son véritable destin.",Patty Jenkins,Allan Heinberg,"Gal Gadot,Chris Pine,Connie Nielsen","3,1","3,7",U.S.A.,Warner Bros. France,1 nomination,2017,Long métrage,Anglais,2 165 068 entrées
Deepwater,https://fr.web.img3.acsta.net/c_310_420/pictures/16/07/22/09/34/543663.jpg,12 octobre 2016,en salle,"Action,Drame",Tout public,"D’après l’incroyable histoire vraie de la plus grande catastrophe pétrolière de l’histoire.,La plateforme Deepwater Horizon tourne non-stop pour tirer profit des 800 millions de litres de pétrole présents dans les profondeurs du golfe du Mexique. Mike Williams, électricien sur la plateforme et père de famille, connaît les risques de son métier mais fait confiance au professionnalisme de son patron Jimmy Harrell. En revanche, tous se méfient de la société locataire de la plateforme dirigée par Donald Vidrine, qui ne pense qu’à son bénéfice. Lorsque cette société décide contre l’avis des techniciens de la déplacer trop rapidement, il sont loin de se douter que les 5 millions de barils sous leurs pieds sont prêts à exploser... Le seul courage de Mike et ses collègues suffira-t-il à limiter les dégâts et sauver ce qui peut encore l’être ?",Peter Berg,"Matthew Sand,Matthew Michael Carnahan","Mark Wahlberg,Dylan O'Brien,Kate Hudson","3,3","3,8",U.S.A.,SND,3 nominations,2016,Long métrage,Anglais,314 957 entrées
Rémi Sans Famille,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/21/10/49/5560173.jpg,12 décembre 2018,en salle,"Aventure,Drame,Famille",Tout public,"Les aventures du jeune Rémi, orphelin recueilli par la douce Madame Barberin. A l’âge de 10 ans, il est arraché à sa mère adoptive et confié au Signor Vitalis, un mystérieux musicien ambulant. A ses côtés, il va apprendre la rude vie de saltimbanque et à chanter pour gagner son pain. Accompagné du fidèle chien Capi et du petit singe Joli-Cœur, son long voyage à travers la France, fait de rencontres, d’amitiés et d’entraide, le mène au secret de ses origines…",Antoine Blossier,Antoine Blossier,"Daniel Auteuil,Maleaume Paquin,Virginie Ledoyen","3,4","4,0",France,Mars Films,1 nomination,2018,Long métrage,Français,857 515 entrées
Nous Finirons Ensemble,https://fr.web.img5.acsta.net/c_310_420/pictures/19/03/22/10/28/1786889.jpg,1 mai 2019,en salle,Comédie dramatique,Tout public,"Préoccupé, Max est parti dans sa maison au bord de la mer pour se ressourcer. Sa bande de potes, qu’il n’a pas vue depuis plus de 3 ans débarque par surprise pour lui fêter son anniversaire ! La surprise est entière mais l’accueil l’est beaucoup moins...,Max s’enfonce alors dans une comédie du bonheur qui sonne faux, et qui mettra le groupe dans des situations pour le moins inattendues.,Les enfants ont grandi,  d’autres sont nés, les parents n’ont plus les mêmes priorités...  Les séparations, les accidents de la vie... Quand tous décident de ne plus mettre de petits mouchoirs sur les gros bobards, que reste-t-il de l’amitié ?",Guillaume Canet,"Guillaume Canet,Rodolphe Lauga","François Cluzet,Marion Cotillard,Gilles Lellouche","2,7","3,6",France,Pathé Films,1 nomination,2018,Long métrage,Français,2 759 732 entrées
La source des femmes,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/83/59/39/19737747.jpg,2 novembre 2011,en salle,Comédie dramatique,Tout public,"Cela se passe de nos jours dans un petit village, quelque part entre l'Afrique du Nord et le Moyen-Orient. Les femmes vont chercher l'eau à la source, en haut de la montagne, sous un soleil de plomb, et ce depuis la nuit des temps. Leila, jeune mariée, propose aux femmes de faire la grève de l'amour : plus de câlins, plus de sexe tant que les hommes n’apportent pas l’eau au village.",Radu Mihaileanu,"Radu Mihaileanu,Alain-Michel Blanc","Leïla Bekhti,Hafsia Herzi,Hiam Abbass","2,4","3,7",France,EuropaCorp Distribution,8 nominations,2011,Long métrage,ARABIC,602 629 entrées
Tout nous sourit,https://fr.web.img6.acsta.net/c_310_420/pictures/21/05/26/15/28/1144494.jpg,20 octobre 2021,en salle,Comédie,Tout public,"Tout sourit à Audrey et Jérôme. Ils ont trois merveilleux enfants et leurs métiers les passionnent. Le temps d’un week-end, ils partent chacun de leur côté... Avec leurs amants respectifs. Sauf qu’ils ont la même idée : aller dans leur maison de campagne. Quand ils se retrouvent nez à nez, c'est l'explosion. Arrivent alors les parents d’Audrey, puis leurs enfants et enfin sa sœur. Le quatuor n’a pas d’autre choix que jouer la comédie pour sauver les apparences. Mais très vite le vernis et les nerfs craquent...",Melissa Drigeard,"Melissa Drigeard,Vincent Juillet","Elsa Zylberstein,Stéphane De Groodt,Guy Marchand","3,4","3,0",France,UGC Distribution,# prix,2019,Long métrage,Français,149 141 entrées
Pas son genre,https://fr.web.img4.acsta.net/c_310_420/pictures/14/03/12/15/46/479126.jpg,30 avril 2014,en salle,"Comédie,Romance",Tout public,"Clément, jeune professeur de philosophie parisien est affecté à Arras pour un an. Loin de Paris et ses lumières, Clément ne sait pas à quoi occuper son temps libre. C'est alors qu'il rencontre Jennifer, jolie coiffeuse, qui devient sa maîtresse. Si la vie de Clément est régie par Kant ou Proust, celle de Jennifer est rythmée par la lecture de romans populaires, de magazines « people » et de soirées karaoké avec ses copines. Cœurs et corps sont libres pour vivre le plus beau des amours mais cela suffira-t-il à renverser les barrières culturelles et sociales ?",Lucas Belvaux,Lucas Belvaux,"Emilie Dequenne,Loïc Corbery,Sandra Nkaké","3,5","3,4",France,Diaphana Distribution,6 prix et 11 nominations,2013,Long métrage,Français,345 107 entrées
Larguées,https://fr.web.img4.acsta.net/c_310_420/pictures/18/01/30/16/48/0392226.jpg,18 avril 2018,en salle,Comédie,Tout public,"Rose et Alice sont deux sœurs très différentes. Rose est libre et rock n’roll. Alice est rangée et responsable. Elles ne sont d’accord sur rien, à part sur l’urgence de remonter le moral de Françoise, leur mère, fraîchement larguée par leur père pour une femme beaucoup plus jeune. La mission qu’elles se sont donnée est simple « sauver maman » et le cadre des opérations bien défini : un club de vacances sur l’Ile de la Réunion…",Eloïse Lang,"Eloïse Lang,Philippe Lefebvre","Camille Cottin,Camille Chamoux, Miou-Miou","3,2","3,2",France,Pathé Films,# prix,2018,Long métrage,Français,801 803 entrées
Les Beaux Jours,https://fr.web.img3.acsta.net/c_310_420/pictures/210/035/21003556_20130506125321643.jpg,19 juin 2013,en salle,Romance,Tout public,"A Dunkerque, Caroline est une belle sexagénaire qui a choisi de prendre sa retraite de dentiste. Coincée dans sa vie monotone entre Philippe, son mari bourru, ses deux filles et ses petits-enfants, elle accepte le cadeau de ses enfants : une inscription à un club d'activités pour seniors. D'abord dubitative, Caroline se plaît finalement à se rendre à cet atelier où elle fait la rencontre de Julien, la trentaine, qui devient bientôt son amant. Entre eux, naît une histoire passionnelle grâce à laquelle Caroline s'émancipe et retrouve une réelle joie de vivre. Mais Philippe ne tarde pas à comprendre que sa femme entretient une liaison. Une formidable romance, à la fois sensuelle, drôle, pudique et touchante, servie par des interprétations exceptionnelles.",Marion Vernoux,"Marion Vernoux,Fanny Chesnel","Fanny Ardant,Laurent Lafitte,Patrick Chesnais","3,9","3,3",France,Le Pacte,3 nominations,2013,Long métrage,"Anglais, Français",472 201 entrées
Le Chant du Loup,https://fr.web.img3.acsta.net/c_310_420/pictures/18/12/10/09/46/3892829.jpg,20 février 2019,en salle,"Action,Thriller,Guerre",Tout public,"Un jeune homme a le don rare de reconnaître chaque son qu’il entend. A bord d’un sous-marin nucléaire français, tout repose sur lui, l’Oreille d’Or.,Réputé infaillible, il commet pourtant une erreur qui met l’équipage en danger de mort. Il veut retrouver la confiance de ses camarades mais sa quête les entraîne dans une situation encore plus dramatique.,Dans le monde de la dissuasion nucléaire et de la désinformation, ils se retrouvent tous pris au piège d’un engrenage incontrôlable.",Antonin Baudry,Antonin Baudry,"François Civil,Omar Sy,Mathieu Kassovitz","3,5","4,2",France,Pathé Films,1 prix et 2 nominations,2019,Long métrage,Français,1 522 395 entrées
Parasite,https://fr.web.img5.acsta.net/c_310_420/pictures/20/02/12/13/58/3992754.jpg,5 juin 2019,en salle,"Drame,Thriller",Tout public,"Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne...",Bong Joon Ho,"Bong Joon Ho,Jin Won Han","Song Kang-Ho,Woo-sik Choi,Park So-Dam","4,8","4,5",Corée du Sud,The Jokers Films,9 prix et 9 nominations,2019,Long métrage,01/03/2025,1 884 582 entrées
Alliés,https://fr.web.img5.acsta.net/c_310_420/pictures/16/11/03/14/27/203752.jpg,23 novembre 2016,en salle,"Historique,Romance,Thriller",Tout public,"Casablanca 1942.  Au service du contre-espionnage allié, l’agent Max Vatan rencontre la résistante française Marianne Beauséjour lors d’une mission à haut risque. C’est le début d’une relation passionnée. Ils se marient et entament une nouvelle vie à Londres. Quelques mois plus tard, Max est informé par les services secrets britanniques que Marianne pourrait être une espionne allemande. Il a 72 heures pour découvrir la vérité sur celle qu’il aime.",Robert Zemeckis,Steven Knight,"Brad Pitt,Marion Cotillard,Jared Harris","2,8","3,5",U.S.A.,Paramount Pictures France,2 nominations,2016,Long métrage,Anglais,988 625 entrées
