title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Argo,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/87/65/00/20273151.jpg,7 novembre 2012,en salle,"Drame,Espionnage,Thriller",Tout public,"Le 4 novembre 1979, au summum de la révolution iranienne, des militants envahissent l’ambassade américaine de Téhéran, et prennent 52 Américains en otage. Mais au milieu du chaos, six Américains réussissent à s’échapper et à se réfugier au domicile de l’ambassadeur canadien. Sachant qu’ils seront inévitablement découverts et probablement tués, un spécialiste de ""l’exfiltration"" de la CIA du nom de Tony Mendez monte un plan risqué visant à les faire sortir du pays. Un plan si incroyable qu’il ne pourrait exister qu’au cinéma.",Ben Affleck,Chris Terrio,"Ben Affleck,Bryan Cranston,John Goodman","3,7","4,1",U.S.A.,Warner Bros. France,14 prix et 15 nominations,2012,Long métrage,"
            Anglais",1 367 509 entrées
Brillantissime,https://fr.web.img6.acsta.net/c_310_420/pictures/17/12/12/16/58/1772950.jpg,17 janvier 2018,en salle,Comédie,Tout public,"Angela pense avoir une vie idéale. Elle vit à Nice, dans un bel appartement, avec un beau mari et une charmante ado. Mais le soir de Noël, sa fille la laisse pour rejoindre son petit copain, son mari la quitte et sa meilleure amie préfère prendre des somnifères plutôt que de passer la soirée avec elle. Le choc ! Angela n’a plus d’autre choix que celui de se reconstruire... et ce n’est pas simple avec une mère tyrannique, une meilleure amie hystérique et un psy aux méthodes expérimentales.",Michèle Laroque,"Michèle Laroque,Benjamin Morgaine","Michèle Laroque,Kad Merad,Françoise Fabian","2,2","1,7",France,StudioCanal,1 nomination,2017,Long métrage,"
            Français",612 565 entrées
Jojo Rabbit,https://fr.web.img6.acsta.net/c_310_420/pictures/19/10/15/10/55/1009759.jpg,29 janvier 2020,en salle,"Comédie,Drame,Guerre",Tout public,"Jojo est un petit allemand solitaire. Sa vision du monde est mise à l’épreuve quand il découvre que sa mère cache une jeune fille juive dans leur grenier. Avec la seule aide de son ami aussi grotesque qu'imaginaire, Adolf Hitler, Jojo va devoir faire face à son nationalisme aveugle.",Taika Waititi,Taika Waititi,"Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson","3,1","3,9",U.S.A.,Twentieth Century Fox France,2 prix et 15 nominations,2019,Long métrage,"
            Anglais",395 926 entrées
Star Wars: L'Ascension de Skywalker,https://fr.web.img5.acsta.net/c_310_420/pictures/20/10/02/12/21/3764004.png,18 décembre 2019,en salle,"Aventure,Science Fiction",Tout public,La conclusion de la saga Skywalker. De nouvelles légendes vont naître dans cette bataille épique pour la liberté.,J.J. Abrams,"Chris Terrio,J.J. Abrams","Daisy Ridley,Adam Driver,Oscar Isaac","3,1","3,0",U.S.A.,The Walt Disney Company France,6 nominations,2019,Long métrage,"
            Anglais",5 911 207 entrées
"Mange, prie, aime",https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/77/01/84/19472721.jpg,22 septembre 2010,en salle,Drame,Tout public,"Après un divorce difficile, Liz Gilbert décide de prendre une année sabbatique et de changer de vie. Elle entame alors un périple initiatique qui va l’emmener au bout du monde et d’elle-même. Lors d’un voyage aussi exotique que merveilleux, elle retrouve l’appétit de vivre et le plaisir de manger en Italie, le pouvoir de la prière et de l’esprit en Inde, et de façon tout à fait inattendue, elle trouvera la paix intérieure et l’amour à Bali.",Ryan Murphy,"Jennifer Salt,Ryan Murphy","Julia Roberts,Richard Jenkins,Javier Bardem","1,7","2,5",U.S.A.,Sony Pictures Releasing France,1 nomination,2010,Long métrage,"
            Anglais, Italien, Portugais",663 969 entrées
Hostiles,https://fr.web.img2.acsta.net/c_310_420/pictures/18/02/02/17/23/5152324.jpg,14 mars 2018,en salle,"Drame,Western",Tout public,"En 1892, le capitaine de cavalerie Joseph Blocker, ancien héros de guerre devenu gardien de prison, est contraint d’escorter Yellow Hawk, chef de guerre Cheyenne mourant, sur ses anciennes terres tribales. Peu après avoir pris la route, ils rencontrent Rosalee Quaid. Seule rescapée du massacre de sa famille par les Comanches, la jeune femme traumatisée se joint à eux dans leur périple.,Façonnés par la souffrance, la violence et la mort, ils ont en eux d’infinies réserves de colère et de méfiance envers autrui. Sur le périlleux chemin qui va les conduire du Nouveau-Mexique jusqu’au Montana, les anciens ennemis vont devoir faire preuve de solidarité pour survivre à l’environnement et aux tribus comanches qu’ils rencontrent.",Scott Cooper,Scott Cooper,"Christian Bale,Rosamund Pike,Wes Studi","4,0","4,1",U.S.A.,Metropolitan FilmExport,1 nomination,2017,Long métrage,"
            Anglais",370 330 entrées
L'Immortel,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/73/28/01/19237620.jpg,19 mars 2010,en salle,Policier,Interdit - 12 ans,"Charly Matteï a tourné la page de son passé de hors la loi. Depuis trois ans, il mène une vie paisible et se consacre à sa femme et ses deux enfants. Pourtant, un matin d'hiver, il est laissé pour mort dans le parking du vieux port à Marseille avec 22 balles dans le corps. Contre toute attente, il ne va pas mourir... Cette histoire est inspirée de faits réels, mais où tout est inventé, au cœur du Milieu marseillais.",Richard Berry,"Richard Berry,Alexandre De La Patellière","Jean Reno,Kad Merad,Marina Foïs","2,4","3,3",France,EuropaCorp Distribution,1 prix et 7 nominations,2010,Long métrage,"
            Anglais, Français",1 127 458 entrées
Baywatch - Alerte à Malibu,https://fr.web.img5.acsta.net/c_310_420/pictures/17/08/04/23/23/176634.jpg,21 juin 2017,en salle,"Action,Comédie",Tout public,"Le légendaire sauveteur Mitch Buchannon  est contraint de s’associer à une nouvelle recrue, Matt Brody, aussi ambitieux que tête brûlée ! Ensemble, ils vont tenter de déjouer un complot criminel qui menace l'avenir de la Baie…",Seth Gordon,"Damian Shannon,Mark Swift","Dwayne Johnson,Zac Efron,Alexandra Daddario","1,8","2,6",U.S.A.,Paramount Pictures France,4 nominations,2017,Long métrage,"
            Anglais",1 564 810 entrées
Le Monde est à toi,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/27/12/24/2222279.jpg,15 août 2018,en salle,"Action,Comédie",Tout public,"François, petit dealer, a un rêve : devenir le distributeur officiel de Mr Freeze au Maghreb. Cette vie, qu’il convoite tant, vole en éclat quand il apprend que Dany, sa mère, a dépensé toutes ses économies. Poutine, le caïd lunatique de la cité propose à François un plan en Espagne pour se refaire. Mais quand tout son entourage : Lamya son amour de jeunesse, Henri un ancien beau-père à la ramasse tout juste sorti de prison, les deux jeunes Mohamed complotistes et sa mère chef d’un gang de femmes pickpockets, s’en mêle, rien ne va se passer comme prévu !",Romain Gavras,"Romain Gavras,Karim Boukercha","Karim Leklou,Isabelle Adjani,Vincent Cassel","3,6","3,5",France,StudioCanal,1 prix et 4 nominations,2017,Long métrage,"
            Français",338 992 entrées
Eden,https://fr.web.img3.acsta.net/c_310_420/pictures/14/10/10/17/00/513445.jpg,19 novembre 2014,en salle,"Biopic,Drame,Musical",Tout public,"Au début des années 90, la musique électronique française est en pleine effervescence. Paul, un DJ, fait ses premiers pas dans le milieu de la nuit parisienne et créé avec son meilleur ami le duo «Cheers».,Ils trouveront leur public et joueront dans les plus grands clubs de la capitale. C’est le début pour eux d’une ascension euphorique, vertigineuse, dangereuse et éphémère.,C’est aussi le parcours sentimental d’un jeune homme qui accumule les histoires d’amour et qui n’arrive pas à construire.,Eden tente de faire revivre l’euphorie des années 90 et l’histoire de la French Touch : cette génération d’artistes français qui continue de briller dans le monde entier.",Mia Hansen-Løve,Mia Hansen-Løve,"Félix de Givry,Pauline Etienne,Hugo Conzelmann","3,0","2,6",France,Ad Vitam,1 nomination,2014,Long métrage,"
            Anglais, Français",56 137 entrées
