title,image,date,broadcast_place,genres,certificate,synopsis,directors,scenarists,actors,average_notes_press,average_notes_spectators,nationality,distributor,awards,year_production,movie_type,language,entrance_number_fr
Médecin De Campagne,https://fr.web.img3.acsta.net/c_310_420/pictures/16/02/01/11/03/192862.jpg,23 mars 2016,en salle,Comédie dramatique,Tout public,"Tous les habitants, dans ce coin de campagne, peuvent compter sur Jean-Pierre, le médecin qui les ausculte, les soigne et les rassure jour et nuit, 7 jours sur 7. Malade à son tour, Jean-Pierre voit débarquer Nathalie,  médecin depuis peu, venue de l’hôpital pour le seconder. Mais parviendra-t-elle à s’adapter à cette nouvelle vie et à remplacer celui qui se croyait… irremplaçable ?",Thomas Lilti,"Thomas Lilti,Baya Kasmi","François Cluzet,Marianne Denicourt,Isabelle Sadoyan","3,7","3,6",France,Le Pacte,1 nomination,2016,Long métrage,"
            Français",1 508 642 entrées
Une merveilleuse histoire du temps,https://fr.web.img3.acsta.net/c_310_420/pictures/14/10/31/17/54/461500.jpg,21 janvier 2015,en salle,"Biopic,Drame",Tout public,"1963, en Angleterre, Stephen, brillant étudiant en Cosmologie à l’Université de Cambridge, entend bien donner une réponse simple et efficace au mystère de la création de l’univers. De nouveaux horizons s’ouvrent quand il tombe amoureux d’une étudiante en art, Jane Wilde. Mais le jeune homme, alors dans la fleur de l’âge, se heurte à un diagnostic implacable : une dystrophie neuromusculaire plus connue sous le nom de maladie de Charcot va s’attaquer à ses membres, sa motricité, et son élocution, et finira par le tuer en l’espace de deux ans.,Grâce à l’amour indéfectible, le courage et la résolution de Jane, qu’il épouse contre toute attente, ils entament tous les deux un nouveau combat afin de repousser l’inéluctable. Jane l’encourage à terminer son doctorat, et alors qu’ils commencent une vie de famille, Stephen, doctorat en poche va s’attaquer aux recherches sur ce qu’il a de plus précieux : le temps.,Alors que son corps se dégrade, son cerveau fait reculer les frontières les plus éloignées de la physique. Ensemble, ils vont révolutionner le monde de la médecine et de la science, pour aller au-delà de ce qu’ils auraient pu imaginer : le vingt et unième siècle.",James Marsh,Anthony McCarten,"Eddie Redmayne,Felicity Jones,Tom Prior","3,3","4,2",Grande-Bretagne,Universal Pictures International France,6 prix et 16 nominations,2014,Long métrage,"
            Anglais, Français",212 143 entrées
Green Book : Sur les routes du sud,https://fr.web.img3.acsta.net/c_310_420/pictures/19/02/25/17/06/0818764.jpg,23 janvier 2019,en salle,"Biopic,Drame",Tout public,"En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts. Durant leur périple de Manhattan jusqu’au Sud profond, ils s’appuient sur le Green Book pour dénicher les établissements accueillant les personnes de couleur, où l’on ne refusera pas de servir Shirley et où il ne sera ni humilié ni maltraité.,Dans un pays où le mouvement des droits civiques commence à se faire entendre, les deux hommes vont être confrontés au pire de l’âme humaine, dont ils se guérissent grâce à leur générosité et leur humour. Ensemble, ils vont devoir dépasser leurs préjugés, oublier ce qu’ils considéraient comme des différences insurmontables, pour découvrir leur humanité commune.",Peter Farrelly,"Nick Vallelonga,Brian Hayes Currie","Viggo Mortensen,Mahershala Ali,Linda Cardellini","4,0","4,5",U.S.A.,Metropolitan FilmExport,7 prix et 12 nominations,2018,Long métrage,"
            Anglais",2 055 324 entrées
Django Unchained,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/90/08/59/20366454.jpg,16 janvier 2013,en salle,Western,Interdit - 12 ans,"Dans le sud des États-Unis, deux ans avant la guerre de Sécession, le Dr King Schultz, un chasseur de primes allemand, fait l’acquisition de Django, un esclave qui peut l’aider à traquer les frères Brittle, les meurtriers qu’il recherche. Schultz promet à Django de lui rendre sa liberté lorsqu’il aura capturé les Brittle – morts ou vifs.,Alors que les deux hommes pistent les dangereux criminels, Django n’oublie pas que son seul but est de retrouver Broomhilda, sa femme, dont il fut séparé à cause du commerce des esclaves…,Lorsque Django et Schultz arrivent dans l’immense plantation du puissant Calvin Candie, ils éveillent les soupçons de Stephen, un esclave qui sert Candie et a toute sa confiance. Le moindre de leurs mouvements est désormais épié par une dangereuse organisation de plus en plus proche… Si Django et Schultz veulent espérer s’enfuir avec Broomhilda, ils vont devoir choisir entre l’indépendance et la solidarité, entre le sacrifice et la survie…",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio","4,6","4,5",U.S.A.,Sony Pictures Releasing France,8 prix et 11 nominations,2012,Long métrage,"
            Anglais, Français, Allemand",4 229 543 entrées
L'Emprise,https://fr.web.img6.acsta.net/c_310_420/pictures/15/01/27/15/22/367074.jpg,10 février 2015,en VOD,Drame,Tout public,"L’histoire d’une mère de quatre enfants qui se retrouve en mars 2012 dans le box des accusés des Assises de Douai pour le meurtre de son mari, un homme qui l’a battue et torturée pendant leurs dix-sept ans de mariage...",Claude-Michel Rome,Claude-Michel Rome,"Odile Vuillemin,Fred Testot,Marc Lavoine","4,3",--,France,1 prix et 1 nomination,Aucun,2014,Télefilm,"
            -
        ",-
Des Lendemains qui chantent,https://fr.web.img6.acsta.net/c_310_420/pictures/14/06/24/17/21/587352.jpg,20 août 2014,en salle,Comédie,Tout public,"Olivier et Léon, deux frères qui sont montés à Paris et que la vie a éloigné... Si le premier se voit comme un journaliste sans concessions, le second est un communicant ambitieux et opportuniste. Noémie, une charmante conseillère présidentielle, n’arrive pas, au fil des ans, à choisir entre eux. Sous le regard amusé de Sylvain, leur ami d’enfance, qui a fait fortune dans le minitel rose, leurs destins se croisent sur 20 ans, s’entremêlent, au cours d’une épopée drôle, tendre et nostalgique, dans les années 80/90.",Nicolas Castro,Nicolas Castro,"Pio Marmaï,Laetitia Casta,Ramzy Bedia","3,1","3,0",France,UGC Distribution,1 nomination,2013,Long métrage,"
            Français",85 194 entrées
Monsters,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/79/56/45/19543121.jpg,1 décembre 2010,en salle,"Drame,Epouvante-horreur,Science Fiction",Tout public,"Une sonde de la NASA s’écrase dans la jungle mexicaine, libérant sur terre des particules d’une forme de vie extra-terrestre. Six ans plus tard, le Mexique et le Costa-Rica sont devenus des zones de guerre désertées par les populations locales, mises en quarantaine et peuplées de créatures monstrueuses. Un photographe est chargé d’escorter une jeune femme à travers cette zone dévastée. Seuls sur la route, ils vont tenter de rejoindre la frontière américaine...",Gareth Edwards (V),Gareth Edwards (V),"Whitney Able,Scoot McNairy,Annalee Jefferies","3,4","2,6",Grande-Bretagne,SND,2 nominations,2010,Long métrage,"
            Anglais, Espagnol",67 514 entrées
Le Monde secret des Emojis,https://fr.web.img5.acsta.net/c_310_420/pictures/17/08/24/10/15/324652.jpg,18 octobre 2017,en salle,"Aventure,Animation,Comédie",Tout public,"Au sein de l’appli de messagerie, la cité de Textopolis fourmille d’activité : c’est là que vivent tous les émojis, chacun porté par l’espoir d’être choisi par l’utilisateur du téléphone… Dans ce monde, chaque émoji ne possède qu’une seule expression faciale. Seul Bof, un émoji exubérant né sans aucun filtre, dispose de multiples expressions. Rêvant désespérément de devenir « normal », pareil aux autres émojis, Bof demande de l’aide à son meilleur ami, Tope-Là, et à la célèbre casseuse de codes, Rebelle. Tous trois s’embarquent dans une « app-venture » épique d’appli en appli, passant d’un monde fou et amusant à l’autre, à la recherche du code qui accomplira le rêve de Bof. Mais un terrible danger menace bientôt le smartphone. Le destin de tous les émojis repose désormais sur les trois amis. À eux de sauver leur monde avant qu’il ne soit effacé à jamais...",Tony Leondis,"Tony Leondis,Eric Siegel","T.J. Miller,James Corden,Anna Faris","1,8","2,0",U.S.A.,Sony Pictures Releasing France,# prix,2017,Long métrage,"
            Anglais",742 474 entrées
Zootopie,https://fr.web.img6.acsta.net/c_310_420/pictures/15/12/11/14/34/280851.jpg,17 février 2016,en salle,"Animation,Comédie,Famille",Tout public,"Zootopie est une ville qui ne ressemble à aucune autre : seuls les animaux y habitent ! On y trouve des quartiers résidentiels élégants comme le très chic Sahara Square, et d’autres moins hospitaliers comme le glacial Tundratown. Dans cette incroyable métropole, chaque espèce animale cohabite avec les autres. Qu’on soit un immense éléphant ou une minuscule souris, tout le monde a sa place à Zootopia !,Lorsque Judy Hopps fait son entrée dans la police, elle découvre qu’il est bien difficile de s’imposer chez les gros durs en uniforme, surtout quand on est une adorable lapine. Bien décidée à faire ses preuves, Judy s’attaque à une épineuse affaire, même si cela l’oblige à faire équipe avec Nick Wilde, un renard à la langue bien pendue et véritable virtuose de l’arnaque…","Byron Howard,Rich Moore,Jared Bush","Jared Bush,Phil Johnston","Marie-Eugénie Maréchal,Ginnifer Goodwin,Alexis Victor","4,0","4,3",U.S.A.,The Walt Disney Company France,4 prix et 6 nominations,2016,Long métrage,"
            Anglais",4 715 369 entrées
Inséparables,https://fr.web.img5.acsta.net/c_310_420/pictures/19/07/30/09/20/1991246.jpg,4 septembre 2019,en salle,Comédie,Tout public,"Mika, un petit escroc, a fait un rapide tour en prison, où il a fait la connaissance de « Poutine », un détenu cinglé et imprévisible. Sitôt sa peine purgée, il décide de repartir à zéro et de refaire sa vie. Alors qu’il s’apprête à épouser la fille d’un riche homme d’affaires, son passé le rattrape : Poutine débarque sans prévenir ! Mika va vite réaliser qu’on ne se débarrasse pas aisément d’un tel boulet...",Varante Soudjian,Varante Soudjian,"Ahmed Sylla,Alban Ivanov,Judith El Zein","2,5","3,2",France,SND,1 nomination,2018,Long métrage,"
            Français",1 037 582 entrées
Lady Bird,https://fr.web.img2.acsta.net/c_310_420/pictures/17/12/06/16/57/3052992.jpg,28 février 2018,en salle,"Comédie,Drame",Tout public,"Christine « Lady Bird » McPherson se bat désespérément pour ne pas ressembler à sa mère, aimante mais butée et au fort caractère, qui travaille sans relâche en tant qu’infirmière pour garder sa famille à flot après que le père de Lady Bird a perdu son emploi.",Greta Gerwig,Greta Gerwig,"Saoirse Ronan,Laurie Metcalf,Tracy Letts","3,8","3,7",U.S.A.,Universal Pictures International France,2 prix et 14 nominations,2017,Long métrage,"
            Anglais",305 698 entrées
Uncut Gems,https://fr.web.img3.acsta.net/c_310_420/pictures/20/01/08/16/54/5502811.jpg,20 décembre 2020,sur Netflix,"Drame,Thriller",Tout public,"Avec des dettes qui s'accumulent et des percepteurs qui le cernent, un bijoutier new-yorkais volubile risque tout dans l'espoir de rester à flot... et en vie.","Benny Safdie,Josh Safdie","Ronald Bronstein,Benny Safdie","Adam Sandler,Julia Fox,Idina Menzel","4,3","3,4",U.S.A.,Netflix France,Aucun,2019,Long métrage,"
            -
        ",-
Bis,https://fr.web.img6.acsta.net/c_310_420/pictures/15/01/09/14/18/041740.jpg,18 février 2015,en salle,Comédie,Tout public,"Éric et Patrice sont amis depuis le lycée. Au fil des années, chacun a pris un chemin très différent : d’un côté Éric, hédoniste sans attaches aux multiples conquêtes, et de l’autre Patrice, père de famille « monogame » à la vie bien rangée. Après une soirée bien arrosée, les deux amis d’enfance se retrouvent propulsés en 1986 alors qu’ils n’ont que 17 ans. Ce retour dans le passé est l’occasion rêvée pour tenter de changer le cours de leur vie. Que vont-ils faire de cette seconde chance ?",Dominique Farrugia,"Dominique Farrugia,Nans Delgado","Franck Dubosc,Kad Merad,Alexandra Lamy","3,2","2,7",France,EuropaCorp Distribution,2 nominations,2015,Long métrage,"
            Français",1 506 009 entrées
Oh My God !,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/85/91/14/19840999.jpg,14 décembre 2011,en salle,"Comédie,Romance",Tout public,"Dans l’Angleterre Victorienne, Mortimer Granville, jeune et séduisant médecin entre au service du Dr. Dalrymple, spécialiste de l’hystérie féminine. Le traitement préconisé est simple mais d’une redoutable efficacité : donner du plaisir pour soulager les troubles ! Le docteur Mortimer y met toute sa ferveur mais bientôt une vilaine crampe à la main l’empêche de pratiquer… Avec la complicité de son meilleur ami, un passionné de nouvelles technologies, il met au point un objet révolutionnaire : le premier vibromasseur…",Tanya Wexler,"Stephen Dyer,Jonah Lisa Dyer","Maggie Gyllenhaal,Hugh Dancy,Jonathan Pryce","2,6","3,5",Grande-Bretagne,Haut et Court,3 nominations,2011,Long métrage,"
            Anglais",74 246 entrées
Un Heureux Événement,https://fr.web.img5.acsta.net/c_310_420/medias/nmedia/18/84/82/69/19792498.jpg,28 septembre 2011,en salle,Comédie dramatique,Tout public,"""Elle m’a poussée dans mes retranchements, m’a fait dépasser toutes mes limites, m’a confrontée à l’absolu : de l’amour, du sacrifice, de la tendresse, de l’abandon. Elle m’a disloquée, transformée. Pourquoi personne ne m’a rien dit ? Pourquoi on n’en parle pas ?"",Un heureux événement ou la vision intime d’une maternité, sincère et sans tabous.",Rémi Bezançon,"Rémi Bezançon,Vanessa Portal","Louise Bourgoin,Pio Marmaï,Josiane Balasko","3,1","3,5",France,Gaumont Distribution,7 nominations,2011,Long métrage,"
            Français",461 682 entrées
La source des femmes,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/83/59/39/19737747.jpg,2 novembre 2011,en salle,Comédie dramatique,Tout public,"Cela se passe de nos jours dans un petit village, quelque part entre l'Afrique du Nord et le Moyen-Orient. Les femmes vont chercher l'eau à la source, en haut de la montagne, sous un soleil de plomb, et ce depuis la nuit des temps. Leila, jeune mariée, propose aux femmes de faire la grève de l'amour : plus de câlins, plus de sexe tant que les hommes n’apportent pas l’eau au village.",Radu Mihaileanu,"Radu Mihaileanu,Alain-Michel Blanc","Leïla Bekhti,Hafsia Herzi,Hiam Abbass","2,4","3,7",France,EuropaCorp Distribution,8 nominations,2011,Long métrage,"
            ARABIC",602 629 entrées
"Captain America, le soldat de l'hiver",https://fr.web.img5.acsta.net/c_310_420/pictures/14/01/31/17/06/486036.jpg,26 mars 2014,en salle,"Action,Aventure,Science Fiction",Tout public,"Après les événements cataclysmiques de New York de The Avengers, Steve Rogers aka Captain America vit tranquillement à Washington, D.C. et essaye de s'adapter au monde moderne. Mais quand un collègue du S.H.I.E.L.D. est attaqué, Steve se retrouve impliqué dans un réseau d'intrigues qui met le monde en danger. S'associant à Black Widow, Captain America lutte pour dénoncer une conspiration grandissante, tout en repoussant des tueurs professionnels envoyés pour le faire taire. Quand l'étendue du plan maléfique est révélée, Captain America et Black Widow sollicite l'aide d'un nouvel allié, le Faucon. Cependant, ils se retrouvent bientôt face à un inattendu et redoutable ennemi - le Soldat de l'Hiver.","Anthony Russo,Joe Russo","Christopher Markus,Stephen McFeely","Chris Evans,Scarlett Johansson,Anthony Mackie","3,2","3,9",U.S.A.,The Walt Disney Company France,1 nomination,2014,Long métrage,"
            Anglais",1 868 812 entrées
Moonlight,https://fr.web.img6.acsta.net/c_310_420/pictures/17/03/02/11/56/134486.jpg,1 février 2017,en salle,Drame,Tout public,"Après avoir grandi dans un quartier difficile de Miami, Chiron, un jeune homme tente de trouver sa place dans le monde. Moonlight évoque son parcours, de l’enfance à l’âge adulte.",Barry Jenkins,Barry Jenkins,"Alex R. Hibbert,Ashton Sanders,Trevante Rhodes","4,2","4,0",U.S.A.,Mars Films,8 prix et 20 nominations,2016,Long métrage,"
            Anglais",563 442 entrées
Un Amour impossible,https://fr.web.img5.acsta.net/c_310_420/pictures/18/09/26/11/08/3665502.jpg,7 novembre 2018,en salle,Drame,Tout public,"À la fin des années 50 à Châteauroux, Rachel, modeste employée de bureau, rencontre Philippe, brillant jeune homme issu d'une famille bourgeoise. De cette liaison passionnelle mais brève naîtra une petite fille, Chantal. Philippe refuse de se marier en dehors de sa classe sociale. Rachel devra élever sa fille seule. Peu importe, pour elle Chantal est son grand bonheur, c'est pourquoi elle se bat pour qu'à défaut de l'élever, Philippe lui donne son nom. Une bataille de plus de dix ans qui finira par briser sa vie et celle de sa fille.",Catherine Corsini,"Catherine Corsini,Laurette Polmanss","Virginie Efira,Niels Schneider,Iliana Zabeth","3,7","3,8",France,Le Pacte,7 nominations,2018,Long métrage,"
            Français",220 500 entrées
Rémi Sans Famille,https://fr.web.img6.acsta.net/c_310_420/pictures/18/06/21/10/49/5560173.jpg,12 décembre 2018,en salle,"Aventure,Drame,Famille",Tout public,"Les aventures du jeune Rémi, orphelin recueilli par la douce Madame Barberin. A l’âge de 10 ans, il est arraché à sa mère adoptive et confié au Signor Vitalis, un mystérieux musicien ambulant. A ses côtés, il va apprendre la rude vie de saltimbanque et à chanter pour gagner son pain. Accompagné du fidèle chien Capi et du petit singe Joli-Cœur, son long voyage à travers la France, fait de rencontres, d’amitiés et d’entraide, le mène au secret de ses origines…",Antoine Blossier,Antoine Blossier,"Daniel Auteuil,Maleaume Paquin,Virginie Ledoyen","3,4","4,0",France,Mars Films,1 nomination,2018,Long métrage,"
            Français",857 515 entrées
L’Affaire SK1,https://fr.web.img5.acsta.net/c_310_420/pictures/14/12/03/12/47/285269.jpg,7 janvier 2015,en salle,"Policier,Drame",Tout public,"Paris, 1991. Franck Magne, un jeune inspecteur fait ses premiers pas à la Police Judiciaire, 36 quai des Orfèvres, Brigade Criminelle. Sa première enquête porte sur l’assassinat d’une jeune fille. Son travail l’amène à étudier des dossiers similaires qu’il est le seul à connecter ensemble. Il est vite confronté à la réalité du travail d’enquêteur : le manque de moyens, les longs horaires, la bureaucratie… Pendant 8 ans, obsédé par cette enquête, il traquera ce tueur en série auquel personne ne croit. Au fil d’une décennie, les victimes se multiplient. Les pistes se brouillent. Les meurtres sauvages se rapprochent. Franck Magne traque le monstre qui se dessine pour le stopper. Le policier de la Brigade Criminelle devient l’architecte de l’enquête la plus complexe et la plus vaste qu’ait jamais connu la police judiciaire française. Il va croiser la route de Frédérique Pons, une avocate passionnée, décidée à comprendre le destin de l’homme qui se cache derrière cet assassin sans pitié. Une plongée au cœur de 10 ans d’enquête, au milieu de policiers opiniâtres, de juges déterminés, de policiers scientifiques consciencieux, d’avocats ardents qui, tous, resteront marqués par cette affaire devenue retentissante : « l’affaire Guy Georges, le tueur de l’est parisien ».",Frédéric Tellier,"Frédéric Tellier,David Oelhoffen","Raphaël Personnaz,Nathalie Baye,Olivier Gourmet","3,8","3,9",France,SND,1 prix et 3 nominations,2013,Long métrage,"
            Français",391 027 entrées
Noé,https://fr.web.img4.acsta.net/c_310_420/pictures/14/03/12/18/33/096867.jpg,9 avril 2014,en salle,"Aventure,Fantastique,Péplum",Tout public,"Russell Crowe est Noé, un homme promis à un destin exceptionnel alors qu’un déluge apocalyptique va détruire le monde. La fin du monde… n’est que le commencement.",Darren Aronofsky,"Darren Aronofsky,Ari Handel","Russell Crowe,Jennifer Connelly,Emma Watson","3,0","2,6",U.S.A.,Paramount Pictures France,1 nomination,2014,Long métrage,"
            Anglais",1 318 800 entrées
Tron l'héritage,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/71/75/38/19640130.jpg,9 février 2011,en salle,"Action,Aventure,Science Fiction",Tout public,"Sam Flynn, 27 ans, est le fils expert en technologie de Kevin Flynn. Cherchant à percer le mystère de la disparition de son père, il se retrouve aspiré dans ce même monde de programmes redoutables et de jeux mortels où vit son père depuis 25 ans. Avec la fidèle confidente de Kevin, père et fils s'engagent dans un voyage où la mort guette, à travers un cyber univers époustouflant visuellement, devenu plus avancé technologiquement et plus dangereux que jamais...",Joseph Kosinski,"Adam Horowitz,Richard Jefferies","Jeff Bridges,Garrett Hedlund,Olivia Wilde","2,7","3,3",U.S.A.,The Walt Disney Company France,8 nominations,2010,Long métrage,"
            Anglais",1 165 450 entrées
La Reine des neiges,https://fr.web.img3.acsta.net/c_310_420/pictures/210/521/21052146_20131023144339759.jpg,20 novembre 2013,en salle,"Aventure,Animation,Fantastique,Comédie musicale",Tout public,"Anna, une jeune fille aussi audacieuse qu’optimiste, se lance dans un incroyable voyage en compagnie de Kristoff, un montagnard expérimenté, et de son fidèle renne, Sven, à la recherche de sa sœur, Elsa, la Reine des Neiges qui a plongé le royaume d’Arendelle dans un hiver éternel… En chemin, ils vont rencontrer de mystérieux trolls et un drôle de bonhomme de neige nommé Olaf, braver les conditions extrêmes des sommets escarpés et glacés, et affronter la magie qui les guette à chaque pas.","Chris Buck,Jennifer Lee","Jennifer Lee,Shane Morris","Emmylou Homs,Kristen Bell,Anaïs Delva","3,5","3,9",U.S.A.,The Walt Disney Company France,5 prix et 1 nomination,2013,Long métrage,"
            Anglais",4 951 627 entrées
Wonder Woman,https://fr.web.img6.acsta.net/c_310_420/pictures/17/05/09/17/15/350974.jpg,7 juin 2017,en salle,"Action,Aventure,Fantastique",Tout public,"C'était avant qu'elle ne devienne Wonder Woman, à l'époque où elle était encore Diana, princesse des Amazones et combattante invincible. Un jour, un pilote américain s'écrase sur l'île paradisiaque où elle vit, à l'abri des fracas du monde. Lorsqu'il lui raconte qu'une guerre terrible fait rage à l'autre bout de la planète, Diana quitte son havre de paix, convaincue qu'elle doit enrayer la menace. En s'alliant aux hommes dans un combat destiné à mettre fin à la guerre, Diana découvrira toute l'étendue de ses pouvoirs… et son véritable destin.",Patty Jenkins,Allan Heinberg,"Gal Gadot,Chris Pine,Connie Nielsen","3,1","3,7",U.S.A.,Warner Bros. France,1 nomination,2017,Long métrage,"
            Anglais",2 165 068 entrées
Burn Out,https://fr.web.img6.acsta.net/c_310_420/pictures/17/11/13/18/12/2122850.jpg,3 janvier 2018,en salle,Action,Tout public,"Tête brûlée, accro aux sensations fortes, Tony ne vit que pour une seule chose : devenir pilote professionnel de moto superbike. Jusqu'au jour où il découvre que la mère de son fils est liée à la pègre manouche. Seule issue pour la sortir de cet engrenage : mettre ses talents au service des truands. Pilote de circuit le jour, go-faster la nuit, Tony est plongé dans une spirale infernale qui le mène au bord de la rupture…",Yann Gozlan,"Yann Gozlan,Guillaume Lemans","François Civil,Olivier Rabourdin,Samuel Jouy","2,8","3,6","France,Belgique",Gaumont Distribution,Aucun,2017,Long métrage,"
            Français",146 240 entrées
Le Chant du Loup,https://fr.web.img3.acsta.net/c_310_420/pictures/18/12/10/09/46/3892829.jpg,20 février 2019,en salle,"Action,Thriller,Guerre",Tout public,"Un jeune homme a le don rare de reconnaître chaque son qu’il entend. A bord d’un sous-marin nucléaire français, tout repose sur lui, l’Oreille d’Or.,Réputé infaillible, il commet pourtant une erreur qui met l’équipage en danger de mort. Il veut retrouver la confiance de ses camarades mais sa quête les entraîne dans une situation encore plus dramatique.,Dans le monde de la dissuasion nucléaire et de la désinformation, ils se retrouvent tous pris au piège d’un engrenage incontrôlable.",Antonin Baudry,Antonin Baudry,"François Civil,Omar Sy,Mathieu Kassovitz","3,5","4,2",France,Pathé Films,1 prix et 2 nominations,2019,Long métrage,"
            Français",1 522 395 entrées
Tout nous sourit,https://fr.web.img6.acsta.net/c_310_420/pictures/21/05/26/15/28/1144494.jpg,20 octobre 2021,en salle,Comédie,Tout public,"Tout sourit à Audrey et Jérôme. Ils ont trois merveilleux enfants et leurs métiers les passionnent. Le temps d’un week-end, ils partent chacun de leur côté... Avec leurs amants respectifs. Sauf qu’ils ont la même idée : aller dans leur maison de campagne. Quand ils se retrouvent nez à nez, c'est l'explosion. Arrivent alors les parents d’Audrey, puis leurs enfants et enfin sa sœur. Le quatuor n’a pas d’autre choix que jouer la comédie pour sauver les apparences. Mais très vite le vernis et les nerfs craquent...",Melissa Drigeard,"Melissa Drigeard,Vincent Juillet","Elsa Zylberstein,Stéphane De Groodt,Guy Marchand","3,4","3,0",France,UGC Distribution,# prix,2019,Long métrage,"
            Français",149 141 entrées
Pas son genre,https://fr.web.img4.acsta.net/c_310_420/pictures/14/03/12/15/46/479126.jpg,30 avril 2014,en salle,"Comédie,Romance",Tout public,"Clément, jeune professeur de philosophie parisien est affecté à Arras pour un an. Loin de Paris et ses lumières, Clément ne sait pas à quoi occuper son temps libre. C'est alors qu'il rencontre Jennifer, jolie coiffeuse, qui devient sa maîtresse. Si la vie de Clément est régie par Kant ou Proust, celle de Jennifer est rythmée par la lecture de romans populaires, de magazines « people » et de soirées karaoké avec ses copines. Cœurs et corps sont libres pour vivre le plus beau des amours mais cela suffira-t-il à renverser les barrières culturelles et sociales ?",Lucas Belvaux,Lucas Belvaux,"Emilie Dequenne,Loïc Corbery,Sandra Nkaké","3,5","3,4",France,Diaphana Distribution,6 prix et 11 nominations,2013,Long métrage,"
            Français",345 107 entrées
Larguées,https://fr.web.img4.acsta.net/c_310_420/pictures/18/01/30/16/48/0392226.jpg,18 avril 2018,en salle,Comédie,Tout public,"Rose et Alice sont deux sœurs très différentes. Rose est libre et rock n’roll. Alice est rangée et responsable. Elles ne sont d’accord sur rien, à part sur l’urgence de remonter le moral de Françoise, leur mère, fraîchement larguée par leur père pour une femme beaucoup plus jeune. La mission qu’elles se sont donnée est simple « sauver maman » et le cadre des opérations bien défini : un club de vacances sur l’Ile de la Réunion…",Eloïse Lang,"Eloïse Lang,Philippe Lefebvre","Camille Cottin,Camille Chamoux, Miou-Miou","3,2","3,2",France,Pathé Films,# prix,2018,Long métrage,"
            Français",801 803 entrées
Parasite,https://fr.web.img5.acsta.net/c_310_420/pictures/20/02/12/13/58/3992754.jpg,5 juin 2019,en salle,"Drame,Thriller",Tout public,"Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne...",Bong Joon Ho,"Bong Joon Ho,Jin Won Han","Song Kang-Ho,Woo-sik Choi,Park So-Dam","4,8","4,5",Corée du Sud,The Jokers Films,9 prix et 9 nominations,2019,Long métrage,"
            Coréen",1 884 582 entrées
Les Beaux Jours,https://fr.web.img3.acsta.net/c_310_420/pictures/210/035/21003556_20130506125321643.jpg,19 juin 2013,en salle,Romance,Tout public,"A Dunkerque, Caroline est une belle sexagénaire qui a choisi de prendre sa retraite de dentiste. Coincée dans sa vie monotone entre Philippe, son mari bourru, ses deux filles et ses petits-enfants, elle accepte le cadeau de ses enfants : une inscription à un club d'activités pour seniors. D'abord dubitative, Caroline se plaît finalement à se rendre à cet atelier où elle fait la rencontre de Julien, la trentaine, qui devient bientôt son amant. Entre eux, naît une histoire passionnelle grâce à laquelle Caroline s'émancipe et retrouve une réelle joie de vivre. Mais Philippe ne tarde pas à comprendre que sa femme entretient une liaison. Une formidable romance, à la fois sensuelle, drôle, pudique et touchante, servie par des interprétations exceptionnelles.",Marion Vernoux,"Marion Vernoux,Fanny Chesnel","Fanny Ardant,Laurent Lafitte,Patrick Chesnais","3,9","3,3",France,Le Pacte,3 nominations,2013,Long métrage,"
            Anglais, Français",472 201 entrées
Alliés,https://fr.web.img5.acsta.net/c_310_420/pictures/16/11/03/14/27/203752.jpg,23 novembre 2016,en salle,"Historique,Romance,Thriller",Tout public,"Casablanca 1942.  Au service du contre-espionnage allié, l’agent Max Vatan rencontre la résistante française Marianne Beauséjour lors d’une mission à haut risque. C’est le début d’une relation passionnée. Ils se marient et entament une nouvelle vie à Londres. Quelques mois plus tard, Max est informé par les services secrets britanniques que Marianne pourrait être une espionne allemande. Il a 72 heures pour découvrir la vérité sur celle qu’il aime.",Robert Zemeckis,Steven Knight,"Brad Pitt,Marion Cotillard,Jared Harris","2,8","3,5",U.S.A.,Paramount Pictures France,2 nominations,2016,Long métrage,"
            Anglais",988 625 entrées
