"Titre","URL","Démarrage","Entrées totales","Réalisateur","Producteur","Pays","Genre","Date de sortie","Classification","Distributeur","Rang toutes exploitations","Rang général","Rang 2008","Nb 1ère places hebdo","Nb semaines Top20","Meilleure place hebdo","Acteurs","Acteur principal","Acteur secondaire"
"collision","https://www.jpbox-office.com/fichfilm.php?id=779&view=2","180 564","553 739","","","Etats-Unis","Drame","14/09/2005","Distribué par Metropolitan","Metropolitan","6 220","6 261","","0","4","3","[{""name"": ""Don Cheadle"", ""role_type"": ""Rôle principal"", ""character"": ""Det. Graham Waters""}, {""name"": ""Matt Dillon"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Sandra Bullock"", ""role_type"": ""Second rôle"", ""character"": ""Jean""}, {""name"": ""Brendan Fraser"", ""role_type"": ""Second rôle"", ""character"": """"}, {""name"": ""Ryan Phillippe"", ""role_type"": ""Second rôle"", ""character"": ""Officier Tom Hansen""}]","Don Cheadle, Matt Dillon","Sandra Bullock, Brendan Fraser, Ryan Phillippe"
"color of night","https://www.jpbox-office.com/fichfilm.php?id=4306&view=2","180 570","441 694","","","Etats-Unis","Thriller","28/09/1994","Moins de 12 ans","UGC Distribution","7 025","7 067","","0","4","4","[{""name"": ""Bruce Willis"", ""role_type"": ""Rôle principal"", ""character"": ""Bill Capa""}]","Bruce Willis",""
"steppin'","https://www.jpbox-office.com/fichfilm.php?id=61&view=2","182 247","372 894","","","Etats-Unis","Musical","16/05/2007","Tous publics","Gaumont Sony","7 550","7 592","","0","3","4","","",""
"666 la malédiction","https://www.jpbox-office.com/fichfilm.php?id=443&view=2","181 888","317 624","","","Etats-Unis","Horreur","07/06/2006","Moins de 12 ans","20th Century Fox","8 037","8 083","","0","3","5","[{""name"": ""Liev Schreiber"", ""role_type"": ""Rôle principal"", ""character"": ""Robert Thorn""}]","Liev Schreiber",""
"hors d'atteinte","https://www.jpbox-office.com/fichfilm.php?id=3098&view=2","181 957","548 495","Steven Soderbergh","","Etats-Unis","Thriller","02/12/1998","Tous publics","UIP","6 264","6 304","","0","3","4","[{""name"": ""George Clooney"", ""role_type"": ""Rôle principal"", ""character"": ""Michael Foley""}, {""name"": ""Jennifer Lopez"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Don Cheadle"", ""role_type"": ""Second rôle"", ""character"": ""Maurice Miller""}, {""name"": ""Viola Davis"", ""role_type"": """", ""character"": ""Moselle Miller""}, {""name"": ""Michael Keaton"", ""role_type"": """", ""character"": """"}]","George Clooney, Jennifer Lopez","Don Cheadle"
"assassin(s)","https://www.jpbox-office.com/fichfilm.php?id=3438&view=2","181 972","446 548","Mathieu Kassovitz","","France","Thriller","14/05/1997","Moins de 16 ans","MKL","6 987","7 029","","0","3","3","[{""name"": ""Mathieu Kassovitz"", ""role_type"": ""Rôle principal"", ""character"": ""Max""}, {""name"": ""Michel Serrault"", ""role_type"": ""Rôle principal"", ""character"": ""M. Wagner""}, {""name"": ""Léa Drucker"", ""role_type"": ""Apparition"", ""character"": ""Léa (sitcom)""}]","Mathieu Kassovitz, Michel Serrault",""
"traque sur internet","https://www.jpbox-office.com/fichfilm.php?id=4033&view=2","182 102","487 785","","","Etats-Unis","Thriller","18/10/1995","Tous publics","Columbia","6 721","6 761","","0","3","4","[{""name"": ""Sandra Bullock"", ""role_type"": ""Rôle principal"", ""character"": ""Angela Bennett""}]","Sandra Bullock",""
"juno","https://www.jpbox-office.com/fichfilm.php?id=9942&view=2","182 134","873 420","Jason Reitman","","Etats-Unis","Comédie","06/02/2008","Tous publics","20th Century Fox","4 457","4 494","55","0","4","6","[{""name"": ""Jason Bateman"", ""role_type"": ""Rôle principal"", ""character"": ""Mark Loring""}, {""name"": ""Jennifer Garner"", ""role_type"": ""Rôle principal"", ""character"": ""Vanessa Loring""}, {""name"": ""Ellen Page"", ""role_type"": ""Rôle principal"", ""character"": ""Juno MacGuff""}]","Jason Bateman, Jennifer Garner, Ellen Page",""
"l.a. confidential","https://www.jpbox-office.com/fichfilm.php?id=3424&view=2","182 141","589 608","Curtis Hanson","","Etats-Unis","Drame","08/10/1997","Tous publics","Warner Bros.","5 983","6 024","","0","3","3","[{""name"": ""Kim Basinger"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Russell Crowe"", ""role_type"": ""Rôle principal"", ""character"": ""Bud White""}, {""name"": ""Guy Pearce"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Kevin Spacey"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Danny DeVito"", ""role_type"": ""Second rôle"", ""character"": """"}]","Kim Basinger, Russell Crowe, Guy Pearce, Kevin Spacey","Danny DeVito"
"président","https://www.jpbox-office.com/fichfilm.php?id=448&view=2","182 173","312 824","","","France","Thriller","20/09/2006","Distribué par Wild Bunch","Wild Bunch","8 079","8 125","","0","3","4","[{""name"": ""Jérémy Renier"", ""role_type"": ""Rôle principal"", ""character"": ""Mathieu""}, {""name"": ""Albert Dupontel"", ""role_type"": ""Rôle principal"", ""character"": ""Le Président""}, {""name"": ""Laurent Lafitte"", ""role_type"": ""Apparition"", ""character"": ""Un député""}]","Jérémy Renier, Albert Dupontel",""
"les egarés","https://www.jpbox-office.com/fichfilm.php?id=1490&view=2","182 181","457 325","André Téchiné","","France","Comédie","20/08/2003","Tous publics","Mars Distribution","6 916","6 958","","0","4","5","[{""name"": ""Gaspard Ulliel"", ""role_type"": ""Rôle principal"", ""character"": ""Yvan""}, {""name"": ""Emmanuelle Béart"", ""role_type"": ""Rôle principal"", ""character"": ""Odile""}]","Gaspard Ulliel, Emmanuelle Béart",""
"winnie l'ourson et l'éfélant","https://www.jpbox-office.com/fichfilm.php?id=783&view=2","183 302","519 594","","","Etats-Unis","Animation","13/04/2005","Distribué par Walt Disney Pictures","Walt Disney Pictures","6 500","6 542","","0","3","7","","",""
"guet-apens (1994)","https://www.jpbox-office.com/fichfilm.php?id=4299&view=2","182 289","483 082","","","Etats-Unis","Thriller","06/04/1994","Tous publics","-","6 745","6 786","","0","3","5","[{""name"": ""Alec Baldwin"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Kim Basinger"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Philip Seymour Hoffman"", ""role_type"": ""Second rôle"", ""character"": ""Frank Hansen""}]","Alec Baldwin, Kim Basinger","Philip Seymour Hoffman"
"place publique","https://www.jpbox-office.com/fichfilm.php?id=17891&view=2","182 458","535 821","","","France","Comédie","18/04/2018","Tous publics","Le Pacte","6 373","6 414","","0","5","6","[{""name"": ""Jean-Pierre Bacri"", ""role_type"": ""Rôle principal"", ""character"": ""Castro""}, {""name"": ""Léa Drucker"", ""role_type"": ""Rôle principal"", ""character"": ""Nathalie""}, {""name"": ""Agnès Jaoui"", ""role_type"": ""Rôle principal"", ""character"": ""Hélène""}]","Jean-Pierre Bacri, Léa Drucker, Agnès Jaoui",""
"cellular","https://www.jpbox-office.com/fichfilm.php?id=1156&view=2","182 469","353 999","","","Etats-Unis","Thriller","17/11/2004","Distribué par Metropolitan","Metropolitan","7 706","7 750","","0","3","5","[{""name"": ""Kim Basinger"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Chris Evans"", ""role_type"": ""Rôle principal"", ""character"": ""Ryan""}, {""name"": ""William H. Macy"", ""role_type"": ""Rôle principal"", ""character"": ""Mooney""}, {""name"": ""Jessica Biel"", ""role_type"": ""Second rôle"", ""character"": ""Chloe""}, {""name"": ""Jason Statham"", ""role_type"": ""Second rôle"", ""character"": ""Greer""}]","Kim Basinger, Chris Evans, William H. Macy","Jessica Biel, Jason Statham"
"good morning england","https://www.jpbox-office.com/fichfilm.php?id=10535&view=2","182 517","868 531","Richard Curtis","","Grande-Bretagne","Comédie","06/05/2009","Tous publics","Studiocanal","4 480","4 517","","0","10","6","[{""name"": ""Philip Seymour Hoffman"", ""role_type"": ""Rôle principal"", ""character"": ""Le Comte""}, {""name"": ""Kenneth Branagh"", ""role_type"": ""Second rôle"", ""character"": ""Dormandy""}, {""name"": ""Emma Thompson"", ""role_type"": ""Second rôle"", ""character"": ""Charlotte""}]","Philip Seymour Hoffman","Kenneth Branagh, Emma Thompson"
"les neiges du kilimandjaro","https://www.jpbox-office.com/fichfilm.php?id=12429&view=2","182 538","694 158","Robert Guédiguian","","France","Drame","16/11/2011","Tous publics","Diaphana","5 326","5 367","","0","6","5","[{""name"": ""Jean-Pierre Darroussin"", ""role_type"": ""Rôle principal"", ""character"": ""Michel""}, {""name"": ""Pierre Niney"", ""role_type"": ""Second rôle"", ""character"": ""Le serveur""}]","Jean-Pierre Darroussin","Pierre Niney"
"arrietty, le petit monde des chapardeurs","https://www.jpbox-office.com/fichfilm.php?id=11791&view=2","183 156","934 073","","","Japon","Animation","12/01/2011","Tous publics","Walt Disney Pictures","4 240","4 277","","0","7","5","[{""name"": ""Tom Holland"", ""role_type"": ""Voix"", ""character"": ""off -""}]","",""
"on ira","https://www.jpbox-office.com/fichfilm.php?id=24504&view=2","183 550","426 853","","","France","Comédie dramatique","12/03/2025","Le film est toujours présent dans le TOP20 Hebdomadaire","Zinc","7 124","7 165","","0","3","2","","",""
"braquage à l'anglaise","https://www.jpbox-office.com/fichfilm.php?id=10116&view=2","183 237","559 976","","","Etats-Unis","Thriller","06/08/2008","Tous publics","Metropolitan","6 174","6 216","85","0","5","5","[{""name"": ""Jason Statham"", ""role_type"": ""Rôle principal"", ""character"": ""Terry Leather""}]","Jason Statham",""
"neuf mois aussi","https://www.jpbox-office.com/fichfilm.php?id=4046&view=2","183 330","409 490","Chris Columbus","","Etats-Unis","Comédie","22/11/1995","Tous publics","UFD","7 243","7 284","","0","2","3","[{""name"": ""Hugh Grant"", ""role_type"": ""Rôle principal"", ""character"": ""Samuel Faulkner""}, {""name"": ""Julianne Moore"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Robin Williams"", ""role_type"": ""Second rôle"", ""character"": """"}, {""name"": ""Jeff Goldblum"", ""role_type"": """", ""character"": """"}]","Hugh Grant, Julianne Moore","Robin Williams"
"vénus beauté (institut)","https://www.jpbox-office.com/fichfilm.php?id=2731&view=2","183 359","1 327 798","Tonie Marshall","","France","Comédie","03/02/1999","Tous publics","Pyramide","2 955","2 979","","0","9","4","[{""name"": ""Nathalie Baye"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Samuel Le Bihan"", ""role_type"": ""Rôle principal"", ""character"": ""Antoine""}, {""name"": ""Mathilde Seigner"", ""role_type"": ""Rôle principal"", ""character"": ""Samantha""}, {""name"": ""Audrey Tautou"", ""role_type"": ""Second rôle"", ""character"": ""Marie""}]","Nathalie Baye, Samuel Le Bihan, Mathilde Seigner","Audrey Tautou"
"#astérix et obélix: mission cléopatre (rep. 2023)","https://www.jpbox-office.com/fichfilm.php?id=23028&view=2","","407 898","Alain Chabat","","France","Comédie","05/07/2023","Tous publics","Pathé","7 453","7 303","","0","4","5","[{""name"": ""Christian Clavier"", ""role_type"": ""Rôle principal"", ""character"": ""Astérix""}, {""name"": ""Jamel Debbouze"", ""role_type"": ""Rôle principal"", ""character"": ""Numérobis""}, {""name"": ""Gérard Depardieu"", ""role_type"": ""Rôle principal"", ""character"": ""Obélix""}, {""name"": ""Edouard Baer"", ""role_type"": ""Second rôle"", ""character"": ""Otis""}, {""name"": ""Monica Bellucci"", ""role_type"": ""Second rôle"", ""character"": ""Cléopâtre""}, {""name"": ""Alain Chabat"", ""role_type"": ""Second rôle"", ""character"": ""César""}, {""name"": ""Marina Foïs"", ""role_type"": ""Apparition"", ""character"": ""Sucettalanis""}, {""name"": ""Mathieu Kassovitz"", ""role_type"": ""Apparition"", ""character"": ""physionomiste du banquet""}, {""name"": ""Jean-Paul Rouve"", ""role_type"": ""Apparition"", ""character"": """"}]","Christian Clavier, Jamel Debbouze, Gérard Depardieu","Edouard Baer, Monica Bellucci, Alain Chabat"
"la fiancée de chucky","https://www.jpbox-office.com/fichfilm.php?id=3103&view=2","183 410","497 340","","","Etats-Unis","Horreur","10/03/1999","Moins de 12 ans","Opening Dist.","6 661","6 701","","0","3","6","[{""name"": ""Katherine Heigl"", ""role_type"": ""Rôle principal"", ""character"": ""Jade""}]","Katherine Heigl",""
"la prophécie des ombres","https://www.jpbox-office.com/fichfilm.php?id=1842&view=2","183 459","348 363","","","Etats-Unis","Drame","17/04/2002","Distribué par SND","SND","7 751","7 796","","0","4","5","[{""name"": ""Richard Gere"", ""role_type"": ""Rôle principal"", ""character"": ""John Klein""}]","Richard Gere",""
"le dernier gang","https://www.jpbox-office.com/fichfilm.php?id=9744&view=2","183 532","288 132","","","France","Thriller","31/10/2007","Tous publics","EuropaCorp","8 358","8 404","","0","1","8","[{""name"": ""Vincent Elbaz"", ""role_type"": ""Rôle principal"", ""character"": ""Simon""}, {""name"": ""Clémence Poésy"", ""role_type"": ""Rôle principal"", ""character"": ""Julie""}, {""name"": ""Pascal Elbé"", ""role_type"": ""Second rôle"", ""character"": ""Giraud""}, {""name"": ""Gilles Lellouche"", ""role_type"": ""Second rôle"", ""character"": ""Milan""}]","Vincent Elbaz, Clémence Poésy","Pascal Elbé, Gilles Lellouche"
"l'oncle charles","https://www.jpbox-office.com/fichfilm.php?id=12689&view=2","183 648","295 669","Etienne Chatiliez","","France","Comédie","21/03/2012","Tous publics","Pathé","8 279","8 325","","0","3","5","[{""name"": ""Valérie Bonneton"", ""role_type"": ""Rôle principal"", ""character"": ""Corinne""}, {""name"": ""Alexandra Lamy"", ""role_type"": ""Rôle principal"", ""character"": ""Louise""}]","Valérie Bonneton, Alexandra Lamy",""
"la vraie vie des profs","https://www.jpbox-office.com/fichfilm.php?id=13419&view=2","183 664","412 420","","","France","Comédie","20/02/2013","Tous publics","Universal","7 220","7 261","","0","3","6","[{""name"": ""Jean-Baptiste Lucien"", ""role_type"": ""Rôle principal"", ""character"": ""M. le directeur""}]","Jean-Baptiste Lucien",""
"lautrec","https://www.jpbox-office.com/fichfilm.php?id=3100&view=2","183 730","528 994","","","France","Drame","09/09/1998","Distribué par Films du Losange","Films du Losange","6 432","6 473","","0","5","5","[{""name"": ""Elsa Zylberstein"", ""role_type"": ""Rôle principal"", ""character"": ""Suzanne Valadon""}]","Elsa Zylberstein",""
"khumba","https://www.jpbox-office.com/fichfilm.php?id=13881&view=2","183 762","479 184","","","Afrique du Sud","Animation","23/04/2014","Tous publics","Metropolitan","6 772","6 814","","0","6","8","[{""name"": ""Steve Buscemi"", ""role_type"": ""Voix"", ""character"": ""off - Skalk""}, {""name"": ""Laurence Fishburne"", ""role_type"": ""Voix"", ""character"": ""off - Seko""}, {""name"": ""Liam Neeson"", ""role_type"": ""Voix"", ""character"": ""off - Phango""}, {""name"": ""Elie Semoun"", ""role_type"": ""Voix"", ""character"": ""off - Papa suricate (VF)""}]","",""
"dépression et des potes","https://www.jpbox-office.com/fichfilm.php?id=12802&view=2","183 898","296 538","","","France","Comédie","02/05/2012","Tous publics","Studiocanal","8 270","8 316","","0","3","6","[{""name"": ""Jonathan Cohen"", ""role_type"": ""Apparition"", ""character"": ""Le professeur de yoga""}]","",""
"shooter - tireur d'élite","https://www.jpbox-office.com/fichfilm.php?id=54&view=2","183 930","466 521","Antoine Fuqua","","Etats-Unis","Aventure - Action","18/04/2007","Tous publics","Paramount","6 855","6 897","","0","3","2","[{""name"": ""Mark Wahlberg"", ""role_type"": ""Rôle principal"", ""character"": ""Bob Lee Swagger""}, {""name"": ""Danny Glover"", ""role_type"": ""Second rôle"", ""character"": ""Colonel Isaac Fitzsimmons Johnson""}]","Mark Wahlberg","Danny Glover"
"le secret de khéops","https://www.jpbox-office.com/fichfilm.php?id=24452&view=2","184 052","434 326","","","France","Aventure - Action","05/03/2025","Le film est toujours présent dans le TOP20 Hebdomadaire","SND","7 073","7 115","","0","4","2","[{""name"": ""Fabrice Luchini"", ""role_type"": ""Rôle principal"", ""character"": ""Christian""}]","Fabrice Luchini",""
"travaux on sait quand ça commence","https://www.jpbox-office.com/fichfilm.php?id=787&view=2","184 154","508 408","","","France","Comédie","01/06/2005","Distribué par Pyramide","Pyramide","6 591","6 631","","0","5","3","[{""name"": ""Carole Bouquet"", ""role_type"": ""Rôle principal"", ""character"": ""Chantal Letellier""}, {""name"": ""Hugh Grant"", ""role_type"": ""Apparition"", ""character"": ""Le voisin de Chantal Letellier""}]","Carole Bouquet",""
"johnny english, le retour","https://www.jpbox-office.com/fichfilm.php?id=12234&view=2","184 368","328 976","","","Grande-Bretagne","Comédie","19/10/2011","Tous publics","Studiocanal","7 934","7 980","","0","2","8","[{""name"": ""Rowan Atkinson"", ""role_type"": ""Rôle principal"", ""character"": ""Johnny English""}, {""name"": ""Rosamund Pike"", ""role_type"": ""Second rôle"", ""character"": ""Kate Sumner""}]","Rowan Atkinson","Rosamund Pike"
"ensemble c'est trop","https://www.jpbox-office.com/fichfilm.php?id=11120&view=2","184 397","316 840","","","France","Comédie","17/02/2010","Tous publics","Studiocanal","8 043","8 089","","0","2","12","[{""name"": ""Pierre Arditi"", ""role_type"": ""Rôle principal"", ""character"": ""Henri""}, {""name"": ""Nathalie Baye"", ""role_type"": ""Rôle principal"", ""character"": ""Marie-France""}, {""name"": ""Laurent Lafitte"", ""role_type"": ""Apparition"", ""character"": ""Hervé""}]","Pierre Arditi, Nathalie Baye",""
"chair de poule (2016)","https://www.jpbox-office.com/fichfilm.php?id=15396&view=2","184 400","325 210","","","Etats-Unis","Fantasy","10/02/2016","Tous publics","Sony Pictures","7 965","8 011","","0","3","8","[{""name"": ""Jack Black"", ""role_type"": ""Rôle principal"", ""character"": ""R.L. Stine""}]","Jack Black",""
"star wars : la guerre des clones","https://www.jpbox-office.com/fichfilm.php?id=10226&view=2","184 563","312 809","","","Etats-Unis","Animation","27/08/2008","Tous publics","Warner Bros.","8 080","8 126","127","0","2","4","[{""name"": ""Samuel L. Jackson"", ""role_type"": ""Voix"", ""character"": ""off - Mace Windu""}]","",""
"mains armées","https://www.jpbox-office.com/fichfilm.php?id=12746&view=2","184 765","322 852","Pierre Jolivet","","France","Thriller","11/07/2012","Tous publics","Mars Distribution","7 988","8 034","","0","3","6","[{""name"": ""Leïla Bekhti"", ""role_type"": ""Rôle principal"", ""character"": ""Maya Dervin""}, {""name"": ""Roschdy Zem"", ""role_type"": ""Rôle principal"", ""character"": ""Lucas Skali""}, {""name"": ""Jonathan Cohen"", ""role_type"": ""Apparition"", ""character"": ""Philippe""}]","Leïla Bekhti, Roschdy Zem",""
"super mario bros.","https://www.jpbox-office.com/fichfilm.php?id=4594&view=2","184 793","391 800","","","Etats-Unis","Film familial","23/06/1993","Distribué par AMLF","AMLF","7 392","7 434","","0","1","7","[]","",""
"john wick","https://www.jpbox-office.com/fichfilm.php?id=14556&view=2","184 851","401 448","","","Etats-Unis","Aventure - Action","29/10/2014","Moins de 12 ans","Metropolitan","7 311","7 353","","0","3","7","[{""name"": ""Keanu Reeves"", ""role_type"": ""Rôle principal"", ""character"": ""John Wick""}, {""name"": ""Willem Dafoe"", ""role_type"": ""Second rôle"", ""character"": ""Marcus""}]","Keanu Reeves","Willem Dafoe"
"challengers","https://www.jpbox-office.com/fichfilm.php?id=23730&view=2","185 933","483 431","","","Etats-Unis","Drame","24/04/2024","Tous publics","Warner Bros.","6 744","6 785","","0","6","7","","",""
"mohamed dubois","https://www.jpbox-office.com/fichfilm.php?id=13524&view=2","185 004","367 125","","","France","Comédie","01/05/2013","Tous publics","Wild Bunch","7 603","7 646","","0","3","8","[{""name"": ""Eric Judor"", ""role_type"": ""Rôle principal"", ""character"": ""Arnaud""}]","Eric Judor",""
"célibataire, mode d'emploi","https://www.jpbox-office.com/fichfilm.php?id=15698&view=2","185 011","440 652","","","Etats-Unis","Romance","02/03/2016","Tous publics","Warner Bros.","7 030","7 072","","0","4","8","[{""name"": ""Rebel Wilson"", ""role_type"": ""Rôle principal"", ""character"": ""Robin""}]","Rebel Wilson",""
"sang froid","https://www.jpbox-office.com/fichfilm.php?id=18699&view=2","185 673","329 378","","","Grande-Bretagne","Thriller","27/02/2019","Tous publics","Studiocanal","7 931","7 977","","0","3","10","[{""name"": ""Liam Neeson"", ""role_type"": ""Rôle principal"", ""character"": ""Nels Coxman""}]","Liam Neeson",""
"django","https://www.jpbox-office.com/fichfilm.php?id=16995&view=2","185 696","498 230","","","France","Drame","26/04/2017","Tous publics","Pathé","6 656","6 696","","0","6","7","[{""name"": ""Cécile De France"", ""role_type"": ""Rôle principal"", ""character"": ""Louise de Clerk""}, {""name"": ""Reda Kateb"", ""role_type"": ""Rôle principal"", ""character"": ""Django Reinhardt""}]","Cécile De France, Reda Kateb",""
"sin city : j'ai tué pour elle","https://www.jpbox-office.com/fichfilm.php?id=299&view=2","185 758","376 128","Robert Rodriguez","","Etats-Unis","Comicbook","17/09/2014","Moins de 12 ans","Metropolitan","7 525","7 567","","0","3","2","[{""name"": ""Jessica Alba"", ""role_type"": ""Rôle principal"", ""character"": ""Nancy Callahan""}, {""name"": ""Josh Brolin"", ""role_type"": ""Rôle principal"", ""character"": ""Dwight McCarthy""}, {""name"": ""Joseph Gordon-Levitt"", ""role_type"": ""Second rôle"", ""character"": ""Johnny""}, {""name"": ""Eva Green"", ""role_type"": ""Second rôle"", ""character"": ""Ava Lord""}, {""name"": ""Ray Liotta"", ""role_type"": ""Second rôle"", ""character"": ""Joey""}, {""name"": ""Mickey Rourke"", ""role_type"": ""Second rôle"", ""character"": ""Marv""}, {""name"": ""Bruce Willis"", ""role_type"": ""Second rôle"", ""character"": ""John Hartigan""}]","Jessica Alba, Josh Brolin","Joseph Gordon-Levitt, Eva Green, Ray Liotta, Mickey Rourke, Bruce Willis"
"les ex","https://www.jpbox-office.com/fichfilm.php?id=17168&view=2","185 922","331 180","","","France","Comédie","21/06/2017","Tous publics","SND","7 907","7 953","","0","3","6","[{""name"": ""Jean-Paul Rouve"", ""role_type"": ""Rôle principal"", ""character"": ""Antoine""}]","Jean-Paul Rouve",""
"dans la vallée d'elah","https://www.jpbox-office.com/fichfilm.php?id=282&view=2","185 958","358 438","","","Etats-Unis","Thriller","07/11/2007","Tous publics","Warner Bros.","7 669","7 713","","0","2","3","[{""name"": ""Tommy Lee Jones"", ""role_type"": ""Rôle principal"", ""character"": ""Hank Deerfield""}, {""name"": ""Charlize Theron"", ""role_type"": ""Rôle principal"", ""character"": ""Det. Emily Sanders""}, {""name"": ""Josh Brolin"", ""role_type"": ""Second rôle"", ""character"": ""Chef Buchwald""}, {""name"": ""James Franco"", ""role_type"": ""Second rôle"", ""character"": ""Sergent Dan Carnelli""}, {""name"": ""Susan Sarandon"", ""role_type"": ""Second rôle"", ""character"": ""Joan Deerfield""}]","Tommy Lee Jones, Charlize Theron","Josh Brolin, James Franco, Susan Sarandon"
"target (2012)","https://www.jpbox-office.com/fichfilm.php?id=12503&view=2","186 074","350 817","McG","","Etats-Unis","Aventure - Action","21/03/2012","Tous publics","20th Century Fox","7 731","7 776","","0","3","4","[{""name"": ""Chris Pine"", ""role_type"": ""Rôle principal"", ""character"": ""FDR Foster""}, {""name"": ""Tom Hardy"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Reese Witherspoon"", ""role_type"": ""Rôle principal"", ""character"": ""Lauren""}, {""name"": ""Angela Basset"", ""role_type"": ""Second rôle"", ""character"": ""Collins""}]","Chris Pine, Tom Hardy, Reese Witherspoon","Angela Basset"
"l'américain","https://www.jpbox-office.com/fichfilm.php?id=1175&view=2","186 079","269 904","","","France","Comédie","07/07/2004","Distribué par SND","SND","8 560","8 606","","0","2","4","[{""name"": ""Emilie Dequenne"", ""role_type"": ""Rôle principal"", ""character"": ""Nelly""}, {""name"": ""Thierry Lhermitte"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Lorant Deutsch"", ""role_type"": ""Rôle principal"", ""character"": ""Francis Farge dit L'Américain""}, {""name"": ""Patrick Timsit"", ""role_type"": ""Second rôle"", ""character"": ""Monsieur Samarone""}, {""name"": ""Richard Berry"", ""role_type"": ""Apparition"", ""character"": """"}]","Emilie Dequenne, Thierry Lhermitte, Lorant Deutsch","Patrick Timsit"
"ma vie avec john f. donovan","https://www.jpbox-office.com/fichfilm.php?id=18863&view=2","186 109","338 904","Xavier Dolan","","Canada","Drame","13/03/2019","Distribué par Mars Distribution","Mars Distribution","7 825","7 871","","0","3","9","[{""name"": ""Natalie Portman"", ""role_type"": ""Second rôle"", ""character"": ""Sam Turner""}, {""name"": ""Susan Sarandon"", ""role_type"": ""Second rôle"", ""character"": ""Grace Donovan""}]","","Natalie Portman, Susan Sarandon"
"roméo et juliette","https://www.jpbox-office.com/fichfilm.php?id=3687&view=2","186 223","1 260 188","Baz Luhrmann","","Etats-Unis","Romance","16/04/1997","Tous publics","UFD","3 139","3 164","","0","6","4","[{""name"": ""Leonardo DiCaprio"", ""role_type"": ""Rôle principal"", ""character"": ""Romeo""}, {""name"": ""Paul Rudd"", ""role_type"": ""Apparition"", ""character"": ""Dave Paris""}]","Leonardo DiCaprio",""
"antilles-sur-seine","https://www.jpbox-office.com/fichfilm.php?id=2470&view=2","186 289","454 614","","","France","Comédie","13/12/2000","Distribué par Océan Films","Océan Films","6 931","6 973","","0","4","5","[{""name"": ""Pascal Legitimus"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Pascal Legitimus",""
"b.a.t. (bon à tirer)","https://www.jpbox-office.com/fichfilm.php?id=11726&view=2","186 354","381 459","Peter Farrelly","","Etats-Unis","Comédie","27/04/2011","Tous publics","Warner Bros.","7 479","7 521","","0","4","6","[{""name"": ""Owen Wilson"", ""role_type"": ""Rôle principal"", ""character"": ""Rick""}]","Owen Wilson",""
"et si on vivait tous ensemble ?","https://www.jpbox-office.com/fichfilm.php?id=12580&view=2","186 533","519 504","","","France","Comédie","18/01/2012","Tous publics","Bac Films","6 502","6 544","","0","4","5","[{""name"": ""Jane Fonda"", ""role_type"": ""Second rôle"", ""character"": ""Jeanne""}, {""name"": ""Pierre Richard"", ""role_type"": ""Second rôle"", ""character"": ""Albert""}]","","Jane Fonda, Pierre Richard"
"pauvres créatures","https://www.jpbox-office.com/fichfilm.php?id=23154&view=2","186 568","594 434","","","Irlande","Drame","17/01/2024","Tous publics","Walt Disney Pictures","5 956","5 997","","1","5","1","[{""name"": ""Willem Dafoe"", ""role_type"": ""Rôle principal"", ""character"": ""Dr. Godwin Baxter""}, {""name"": ""Mark Ruffalo"", ""role_type"": ""Rôle principal"", ""character"": ""Duncan Wedderburn""}, {""name"": ""Emma Stone"", ""role_type"": ""Rôle principal"", ""character"": ""Bella Baxter""}]","Willem Dafoe, Mark Ruffalo, Emma Stone",""
"le parfum de la dame en noir","https://www.jpbox-office.com/fichfilm.php?id=800&view=2","186 568","425 776","","","France","Thriller","14/09/2005","Distribué par UGC Distribution","UGC Distribution","7 131","7 172","","0","2","2","[{""name"": ""Sabine Azéma"", ""role_type"": ""Rôle principal"", ""character"": """"}, {""name"": ""Zabou Breitman"", ""role_type"": ""Rôle principal"", ""character"": ""Edith Rance""}, {""name"": ""Denis Podalydès"", ""role_type"": ""Rôle principal"", ""character"": ""Joseph Rouletabille""}, {""name"": ""Pierre Arditi"", ""role_type"": ""Second rôle"", ""character"": ""Frédéric Larsan""}, {""name"": ""Oliver Gourmet"", ""role_type"": ""Second rôle"", ""character"": ""Robert Darzac""}, {""name"": ""Vincent Elbaz"", ""role_type"": ""Second rôle"", ""character"": ""le prince Galitch""}]","Sabine Azéma, Zabou Breitman, Denis Podalydès","Pierre Arditi, Oliver Gourmet, Vincent Elbaz"
