Rio,https://www.jpbox-office.com/fichfilm.php?id=11446&view=2,-,2 376 481,,,Etats-Unis,Animation,13/04/2011,Tous publics,20th Century Fox,1 341,1 348,,2,9,1,
Gazon maudit,https://www.jpbox-office.com/fichfilm.php?id=3974&view=2,-,3 990 094,Josiane Balasko,,France,Comédie,08/02/1995,Tous publics,AMLF,465,459,,5,9,1,"[{""name"": ""Victoria Abril"", ""role_type"": ""Rôle principal"", ""character"": ""Loli""}, {""name"": ""Alain Chabat"", ""role_type"": ""Rôle principal"", ""character"": ""Laurent""}, {""name"": ""Josiane Balasko"", ""role_type"": ""Rôle principal"", ""character"": """"}]"
Intolérable cruauté,https://www.jpbox-office.com/fichfilm.php?id=1430&view=2,-,1 264 872,Joel Coen,Etats-Unis,Comédie,19/11/2003,Tous publics,UIP,3 130,3 155,,1,5,1,
