Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
douleur et gloire,237771.0,846952,Pedro Almodovar,Espagne,Drame,2019-05-17,Tous publics,Pathé,,,0,6,3.0,"Antonio Banderas, Penelope Cruz",
hitman & bodyguard,237815.0,527831,,Etats-Unis,Comédie,2017-08-23,Moins de 12 ans,Metropolitan,,,0,4,4.0,"Samuel L. Jackson, Ryan Reynolds","Salma Hayek, Gary Oldman"
midway (2019),238069.0,421055,Roland Emmerich,Etats-Unis,Guerre,2019-11-06,Tous publics,Metropolitan,,,0,3,6.0,,"Aaron Eckhart, Luke Evans, Woody Harrelson, Dennis Quaid"
deux moi,238161.0,646443,Cédric Klapisch,France,Comédie dramatique,2019-09-11,Tous publics,Studiocanal,,,0,5,2.0,François Civil,"François Berléand, Camille Cottin, Pierre Niney"
la dame de fer,238257.0,609116,,Grande-Bretagne,Drame,2012-02-15,Tous publics,Pathé,,,0,4,6.0,Meryl Streep,
le cercle - the ring,238526.0,960575,Gore Verbinski,Etats-Unis,Horreur,2003-02-05,Moins de 12 ans,UIP,,,0,7,5.0,Naomi Watts,
de toutes nos forces,238763.0,653364,,France,Comédie dramatique,2014-03-26,Tous publics,Pathé,,,0,5,2.0,"Jacques Gamblin, Alexandra Lamy",
l'effet papillon,238772.0,642655,,Etats-Unis,Thriller,2004-03-10,Moins de 12 ans,Metropolitan,,,0,5,7.0,Ashton Kutcher,
les têtes de l'emploi,238777.0,492233,,France,Comédie,2016-11-16,Tous publics,EuropaCorp,,,0,4,2.0,"François-Xavier Demaison, Franck Dubosc, Elsa Zylberstein",
rémi sans famille,239526.0,857515,,France,Film familial,2018-12-12,Tous publics,Mars Distribution,,,0,5,4.0,Daniel Auteuil,"Virginie Ledoyen, Ludivine Sagnier"
blue beetle,239733.0,528993,,Etats-Unis,Comicbook,2023-08-16,Tous publics,Warner Bros.,,,0,5,4.0,,Susan Sarandon
a la rencontre de forrester,239902.0,605827,Gus Van Sant,Etats-Unis,Drame,2001-04-18,Tous publics,Columbia,,,0,7,6.0,Sean Connery,
"3 billboards, les panneaux de la vengeance",239977.0,894653,,Etats-Unis,Drame,2018-01-17,Tous publics,20th Century Fox,,,0,9,3.0,"Woody Harrelson, Frances McDormand, Sam Rockwell",
la véritable histoire du petit chaperon rouge,240021.0,980015,,Etats-Unis,Animation,2006-01-25,Tous publics,Bac Films,,,0,4,3.0,,
de vrais mensonges,240103.0,545662,Pierre Salvadori,France,Comédie,2010-12-08,Tous publics,Pathé,,,0,5,4.0,"Nathalie Baye, Audrey Tautou",
l'heure zéro,240164.0,510865,Pascal Thomas,France,Thriller,2007-10-31,Tous publics,Studiocanal,,,0,3,4.0,,Melvil Poupaud
"robin des bois, la véritable histoire",240213.0,525046,,France,Comédie,2015-04-15,Tous publics,Mars Distribution,,,0,4,4.0,Géraldine Nakache,Patrick Timsit
l'imaginarium du docteur parnassus,240437.0,535596,Terry Gilliam,Etats-Unis,Fantasy,2009-11-11,Tous publics,Metropolitan,,,0,5,5.0,Heath Ledger,"Colin Farrell, Johnny Depp, Andrew Garfield, Jude Law"
la légende de beowulf,240786.0,433146,Robert Zemeckis,Etats-Unis,Animation,2007-11-21,Tous publics,Warner Bros.,,,0,2,4.0,,
dangereuse séduction (2007),240851.0,532846,,Etats-Unis,Thriller,2007-04-11,Tous publics,Gaumont Sony,,,0,3,2.0,"Halle Berry, Bruce Willis",
elektra,241007.0,429223,,Etats-Unis,Comicbook,2005-03-09,Tous publics,20th Century Fox,,,0,3,3.0,Jennifer Garner,
le petit lieutenant,241732.0,640959,Xavier Beauvois,France,Thriller,2005-11-16,Tous publics,Mars Distribution,,,0,3,3.0,"Roschdy Zem, Nathalie Baye",
amityville,242068.0,435949,,Etats-Unis,Horreur,2005-06-22,Moins de 12 ans,20th Century Fox,,,0,3,7.0,Ryan Reynolds,Chloë Grace Moretz
menteur (2022),242165.0,934163,Olivier Baroux,France,Comédie,2022-07-13,Tous publics,Gaumont,,,0,6,4.0,- Artus,
radiostars,242243.0,560731,,France,Comédie,2012-04-11,Tous publics,Mars Distribution,,,0,4,6.0,"Clovis Cornillac, Manu Payet",
les larmes du soleil,241051.0,558572,Antoine Fuqua,Etats-Unis,Guerre,2003-07-23,Moins de 12 ans,Columbia,,,0,5,3.0,"Bruce Willis, Monica Bellucci",
a tombeau ouvert,242364.0,638483,Martin Scorsese,Etats-Unis,Drame,2000-04-12,Moins de 12 ans,GBVI,,,0,5,4.0,Nicolas Cage,
la prophétie de l'horloge,243245.0,625231,Eli Roth,Etats-Unis,Fantasy,2018-09-26,Tous publics,Universal,,,0,5,2.0,"Jack Black, Cate Blanchett",
coexister,243818.0,649548,,France,Comédie,2017-10-11,Tous publics,EuropaCorp,,,0,4,5.0,"Ramzy Bedia, Jonathan Cohen, Fabrice Eboue",Mathilde Seigner
où sont passés les morgan ?,244156.0,432657,,Etats-Unis,Romance,2010-01-20,Tous publics,Sony Pictures,,,0,3,5.0,"Hugh Grant, Sarah Jessica Parker",
inside llewyn davis,244108.0,541937,Joel Coen,Etats-Unis,Comédie dramatique,2013-11-06,Tous publics,Studiocanal,,,0,4,6.0,,"John Goodman, Justin Timberlake"
camille redouble,244443.0,871645,,France,Comédie dramatique,2012-09-12,Tous publics,Gaumont,,,1,7,1.0,,"Mathieu Amalric, Vincent Lacoste, Yolande Moreau, Denis Podalydès"
la finale,244610.0,596671,,France,Comédie,2018-03-21,Tous publics,UGC Distribution,,,0,5,5.0,Thierry Lhermitte,
l'ile de nim,,546734,,Etats-Unis,Film familial,2008-04-09,Tous publics,SND,,,0,3,4.0,"Gerard Butler, Jodie Foster",
abraham lincoln : chasseur de vampires,246009.0,473975,,Etats-Unis,Fantasy,2012-08-08,Moins de 12 ans,20th Century Fox,,,0,4,4.0,,
dora et la cité perdue,245156.0,551963,,Etats-Unis,Film familial,2019-08-14,Tous publics,Paramount,,,0,5,6.0,,
comment tuer son boss ?,245150.0,814141,,Etats-Unis,Comédie,2011-08-17,Tous publics,Warner Bros.,,,0,5,4.0,"Colin Farrell, Jennifer Aniston, Jason Bateman, Kevin Spacey",Jamie Foxx
ma reum,247679.0,795307,,France,Comédie,2018-07-18,Tous publics,UGC Distribution,,,0,6,3.0,,
training day,245701.0,552277,Antoine Fuqua,Etats-Unis,Aventure - Action,2001-11-07,Moins de 12 ans,Warner Bros.,,,0,3,4.0,"Denzel Washington, Ethan Hawke",Eva Mendes
les trois royaumes,246290.0,503457,John Woo,Chine,Aventure - Action,2009-03-25,Tous publics,Metropolitan,,,0,4,5.0,,
only god forgives,247780.0,450725,,France,Thriller,2013-05-22,Moins de 12 ans,Wild Side,,,0,4,4.0,Ryan Gosling,Kristin Scott Thomas
lee miller,247796.0,749546,,Grande-Bretagne,Drame,2024-10-09,Tous publics,SND,,,0,5,3.0,Kate Winslet,Marion Cotillard
