Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
le premier jour du reste de ta vie,190149,1211010,,France,Comédie dramatique,2008-07-23,Tous publics,Studiocanal,,,0,9,6,"Zabou Breitman, Jacques Gamblin","François-Xavier Demaison, Pio Marmaï"
la prochaine fois je viserai le coeur,190185,490537,,France,Thriller,2014-11-12,Tous publics,Mars Distribution,,,0,5,3,Guillaume Canet,
au nom de ma fille,190205,352245,,France,Drame,2016-03-16,Tous publics,Studiocanal,,,0,3,6,Daniel Auteuil,
les herbes folles,190223,462731,Alain Resnais,France,Comédie dramatique,2009-11-04,Tous publics,Studiocanal,,,0,4,8,"Sabine Azéma, André Dussollier","Mathieu Amalric, Emmanuelle Devos"
the hours,190274,995863,Stephen Daldry,Etats-Unis,Drame,2003-03-19,Tous publics,TFM Distribution,,,0,11,3,"Nicole Kidman, Meryl Streep, Julianne Moore",
mon idole,190404,565151,Guillaume Canet,France,Comédie,2002-12-18,Tous publics,Mars Distribution,,,0,4,5,"François Berléand, Guillaume Canet, Diane Kruger",Gilles Lellouche
jour j,190886,415647,,France,Comédie,2017-04-26,Tous publics,Gaumont,,,0,5,6,,"François-Xavier Demaison, Philippe Lacheau, Sylvie Testud"
30 ans sinon rien,190937,522873,,Etats-Unis,Romance,2004-08-04,Tous publics,Gaumont Sony,,,0,5,6,"Jennifer Garner, Mark Ruffalo",
un heureux événement,190939,461682,,France,Comédie,2011-09-28,Tous publics,Gaumont,,,0,4,3,"Louise Bourgoin, Pio Marmaï",Josiane Balasko
the predator,191048,352652,Shane Black,Etats-Unis,Science Fiction,2018-10-17,Moins de 12 ans,20th Century Fox,,,0,3,8,,
mes stars et moi,192057,286822,,France,Comédie,2008-10-29,Tous publics,Studiocanal,,,0,1,8,"Emmanuelle Béart, Catherine Deneuve, Kad Merad",
au bout de la nuit,192341,385837,,Etats-Unis,Thriller,2008-06-25,Moins de 12 ans,20th Century Fox,,,0,4,4,Keanu Reeves,"Chris Evans, Forest Whitaker"
la syndicaliste,192422,500162,Jean-Paul Salomé,France,Drame,2023-03-01,Tous publics,Le Pacte,,,0,4,6,"Yvan Attal, Marina Foïs, Isabelle Huppert",François-Xavier Demaison
jackass 3-d,192469,375905,,Etats-Unis,Comédie,2010-11-03,Tous publics,Paramount,,,0,3,6,Johnny Knoxville,
l'elite de brooklyn,192641,401033,Antoine Fuqua,Etats-Unis,Thriller,2010-05-05,Moins de 12 ans,Metropolitan,,,0,5,5,"Don Cheadle, Richard Gere, Ethan Hawke, Wesley Snipes",
venise n'est pas en italie,192777,515227,,France,Comédie,2019-05-29,Tous publics,Studiocanal,,,0,4,5,"Valérie Bonneton, Benoît Poelvoorde",
mission : noël les aventures de la famille noël,192853,840666,,Etats-Unis,Animation,2011-11-23,Tous publics,Sony Pictures,,,0,6,5,,
no pain no gain,192897,327085,Michael Bay,Etats-Unis,Comédie dramatique,2013-09-11,Moins de 12 ans,Paramount,,,0,3,2,"Dwayne Johnson, Mark Wahlberg","Ed Harris, Rebel Wilson"
seuls,193449,355565,,France,Aventure - Action,2017-02-08,Tous publics,Studiocanal,,,0,2,8,,
l'innocent (2022),192906,725806,,France,Comédie,2022-10-12,Tous publics,Ad vitam,,,0,7,4,Roschdy Zem,
c'est quoi cette famille?!,193222,747520,,France,Comédie,2016-08-10,Tous publics,UGC Distribution,,,0,6,6,Julie Depardieu,Jean-Baptiste Lucien
la colline a des yeux 2,193755,302403,,Etats-Unis,Horreur,2007-06-20,Moins de 16 ans,20th Century Fox,,,0,2,6,,
greenland - le dernier refuge,193402,576018,,Etats-Unis,Catastrophe,2020-08-05,Tous publics,Metropolitan,,,0,7,2,Gerard Butler,
la tour sombre,193407,372160,,Etats-Unis,Fantasy,2017-08-09,Tous publics,Sony Pictures,,,0,3,7,"Idris Elba, Matthew McConaughey",
antigang,193422,388456,,France,Aventure - Action,2015-08-19,Tous publics,SND,,,0,4,5,Jean Reno,
la villa,193463,552273,Robert Guédiguian,France,Drame,2017-11-29,Tous publics,Diaphana,,,0,5,5,Jean-Pierre Darroussin,
mud - sur les rives du mississippi,193623,640050,,Etats-Unis,Drame,2013-05-01,Tous publics,Ad vitam,,,0,6,7,Matthew McConaughey,Reese Witherspoon
insidious,193688,459705,James Wan,Etats-Unis,Horreur,2011-06-15,Moins de 12 ans,Wild Bunch,,,0,4,5,Rose Byrne,
l'etudiante et monsieur henri,194469,518440,,France,Comédie,2015-10-07,Tous publics,Studiocanal,,,0,4,3,Claude Brasseur,
fastlife,194754,341914,,France,Comédie,2014-07-16,Tous publics,EuropaCorp,,,0,3,6,,Fabrice Eboue
le nom des gens,195141,812074,,France,Comédie,2010-11-24,Tous publics,UGC Distribution,,,0,8,5,Jacques Gamblin,
hors-la-loi (2010),195242,393335,,France,Thriller,2010-09-22,Tous publics,Studiocanal,,,0,4,5,"Jamel Debbouze, Roschdy Zem",
passe-passe,195378,290299,Tonie Marshall,France,Comédie,2008-04-16,Tous publics,Warner Bros.,,,0,1,6,"Edouard Baer, Nathalie Baye",
un autre monde,195408,490408,Stéphane Brizé,France,Drame,2022-02-16,Tous publics,Diaphana,,,0,5,8,"Sandrine Kiberlain, Vincent Lindon",
jack et la mécanique du cœur,195432,520287,,France,Animation,2014-02-05,Tous publics,EuropaCorp,,,0,4,7,,
des hommes sans loi,195628,440384,,Etats-Unis,Thriller,2012-09-12,Moins de 12 ans,Metropolitan,,,0,4,2,"Tom Hardy, Shia LaBeouf","Jessica Chastain, Gary Oldman, Guy Pearce"
le fils du mask,196506,338065,,Etats-Unis,Film familial,2005-03-23,Tous publics,Pathé,,,0,2,4,,
snatch,195678,585877,Guy Ritchie,Grande-Bretagne,Comédie,2000-11-15,Tous publics,Columbia,,,0,5,3,"Benicio Del Toro, Brad Pitt",Jason Statham
bouquet final,196142,326215,,France,Comédie,2008-11-05,Tous publics,Gaumont,,,0,2,6,Didier Bourdon,"Bérénice Bejo, Valérie Bonneton, Gérard Depardieu, Michel Galabru"
joker (2015),196170,313577,Simon West,Etats-Unis,Aventure - Action,2015-01-14,Moins de 12 ans,La Belle Company,,,0,2,3,Jason Statham,
